,Actual_data,Predicted_data
2021-12-09,7015.0,7505.53
2021-12-10,7112.0,7597.5244
2021-12-11,7218.0,7741.927
2021-12-12,7306.0005,7884.011
2021-12-13,7387.0,7971.771
2021-12-14,7503.0,8072.277
2021-12-15,7623.0,8138.3384
2021-12-16,7773.0,8223.014
2021-12-17,7895.0,8366.975
2021-12-18,8005.0,8518.295
2021-12-19,8097.0005,8690.473
2021-12-20,8196.0,8796.638
2021-12-21,8340.0,8883.489
2021-12-22,8475.0,8955.645
2021-12-23,8620.0,9078.14
2021-12-24,8738.0,9262.254
2021-12-25,8854.0,9416.792
2021-12-26,8952.0,9566.496
2021-12-27,9041.0,9670.869
2021-12-28,9131.001,9776.46
2021-12-29,9239.0,9857.701
2021-12-30,9469.0,9938.834
2021-12-31,9568.001,10035.2295
2022-01-01,9653.0,10239.842
2022-01-02,9732.0,10537.915
2022-01-03,9818.0,10562.447
2022-01-04,9910.0,10610.962
2022-01-05,10007.0,10681.075
2022-01-06,10078.0,10779.438
2022-01-07,10162.0,10895.599
2022-01-08,10229.0,11000.447
2022-01-09,10305.0,11073.053
2022-01-10,10401.0,11167.814
2022-01-11,10459.0,11237.494
2022-01-12,10517.001,11346.168
2022-01-13,10623.0,11460.354
2022-01-14,10724.0,11499.331
2022-01-15,10847.001,11582.74
2022-01-16,10970.0,11738.012
2022-01-17,11094.0,11871.72
2022-01-18,11245.0,12030.117
2022-01-19,11388.0,12168.734
2022-01-20,11526.0,12318.4375
2022-01-21,11691.0,12499.776
2022-01-22,11862.0,12645.295
2022-01-23,12002.0,12796.774
2022-01-24,12202.001,12997.86
2022-01-25,12440.0,13165.77
2022-01-26,12741.0,13311.514
2022-01-27,13052.0,13572.993
2022-01-28,13433.001,13894.216
2022-01-29,13991.0,14269.487
2022-01-30,14412.0,14641.483
2022-01-31,14941.999,15201.278
2022-02-01,15526.0,15842.572
2022-02-02,16182.0,16258.448
2022-02-03,17129.0,16873.627
2022-02-04,18193.0,17558.508
2022-02-05,19476.0,18456.297
2022-02-06,20486.0,19713.346
2022-02-07,21756.002,21106.283
2022-02-08,22982.0,22358.113
2022-02-09,24545.0,23442.475
2022-02-10,26316.0,24814.24
2022-02-11,27823.0,26351.355
2022-02-12,29371.0,28325.188
2022-02-13,31011.0,30034.672
2022-02-14,32602.0,31482.793
2022-02-15,34181.0,33148.766
2022-02-16,36743.0,34842.062
2022-02-17,39317.004,36750.727
2022-02-18,41826.004,39403.645
2022-02-19,44318.0,42569.973
2022-02-20,47109.0,45273.105
2022-02-21,49837.0,47867.027
2022-02-22,52300.004,50855.68
2022-02-23,56324.0,53900.805
2022-02-24,60240.004,57247.75
2022-02-25,64457.0,61874.32
2022-02-26,68617.0,66625.52
2022-02-27,72827.0,71212.71
2022-02-28,76896.0,75603.21
2022-03-01,80834.01,80094.04
2022-03-02,87247.01,84452.16
2022-03-03,92532.0,91128.43
2022-03-04,99070.0,98943.22
2022-03-05,106058.01,105036.14
2022-03-06,112909.01,113229.89
2022-03-07,118974.0,121040.52
2022-03-08,125238.01,128051.086
2022-03-09,134917.0,133699.9
2022-03-10,144992.0,145318.19
2022-03-11,153843.0,156944.98
2022-03-12,164677.0,167971.12
2022-03-13,176118.0,177281.73
2022-03-14,187291.0,189613.47
2022-03-15,198550.0,201159.64
2022-03-16,213947.0,211562.66
2022-03-17,232558.0,227850.19
2022-03-18,243447.0,240366.39
2022-03-19,253370.0,248017.64
2022-03-20,263055.0,256254.56
2022-03-21,270954.0,270902.53
2022-03-22,283511.0,285317.03
2022-03-23,299419.0,302279.06
2022-03-24,312335.03,313122.0
2022-03-25,325155.0,326267.44
2022-03-26,337357.0,336696.53
2022-03-27,348205.03,348285.4
2022-03-28,355147.0,359400.84
2022-03-29,370244.0,368797.72
2022-03-30,383493.0,390216.47
2022-03-31,394784.0,393229.47
2022-04-01,405421.03,403941.34
2022-04-02,414883.03,413093.6
2022-04-03,423397.0,422541.38
2022-04-04,428485.0,431854.7
2022-04-05,438733.0,440231.12
2022-04-06,449213.03,453360.47
2022-04-07,457491.0,457531.47
2022-04-08,465748.0,466661.16
2022-04-09,472930.0,474076.94
2022-04-10,479658.0,481099.28
2022-04-11,483420.0,487515.22
2022-04-12,491554.0,494440.12
2022-04-13,499558.0,499386.94
2022-04-14,506089.0,501736.66
2022-04-15,511431.0,508792.4
2022-04-16,516003.03,514879.97
2022-04-17,520161.0,519351.94
2022-04-18,522227.0,522661.8
2022-04-19,527197.0,527816.9
2022-04-20,532030.0,524824.25
2022-04-21,535925.0,526710.0
2022-04-22,539271.0,531729.5
2022-04-23,542568.0,535217.1
2022-04-24,545543.0,536442.3
2022-04-25,546970.0,538242.06
2022-04-26,550483.0,542558.25
2022-04-27,554418.0,544475.44
2022-04-28,557072.0,548364.4
2022-04-29,559482.94,551611.9
2022-04-30,561479.94,554256.9
2022-05-01,563221.94,556539.0
2022-05-02,564147.94,558599.25
