,Actual_data,Predicted_data
2021-12-09,4019.0,4485.8247
2021-12-10,4066.0,4579.2485
2021-12-11,4112.0,4644.58
2021-12-12,4144.0,4689.5986
2021-12-13,4180.0,4722.4053
2021-12-14,4219.0,4739.7344
2021-12-15,4252.0,4734.111
2021-12-16,4281.0,4737.735
2021-12-17,4316.0,4747.439
2021-12-18,4346.0,4748.4985
2021-12-19,4368.0,4747.411
2021-12-20,4398.0,4756.463
2021-12-21,4424.0,4756.475
2021-12-22,4461.0,4748.17
2021-12-23,4478.0,4756.769
2021-12-24,4503.0,4767.0884
2021-12-25,4518.0,4785.537
2021-12-26,4546.0,4774.0566
2021-12-27,4562.0,4772.2593
2021-12-28,4568.0,4762.91
2021-12-29,4601.0,4771.327
2021-12-30,4622.0,4762.7207
2021-12-31,4638.0,4747.06
2022-01-01,4661.0,4777.097
2022-01-02,4680.0,4788.559
2022-01-03,4708.0,4791.059
2022-01-04,4726.0,4804.9673
2022-01-05,4769.0,4816.6123
2022-01-06,4788.0,4843.3677
2022-01-07,4798.0,4860.793
2022-01-08,4807.0,4903.654
2022-01-09,4818.0,4898.341
2022-01-10,4831.0,4871.607
2022-01-11,4846.0,4847.7065
2022-01-12,4851.0,4835.9717
2022-01-13,4858.0,4834.22
2022-01-14,4864.0,4833.9053
2022-01-15,4877.0,4818.8364
2022-01-16,4885.0,4809.4995
2022-01-17,4897.0,4805.176
2022-01-18,4900.0,4814.054
2022-01-19,4913.0,4816.7593
2022-01-20,4923.0,4822.298
2022-01-21,4938.0,4816.7666
2022-01-22,4955.0,4828.5703
2022-01-23,4982.0,4839.532
2022-01-24,5002.0,4861.235
2022-01-25,5034.0,4889.16
2022-01-26,5087.0,4930.3013
2022-01-27,5159.0,4965.1274
2022-01-28,5203.0,5028.441
2022-01-29,5279.0,5132.089
2022-01-30,5348.0,5248.2896
2022-01-31,5422.0,5309.76
2022-02-01,5508.0,5410.89
2022-02-02,5630.0,5495.636
2022-02-03,5799.0,5590.948
2022-02-04,6011.0,5722.8228
2022-02-05,6259.0,5934.7666
2022-02-06,6544.0,6239.6665
2022-02-07,6544.0,6614.831
2022-02-08,7294.9995,7272.9355
2022-02-09,7706.0,9344.995
2022-02-10,8154.0,8008.842
2022-02-11,8630.0,8770.342
2022-02-12,9133.0,9355.464
2022-02-13,9687.0,9879.1455
2022-02-14,10194.999,10399.101
2022-02-15,10746.0,10930.618
2022-02-16,11669.0,11481.707
2022-02-17,12551.0,12399.267
2022-02-18,13664.999,12644.804
2022-02-19,14870.999,14083.931
2022-02-20,16102.001,15232.446
2022-02-21,17182.0,16805.82
2022-02-22,18482.0,18561.658
2022-02-23,20244.0,19996.375
2022-02-24,21744.0,21490.592
2022-02-25,23806.0,22886.086
2022-02-26,25723.0,25469.457
2022-02-27,27890.0,26869.873
2022-02-28,29695.998,29332.271
2022-03-01,31969.0,32372.865
2022-03-02,34176.0,34516.605
2022-03-03,37470.0,36194.15
2022-03-04,40869.0,40588.195
2022-03-05,44153.996,41691.582
2022-03-06,47842.0,46452.305
2022-03-07,51075.0,50689.266
2022-03-08,54129.0,56037.895
2022-03-09,57987.0,59516.277
2022-03-10,62910.0,63412.55
2022-03-11,67199.0,67773.08
2022-03-12,72390.0,73066.445
2022-03-13,78593.0,78034.78
2022-03-14,83420.0,84017.37
2022-03-15,87320.0,90766.625
2022-03-16,95002.01,94853.24
2022-03-17,99146.01,99952.664
2022-03-18,103558.01,103936.05
2022-03-19,109951.01,110029.11
2022-03-20,116179.0,114451.74
2022-03-21,119471.0,118104.28
2022-03-22,122661.99,121343.16
2022-03-23,128232.99,127969.95
2022-03-24,133263.0,134134.22
2022-03-25,138052.0,137477.84
2022-03-26,142134.0,142168.5
2022-03-27,147144.0,146152.06
2022-03-28,150144.0,151490.39
2022-03-29,153473.0,153717.61
2022-03-30,159215.0,160236.53
2022-03-31,164289.0,163371.06
2022-04-01,168161.98,168360.62
2022-04-02,171932.98,170483.67
2022-04-03,175514.0,174452.22
2022-04-04,177774.98,178122.55
2022-04-05,180486.0,180907.47
2022-04-06,184645.0,184151.67
2022-04-07,187860.0,188110.17
2022-04-08,190715.0,192132.34
2022-04-09,193454.0,193613.22
2022-04-10,196006.98,195630.34
2022-04-11,197718.0,198003.73
2022-04-12,199263.0,199982.47
2022-04-13,202286.0,201814.06
2022-04-14,204470.98,203598.55
2022-04-15,206274.0,207532.25
2022-04-16,207893.0,207870.45
2022-04-17,209361.0,209018.42
2022-04-18,210214.0,210460.23
2022-04-19,211427.0,211470.19
2022-04-20,212825.0,212729.9
2022-04-21,214110.0,214285.61
2022-04-22,215298.0,214955.58
2022-04-23,216320.0,215371.06
2022-04-24,217314.0,215877.67
2022-04-25,218048.0,216398.25
2022-04-26,218794.0,216849.3
2022-04-27,220031.0,216959.47
2022-04-28,220876.02,218227.39
2022-04-29,221628.0,219175.33
2022-04-30,222408.98,220649.61
2022-05-01,222986.0,221275.89
2022-05-02,223419.0,221661.77
