,Actual_data,Predicted_data
2021-12-10,14499.0,16137.622
2021-12-11,14662.0,16348.484
2021-12-12,14869.0,16469.318
2021-12-13,15053.001,16638.45
2021-12-14,15255.0,16846.76
2021-12-15,15461.0,17097.734
2021-12-16,15638.0,17222.371
2021-12-17,15841.0,17360.316
2021-12-18,16081.0,17650.758
2021-12-19,16288.0,17765.553
2021-12-20,16473.0,17983.482
2021-12-21,16636.0,18079.47
2021-12-22,16801.0,18252.729
2021-12-23,16982.0,18273.566
2021-12-24,17162.0,18510.64
2021-12-25,17323.0,18680.787
2021-12-26,17440.0,18799.37
2021-12-27,17588.0,18884.486
2021-12-28,17716.0,19007.34
2021-12-29,17835.0,18932.244
2021-12-30,17958.0,19003.143
2021-12-31,18095.0,19145.016
2022-01-01,18233.0,19253.334
2022-01-02,18334.0,19322.16
2022-01-03,18449.0,19389.988
2022-01-04,18563.0,19438.45
2022-01-05,18702.0,19437.219
2022-01-06,18781.0,19430.725
2022-01-07,18897.0,19490.04
2022-01-08,18993.0,19567.363
2022-01-09,19104.0,19513.105
2022-01-10,19202.0,19509.367
2022-01-11,19307.0,19627.645
2022-01-12,19422.0,19570.168
2022-01-13,19553.0,19605.002
2022-01-14,19659.0,19797.992
2022-01-15,19779.0,19841.826
2022-01-16,19893.0,19807.512
2022-01-17,19997.0,19856.48
2022-01-18,20142.0,19874.861
2022-01-19,20325.0,19779.75
2022-01-20,20542.0,19937.078
2022-01-21,20735.0,20088.854
2022-01-22,20934.998,20190.51
2022-01-23,21142.0,20261.861
2022-01-24,21407.0,20359.684
2022-01-25,21718.0,20586.805
2022-01-26,22135.0,20838.406
2022-01-27,22574.002,21182.559
2022-01-28,23110.0,21548.078
2022-01-29,23627.0,22093.348
2022-01-30,24302.998,22510.84
2022-01-31,24972.0,23187.396
2022-02-01,25700.002,23846.424
2022-02-02,26588.0,24636.762
2022-02-03,27504.998,25497.146
2022-02-04,28577.0,26471.088
2022-02-05,29736.998,27590.994
2022-02-06,31263.0,28878.367
2022-02-07,32736.002,30606.96
2022-02-08,34138.0,32289.303
2022-02-09,35906.0,33913.598
2022-02-10,37622.0,35887.5
2022-02-11,39209.0,37872.445
2022-02-12,41396.0,39781.305
2022-02-13,43771.0,42321.06
2022-02-14,46269.0,45138.387
2022-02-15,48488.0,48055.01
2022-02-16,51490.996,50562.867
2022-02-17,54505.996,53897.945
2022-02-18,57449.996,57341.508
2022-02-19,61526.996,61209.992
2022-02-20,64875.0,65712.92
2022-02-21,68188.0,69388.62
2022-02-22,71505.0,72957.195
2022-02-23,76343.0,76551.36
2022-02-24,81330.0,81414.96
2022-02-25,86514.0,86329.56
2022-02-26,91798.0,92182.93
2022-02-27,97760.99,97462.734
2022-02-28,102845.0,103117.17
2022-03-01,107697.99,108349.195
2022-03-02,114613.0,113923.984
2022-03-03,121251.99,120698.85
2022-03-04,129514.0,127511.13
2022-03-05,137524.0,136422.64
2022-03-06,144810.0,144586.12
2022-03-07,151585.0,151233.84
2022-03-08,158582.0,158326.28
2022-03-09,169407.0,167126.56
2022-03-10,180073.0,178745.08
2022-03-11,190870.98,191642.5
2022-03-12,204514.0,205335.25
2022-03-13,215254.0,218481.48
2022-03-14,227583.0,229488.78
2022-03-15,243870.02,243715.0
2022-03-16,257572.0,262166.22
2022-03-17,280561.0,277927.38
2022-03-18,294803.0,296421.84
2022-03-19,310429.0,310209.44
2022-03-20,323074.0,324181.53
2022-03-21,331801.0,334484.62
2022-03-22,346953.03,346929.3
2022-03-23,365829.03,360983.5
2022-03-24,382261.0,381437.75
2022-03-25,396078.03,397823.5
2022-03-26,409227.03,409225.53
2022-03-27,423018.03,421194.03
2022-03-28,430974.03,433385.75
2022-03-29,444965.03,444577.6
2022-03-30,463926.0,462743.2
2022-03-31,478287.03,477314.7
2022-04-01,491428.0,490083.94
2022-04-02,503330.03,501667.06
2022-04-03,514498.03,511871.0
2022-04-04,520140.03,519737.28
2022-04-05,532145.0,530875.5
2022-04-06,545720.0,546176.8
2022-04-07,556057.0,556556.44
2022-04-08,565566.06,565691.3
2022-04-09,574362.0,573835.25
2022-04-10,582360.0,582549.8
2022-04-11,586582.0,587115.5
2022-04-12,596651.0,596473.2
2022-04-13,605896.0,606494.0
2022-04-14,612701.0,612287.8
2022-04-15,618683.0,618596.56
2022-04-16,623951.0,625905.9
2022-04-17,629403.0,629100.8
2022-04-18,631807.0,631539.94
2022-04-19,637265.0,637019.44
2022-04-20,642509.0,642518.8
2022-04-21,646885.0,646538.7
2022-04-22,650730.06,650485.3
2022-04-23,654603.06,654195.1
2022-04-24,657612.06,657447.5
2022-04-25,659146.0,658905.4
2022-04-26,662877.06,662564.5
2022-04-27,666569.0,644113.6
2022-04-28,669239.94,643413.44
2022-04-29,671565.0,644170.2
2022-04-30,673506.06,634507.3
2022-05-01,675327.0,636715.3
2022-05-02,676205.0,631024.7
2022-05-03,678613.0,628936.7
