,Actual_data,Predicted_data
2021-12-10,14499.0,14859.013
2021-12-11,14662.0,14932.309
2021-12-12,14869.0,15100.417
2021-12-13,15053.001,15197.627
2021-12-14,15255.0,15351.44
2021-12-15,15461.0,15555.46
2021-12-16,15638.0,15754.609
2021-12-17,15841.0,15885.976
2021-12-18,16081.0,16063.234
2021-12-19,16288.0,16216.869
2021-12-20,16473.0,16538.553
2021-12-21,16636.0,16623.512
2021-12-22,16801.0,16809.148
2021-12-23,16982.0,16986.518
2021-12-24,17162.0,17222.709
2021-12-25,17323.0,17306.676
2021-12-26,17440.0,17558.492
2021-12-27,17588.0,17703.531
2021-12-28,17716.0,17789.502
2021-12-29,17835.0,17789.441
2021-12-30,17958.0,17981.693
2021-12-31,18095.0,18108.877
2022-01-01,18233.0,18350.824
2022-01-02,18334.0,18448.723
2022-01-03,18449.0,18591.467
2022-01-04,18563.0,18676.477
2022-01-05,18702.0,18739.818
2022-01-06,18781.0,18679.865
2022-01-07,18897.0,18768.223
2022-01-08,18993.0,18899.568
2022-01-09,19104.0,18867.984
2022-01-10,19202.0,18971.883
2022-01-11,19307.0,19072.162
2022-01-12,19422.0,19247.617
2022-01-13,19553.0,19177.97
2022-01-14,19659.0,19283.857
2022-01-15,19779.0,19271.441
2022-01-16,19893.0,19518.33
2022-01-17,19997.0,19475.78
2022-01-18,20142.0,19631.826
2022-01-19,20325.0,19615.883
2022-01-20,20542.0,19831.969
2022-01-21,20735.0,19948.795
2022-01-22,20934.998,20144.172
2022-01-23,21142.0,20338.297
2022-01-24,21407.0,20432.178
2022-01-25,21718.0,20581.781
2022-01-26,22135.0,20871.197
2022-01-27,22574.002,21283.895
2022-01-28,23110.0,21567.127
2022-01-29,23627.0,22068.865
2022-01-30,24302.998,22533.502
2022-01-31,24972.0,23260.643
2022-02-01,25700.002,23859.672
2022-02-02,26588.0,24729.969
2022-02-03,27504.998,25562.248
2022-02-04,28577.0,26503.45
2022-02-05,29736.998,27599.098
2022-02-06,31263.0,28799.723
2022-02-07,32736.002,30489.156
2022-02-08,34138.0,31960.188
2022-02-09,35906.0,33776.8
2022-02-10,37622.0,35762.383
2022-02-11,39209.0,37947.9
2022-02-12,41396.0,39925.594
2022-02-13,43771.0,42455.285
2022-02-14,46269.0,45516.68
2022-02-15,48488.0,48074.02
2022-02-16,51490.996,50284.348
2022-02-17,54505.996,53563.395
2022-02-18,57449.996,56607.66
2022-02-19,61526.996,60016.21
2022-02-20,64875.0,64036.066
2022-02-21,68188.0,68260.58
2022-02-22,71505.0,71667.01
2022-02-23,76343.0,74912.31
2022-02-24,81330.0,80564.86
2022-02-25,86514.0,85220.24
2022-02-26,91798.0,91078.95
2022-02-27,97760.99,96526.125
2022-02-28,102845.0,102663.12
2022-03-01,107697.99,107647.77
2022-03-02,114613.0,113783.375
2022-03-03,121251.99,121335.59
2022-03-04,129514.0,128207.33
2022-03-05,137524.0,136151.78
2022-03-06,144810.0,144020.61
2022-03-07,151585.0,152402.88
2022-03-08,158582.0,159663.6
2022-03-09,169407.0,168529.16
2022-03-10,180073.0,179760.7
2022-03-11,190870.98,191463.75
2022-03-12,204514.0,204422.89
2022-03-13,215254.0,216261.53
2022-03-14,227583.0,228746.81
2022-03-15,243870.02,242292.27
2022-03-16,257572.0,258003.97
2022-03-17,280561.0,275805.53
2022-03-18,294803.0,292080.4
2022-03-19,310429.0,308313.5
2022-03-20,323074.0,323355.22
2022-03-21,331801.0,333897.66
2022-03-22,346953.03,349153.56
2022-03-23,365829.03,363878.62
2022-03-24,382261.0,380707.4
2022-03-25,396078.03,396336.44
2022-03-26,409227.03,409010.75
2022-03-27,423018.03,421055.66
2022-03-28,430974.03,432193.0
2022-03-29,444965.03,445950.0
2022-03-30,463926.0,463614.88
2022-03-31,478287.03,477280.56
2022-04-01,491428.0,490036.6
2022-04-02,503330.03,502220.38
2022-04-03,514498.03,513794.62
2022-04-04,520140.03,518905.44
2022-04-05,532145.0,531381.6
2022-04-06,545720.0,545561.1
2022-04-07,556057.0,557566.94
2022-04-08,565566.06,566364.7
2022-04-09,574362.0,573686.0
2022-04-10,582360.0,580488.56
2022-04-11,586582.0,586361.7
2022-04-12,596651.0,596385.75
2022-04-13,605896.0,606035.9
2022-04-14,612701.0,611907.2
2022-04-15,618683.0,618414.7
2022-04-16,623951.0,623340.1
2022-04-17,629403.0,628955.4
2022-04-18,631807.0,631652.8
2022-04-19,637265.0,637445.25
2022-04-20,642509.0,642097.1
2022-04-21,646885.0,646545.0
2022-04-22,650730.06,650288.8
2022-04-23,654603.06,654518.8
2022-04-24,657612.06,657125.7
2022-04-25,659146.0,658456.0
2022-04-26,662877.06,662065.6
2022-04-27,666569.0,642130.44
2022-04-28,669239.94,633028.7
2022-04-29,671565.0,631181.75
2022-04-30,673506.06,624662.0
2022-05-01,675327.0,620712.5
2022-05-02,676205.0,614485.6
2022-05-03,678613.0,606175.56
