,Actual_data,Predicted_data
2021-12-10,14499.0,15196.516
2021-12-11,14662.0,15408.768
2021-12-12,14869.0,15535.165
2021-12-13,15053.001,15721.749
2021-12-14,15255.0,15997.818
2021-12-15,15461.0,16107.578
2021-12-16,15638.0,16388.621
2021-12-17,15841.0,16622.584
2021-12-18,16081.0,16746.041
2021-12-19,16288.0,16996.71
2021-12-20,16473.0,17304.896
2021-12-21,16636.0,17479.451
2021-12-22,16801.0,17703.256
2021-12-23,16982.0,17834.348
2021-12-24,17162.0,17981.229
2021-12-25,17323.0,18170.336
2021-12-26,17440.0,18353.85
2021-12-27,17588.0,18530.945
2021-12-28,17716.0,18568.695
2021-12-29,17835.0,18794.105
2021-12-30,17958.0,18850.275
2021-12-31,18095.0,18972.436
2022-01-01,18233.0,19094.557
2022-01-02,18334.0,19245.484
2022-01-03,18449.0,19412.004
2022-01-04,18563.0,19459.89
2022-01-05,18702.0,19627.795
2022-01-06,18781.0,19698.05
2022-01-07,18897.0,19926.502
2022-01-08,18993.0,19876.502
2022-01-09,19104.0,20116.904
2022-01-10,19202.0,20122.676
2022-01-11,19307.0,20289.662
2022-01-12,19422.0,20355.98
2022-01-13,19553.0,20481.76
2022-01-14,19659.0,20600.252
2022-01-15,19779.0,20779.799
2022-01-16,19893.0,20844.88
2022-01-17,19997.0,21026.162
2022-01-18,20142.0,21125.975
2022-01-19,20325.0,21197.615
2022-01-20,20542.0,21395.523
2022-01-21,20735.0,21599.893
2022-01-22,20934.998,21908.059
2022-01-23,21142.0,22099.248
2022-01-24,21407.0,22371.092
2022-01-25,21718.0,22562.102
2022-01-26,22135.0,22901.229
2022-01-27,22574.002,23216.652
2022-01-28,23110.0,23820.535
2022-01-29,23627.0,24267.14
2022-01-30,24302.998,25064.846
2022-01-31,24972.0,25522.555
2022-02-01,25700.002,26542.729
2022-02-02,26588.0,27168.602
2022-02-03,27504.998,28052.85
2022-02-04,28577.0,29178.18
2022-02-05,29736.998,30083.21
2022-02-06,31263.0,31452.91
2022-02-07,32736.002,32652.383
2022-02-08,34138.0,34641.754
2022-02-09,35906.0,36108.625
2022-02-10,37622.0,37795.9
2022-02-11,39209.0,40025.086
2022-02-12,41396.0,41580.754
2022-02-13,43771.0,43397.953
2022-02-14,46269.0,46104.066
2022-02-15,48488.0,48231.52
2022-02-16,51490.996,51006.46
2022-02-17,54505.996,53740.3
2022-02-18,57449.996,57286.016
2022-02-19,61526.996,59911.875
2022-02-20,64875.0,63913.496
2022-02-21,68188.0,67761.79
2022-02-22,71505.0,71027.6
2022-02-23,76343.0,75462.1
2022-02-24,81330.0,80025.02
2022-02-25,86514.0,84535.125
2022-02-26,91798.0,89130.3
2022-02-27,97760.99,95179.58
2022-02-28,102845.0,101994.81
2022-03-01,107697.99,106781.02
2022-03-02,114613.0,112565.56
2022-03-03,121251.99,121211.39
2022-03-04,129514.0,126789.57
2022-03-05,137524.0,135235.94
2022-03-06,144810.0,143891.92
2022-03-07,151585.0,151156.1
2022-03-08,158582.0,158837.56
2022-03-09,169407.0,167143.33
2022-03-10,180073.0,179808.55
2022-03-11,190870.98,191918.03
2022-03-12,204514.0,202865.42
2022-03-13,215254.0,219711.6
2022-03-14,227583.0,228213.48
2022-03-15,243870.02,243796.48
2022-03-16,257572.0,265033.38
2022-03-17,280561.0,277348.88
2022-03-18,294803.0,294276.38
2022-03-19,310429.0,309073.03
2022-03-20,323074.0,333738.78
2022-03-21,331801.0,340347.56
2022-03-22,346953.03,344448.62
2022-03-23,365829.03,363246.78
2022-03-24,382261.0,387405.53
2022-03-25,396078.03,402092.97
2022-03-26,409227.03,409963.38
2022-03-27,423018.03,422978.4
2022-03-28,430974.03,437782.44
2022-03-29,444965.03,439696.47
2022-03-30,463926.0,457389.2
2022-03-31,478287.03,470785.03
2022-04-01,491428.0,487216.44
2022-04-02,503330.03,499540.62
2022-04-03,514498.03,513302.88
2022-04-04,520140.03,527689.56
2022-04-05,532145.0,529494.5
2022-04-06,545720.0,540137.1
2022-04-07,556057.0,554228.44
2022-04-08,565566.06,567135.25
2022-04-09,574362.0,575829.6
2022-04-10,582360.0,584562.1
2022-04-11,586582.0,592688.94
2022-04-12,596651.0,595914.9
2022-04-13,605896.0,595158.6
2022-04-14,612701.0,611278.4
2022-04-15,618683.0,618696.2
2022-04-16,623951.0,625677.6
2022-04-17,629403.0,629692.06
2022-04-18,631807.0,634771.5
2022-04-19,637265.0,635964.56
2022-04-20,642509.0,642235.4
2022-04-21,646885.0,647810.3
2022-04-22,650730.06,652449.56
2022-04-23,654603.06,656200.5
2022-04-24,657612.06,657690.1
2022-04-25,659146.0,658999.6
2022-04-26,662877.06,660281.1
2022-04-27,666569.0,663140.1
2022-04-28,669239.94,660648.94
2022-04-29,671565.0,666669.6
2022-04-30,673506.06,673909.7
2022-05-01,675327.0,674668.4
2022-05-02,676205.0,673653.4
2022-05-03,678613.0,673146.7
