,Actual_data,Predicted_data
2021-12-10,9563.0,10343.571
2021-12-11,9644.0,10406.358
2021-12-12,9734.0,10452.268
2021-12-13,9810.0,10501.687
2021-12-14,9896.0,10576.644
2021-12-15,10001.0,10646.263
2021-12-16,10150.0,10719.457
2021-12-17,10278.0,10842.253
2021-12-18,10405.0,10959.056
2021-12-19,10497.001,11075.789
2021-12-20,10565.0,11159.816
2021-12-21,10654.0,11239.529
2021-12-22,10777.0,11312.009
2021-12-23,10862.0,11425.711
2021-12-24,10953.001,11527.936
2021-12-25,11036.0,11599.6
2021-12-26,11115.0,11663.817
2021-12-27,11178.0,11724.946
2021-12-28,11243.0,11789.736
2021-12-29,11344.001,11849.501
2021-12-30,11424.0,11926.554
2021-12-31,11498.0,11977.84
2022-01-01,11602.0,12044.021
2022-01-02,11652.0,12122.169
2022-01-03,11699.0,12140.86
2022-01-04,11760.0,12175.729
2022-01-05,11828.0,12214.654
2022-01-06,11873.0,12273.422
2022-01-07,11963.0,12260.54
2022-01-08,12016.0,12344.911
2022-01-09,12050.0,12376.079
2022-01-10,12080.0,12393.074
2022-01-11,12134.001,12408.07
2022-01-12,12202.0,12459.901
2022-01-13,12263.0,12473.745
2022-01-14,12333.0,12518.715
2022-01-15,12416.0,12551.78
2022-01-16,12455.0,12591.94
2022-01-17,12497.0,12596.429
2022-01-18,12555.0,12639.04
2022-01-19,12636.0,12689.316
2022-01-20,12812.0,12699.2295
2022-01-21,12898.0,12827.274
2022-01-22,13048.0,12892.238
2022-01-23,13158.0,13015.811
2022-01-24,13305.0,13109.573
2022-01-25,13429.0,13256.708
2022-01-26,13676.0,13324.889
2022-01-27,13970.0,13521.779
2022-01-28,14269.001,13748.237
2022-01-29,14579.001,14020.562
2022-01-30,14930.0,14290.087
2022-01-31,15286.0,14631.871
2022-02-01,15696.0,14965.486
2022-02-02,16154.0,15367.924
2022-02-03,16724.002,15856.844
2022-02-04,17352.0,16376.4795
2022-02-05,18128.0,16997.729
2022-02-06,19081.0,17753.684
2022-02-07,19966.0,18711.01
2022-02-08,20765.002,19619.363
2022-02-09,22142.0,20579.434
2022-02-10,23224.002,21953.459
2022-02-11,24380.0,23167.604
2022-02-12,25537.002,24546.215
2022-02-13,26868.002,25815.943
2022-02-14,28410.0,27326.525
2022-02-15,29737.0,28788.4
2022-02-16,31938.002,30519.977
2022-02-17,34107.0,32608.469
2022-02-18,36661.0,34875.523
2022-02-19,39055.0,37570.934
2022-02-20,41367.0,40202.047
2022-02-21,43585.004,42905.137
2022-02-22,45772.0,45420.574
2022-02-23,49247.0,48297.387
2022-02-24,53603.0,51667.914
2022-02-25,57571.0,55858.074
2022-02-26,61363.0,59925.246
2022-02-27,65454.996,64193.62
2022-02-28,68506.0,68583.89
2022-03-01,72008.0,72473.55
2022-03-02,77581.01,77358.89
2022-03-03,82410.0,83090.695
2022-03-04,89148.0,88726.53
2022-03-05,96096.0,95346.29
2022-03-06,102331.0,102220.03
2022-03-07,107233.0,108730.15
2022-03-08,112969.0,114584.49
2022-03-09,122109.0,122501.49
2022-03-10,130870.99,131409.69
2022-03-11,138783.98,141406.48
2022-03-12,148659.98,150653.45
2022-03-13,158654.0,160230.16
2022-03-14,166979.98,169694.66
2022-03-15,177906.98,179643.03
2022-03-16,191661.0,192929.81
2022-03-17,209441.0,206113.48
2022-03-18,221612.98,221683.47
2022-03-19,233535.98,233141.11
2022-03-20,244807.98,244775.56
2022-03-21,250182.98,253239.22
2022-03-22,262002.0,261579.2
2022-03-23,278644.0,276971.97
2022-03-24,291231.0,290682.44
2022-03-25,302786.0,302612.66
2022-03-26,314386.0,313558.34
2022-03-27,325193.0,324287.1
2022-03-28,331028.0,331446.16
2022-03-29,344094.0,341753.56
2022-03-30,359662.97,359537.1
2022-03-31,370985.0,370453.03
2022-04-01,381142.0,380061.0
2022-04-02,390468.0,389449.56
2022-04-03,399245.0,396739.88
2022-04-04,403201.0,402359.88
2022-04-05,412619.0,411654.44
2022-04-06,422885.0,422049.78
2022-04-07,431106.97,430257.4
2022-04-08,438455.0,437979.12
2022-04-09,445187.0,444941.2
2022-04-10,451506.0,451231.56
2022-04-11,454309.0,454338.4
2022-04-12,462117.97,462652.94
2022-04-13,469524.0,470998.84
2022-04-14,475061.0,474857.9
2022-04-15,479696.0,480029.78
2022-04-16,483847.0,484520.44
2022-04-17,487408.0,487213.9
2022-04-18,488858.97,488583.25
2022-04-19,493227.0,493291.03
2022-04-20,497500.0,497268.5
2022-04-21,501007.0,500892.06
2022-04-22,504062.97,503732.38
2022-04-23,506793.0,506588.3
2022-04-24,509415.97,509127.66
2022-04-25,510618.0,510366.03
2022-04-26,513381.0,512889.56
2022-04-27,516306.0,501088.28
2022-04-28,518330.0,499064.78
2022-04-29,520303.03,496295.0
2022-04-30,521774.03,494525.5
2022-05-01,523366.0,494613.28
2022-05-02,524070.97,489415.34
2022-05-03,525834.0,487419.44
