,Actual_data,Predicted_data
2021-12-10,9563.0,13909.955
2021-12-11,9644.0,13945.978
2021-12-12,9734.0,14056.576
2021-12-13,9810.0,14135.242
2021-12-14,9896.0,14129.063
2021-12-15,10001.0,14254.614
2021-12-16,10150.0,14353.816
2021-12-17,10278.0,14484.562
2021-12-18,10405.0,14535.383
2021-12-19,10497.001,14618.535
2021-12-20,10565.0,14760.338
2021-12-21,10654.0,14751.448
2021-12-22,10777.0,14891.53
2021-12-23,10862.0,15013.093
2021-12-24,10953.001,15135.045
2021-12-25,11036.0,15212.571
2021-12-26,11115.0,15214.997
2021-12-27,11178.0,15184.683
2021-12-28,11243.0,15246.502
2021-12-29,11344.001,15431.606
2021-12-30,11424.0,15499.229
2021-12-31,11498.0,15495.922
2022-01-01,11602.0,15521.598
2022-01-02,11652.0,15559.379
2022-01-03,11699.0,15605.841
2022-01-04,11760.0,15641.825
2022-01-05,11828.0,15688.602
2022-01-06,11873.0,15745.935
2022-01-07,11963.0,15755.462
2022-01-08,12016.0,15865.014
2022-01-09,12050.0,15799.884
2022-01-10,12080.0,15807.465
2022-01-11,12134.001,15799.605
2022-01-12,12202.0,15832.269
2022-01-13,12263.0,15861.326
2022-01-14,12333.0,15907.778
2022-01-15,12416.0,15819.48
2022-01-16,12455.0,15826.702
2022-01-17,12497.0,15772.024
2022-01-18,12555.0,15755.527
2022-01-19,12636.0,15825.609
2022-01-20,12812.0,15857.417
2022-01-21,12898.0,15853.971
2022-01-22,13048.0,15892.844
2022-01-23,13158.0,15874.352
2022-01-24,13305.0,15985.328
2022-01-25,13429.0,16031.298
2022-01-26,13676.0,16043.6455
2022-01-27,13970.0,16313.669
2022-01-28,14269.001,16392.2
2022-01-29,14579.001,16576.752
2022-01-30,14930.0,16856.803
2022-01-31,15286.0,16971.89
2022-02-01,15696.0,17275.08
2022-02-02,16154.0,17764.045
2022-02-03,16724.002,18275.008
2022-02-04,17352.0,18768.89
2022-02-05,18128.0,19211.729
2022-02-06,19081.0,20008.602
2022-02-07,19966.0,20774.473
2022-02-08,20765.002,21724.336
2022-02-09,22142.0,22487.307
2022-02-10,23224.002,23967.389
2022-02-11,24380.0,25027.074
2022-02-12,25537.002,26288.762
2022-02-13,26868.002,27850.002
2022-02-14,28410.0,29208.178
2022-02-15,29737.0,30629.975
2022-02-16,31938.002,32652.4
2022-02-17,34107.0,35073.855
2022-02-18,36661.0,37342.367
2022-02-19,39055.0,40068.633
2022-02-20,41367.0,42866.027
2022-02-21,43585.004,45634.293
2022-02-22,45772.0,48377.95
2022-02-23,49247.0,51233.402
2022-02-24,53603.0,55795.37
2022-02-25,57571.0,59761.375
2022-02-26,61363.0,64038.164
2022-02-27,65454.996,67965.45
2022-02-28,68506.0,71958.086
2022-03-01,72008.0,74428.78
2022-03-02,77581.01,78816.94
2022-03-03,82410.0,86657.18
2022-03-04,89148.0,92279.64
2022-03-05,96096.0,98731.586
2022-03-06,102331.0,103826.555
2022-03-07,107233.0,109112.05
2022-03-08,112969.0,116189.086
2022-03-09,122109.0,123824.52
2022-03-10,130870.99,131777.33
2022-03-11,138783.98,141566.83
2022-03-12,148659.98,151142.45
2022-03-13,158654.0,161304.8
2022-03-14,166979.98,169094.38
2022-03-15,177906.98,179061.69
2022-03-16,191661.0,193618.55
2022-03-17,209441.0,209547.28
2022-03-18,221612.98,222837.14
2022-03-19,233535.98,233695.28
2022-03-20,244807.98,245038.73
2022-03-21,250182.98,253065.7
2022-03-22,262002.0,263844.34
2022-03-23,278644.0,277462.38
2022-03-24,291231.0,292365.25
2022-03-25,302786.0,302436.47
2022-03-26,314386.0,316638.56
2022-03-27,325193.0,325143.72
2022-03-28,331028.0,331221.72
2022-03-29,344094.0,344634.06
2022-03-30,359662.97,359630.06
2022-03-31,370985.0,370692.12
2022-04-01,381142.0,381708.72
2022-04-02,390468.0,391519.7
2022-04-03,399245.0,399230.94
2022-04-04,403201.0,402883.03
2022-04-05,412619.0,412480.4
2022-04-06,422885.0,424630.6
2022-04-07,431106.97,431751.3
2022-04-08,438455.0,438810.06
2022-04-09,445187.0,444572.0
2022-04-10,451506.0,452210.2
2022-04-11,454309.0,455512.94
2022-04-12,462117.97,461919.62
2022-04-13,469524.0,470683.72
2022-04-14,475061.0,474521.97
2022-04-15,479696.0,479700.44
2022-04-16,483847.0,483153.12
2022-04-17,487408.0,487495.5
2022-04-18,488858.97,488885.34
2022-04-19,493227.0,493189.28
2022-04-20,497500.0,497410.12
2022-04-21,501007.0,501049.9
2022-04-22,504062.97,504046.03
2022-04-23,506793.0,506727.4
2022-04-24,509415.97,509236.12
2022-04-25,510618.0,510495.03
2022-04-26,513381.0,513229.06
2022-04-27,516306.0,498832.16
2022-04-28,518330.0,488846.5
2022-04-29,520303.03,482368.0
2022-04-30,521774.03,471468.88
2022-05-01,523366.0,469619.25
2022-05-02,524070.97,472390.0
2022-05-03,525834.0,460006.5
