,Actual_data,Predicted_data
2020-08-15,81.0,84.73176
2020-08-16,81.0,88.03496
2020-08-17,82.0,87.09964
2020-08-18,84.0,87.897964
2020-08-19,90.0,90.34966
2020-08-20,95.0,95.60401
2020-08-21,104.0,99.93665
2020-08-22,120.0,111.17618
2020-08-23,135.0,127.99605
2020-08-24,141.0,143.16512
2020-08-25,149.0,146.27426
2020-08-26,167.0,160.3817
2020-08-27,181.0,180.36821
2020-08-28,184.0,187.14183
2020-08-29,184.0,187.45692
2020-08-30,186.0,189.75137
2020-08-31,189.0,192.63454
2020-09-01,192.99998,190.68457
2020-09-02,194.99998,195.76509
2020-09-03,199.0,197.69168
2020-09-04,202.0,202.67218
2020-09-05,205.0,205.48347
2020-09-06,210.0,209.54742
2020-09-07,210.0,212.12471
2020-09-08,210.0,210.60768
2020-09-09,210.0,210.05829
2020-09-10,212.0,211.16321
2020-09-11,212.0,213.51898
2020-09-12,214.99998,213.06949
2020-09-13,215.99998,215.78253
2020-09-14,215.99998,214.34935
2020-09-15,216.99998,213.3867
2020-09-16,216.99998,213.68042
2020-09-17,216.99998,215.76431
2020-09-18,216.99998,216.28056
2020-09-19,216.99998,216.88826
2020-09-20,216.99998,216.53903
2020-09-21,216.99998,216.19469
2020-09-22,219.0,218.24951
2020-09-23,220.0,220.57019
2020-09-24,222.0,220.61655
2020-09-25,223.0,220.46698
2020-09-26,223.0,222.497
2020-09-27,223.0,222.9581
2020-09-28,224.0,223.01988
2020-09-29,224.0,223.47672
2020-09-30,224.0,223.97562
2020-10-01,224.0,223.68779
2020-10-02,224.0,225.56012
2020-10-03,224.0,223.52237
2020-10-04,224.0,223.17778
2020-10-05,224.0,223.46521
2020-10-06,224.0,224.626
2020-10-07,224.0,224.54288
2020-10-08,224.0,224.86635
2020-10-09,224.0,224.32185
2020-10-10,224.0,225.30785
2020-10-11,226.0,226.26198
2020-10-12,227.0,227.01128
2020-10-13,231.0,227.6454
2020-10-14,231.0,230.05626
2020-10-15,232.0,230.64676
2020-10-16,232.0,231.30832
2020-10-17,235.00002,234.55006
2020-10-18,237.00002,236.77786
2020-10-19,238.0,238.31027
2020-10-20,241.0,238.116
2020-10-21,243.0,240.64684
2020-10-22,245.0,243.21039
2020-10-23,246.0,245.7107
2020-10-24,246.0,245.94469
2020-10-25,246.0,245.53758
2020-10-26,246.0,248.04713
2020-10-27,252.0,251.78285
2020-10-28,266.0,257.83453
2020-10-29,273.0,270.4128
2020-10-30,279.0,274.00885
2020-10-31,279.0,279.7331
2020-11-01,282.0,281.46423
2020-11-02,283.0,282.8129
2020-11-03,284.0,283.02393
2020-11-04,284.0,286.5745
2020-11-05,285.0,286.63535
2020-11-06,292.0,290.30618
2020-11-07,296.0,298.95383
2020-11-08,305.0,304.3561
2020-11-09,316.0,312.0004
2020-11-10,319.0,323.85907
2020-11-11,328.0,325.49982
2020-11-12,334.0,337.27087
2020-11-13,356.99997,351.9176
2020-11-14,375.0,372.71725
2020-11-15,393.99997,391.50552
2020-11-16,414.0,407.02573
2020-11-17,426.99997,432.55518
2020-11-18,431.99997,444.28702
2020-11-19,452.0,451.24075
2020-11-20,475.99997,471.76108
2020-11-21,491.0,494.3335
2020-11-22,504.0,506.13235
2020-11-23,516.0,524.97754
2020-11-24,562.0,551.25214
2020-11-25,575.0,577.14734
2020-11-26,583.0,584.02515
2020-11-27,592.0,595.6973
2020-11-28,625.0,617.75653
2020-11-29,644.0,637.7634
2020-11-30,651.99994,647.3367
2020-12-01,661.00006,656.27893
2020-12-02,673.0,670.6035
2020-12-03,681.0,679.23645
2020-12-04,684.0,682.02893
2020-12-05,693.0,691.0506
2020-12-06,705.0,704.46094
2020-12-07,714.0,713.1778
2020-12-08,722.0,721.1243
2020-12-09,727.00006,728.39813
2020-12-10,742.0,740.29803
2020-12-11,753.0,755.582
2020-12-12,789.0,783.99347
2020-12-13,807.00006,805.47675
2020-12-14,821.00006,821.59845
2020-12-15,834.0,831.53644
2020-12-16,842.00006,846.2976
2020-12-17,851.0,854.6854
2020-12-18,869.0,869.4941
2020-12-19,896.0,896.81323
2020-12-20,951.0,944.2595
2020-12-21,976.0,973.9797
2020-12-22,999.0,996.1729
2020-12-23,1012.00006,1010.24695
2020-12-24,1033.0,1030.9307
2020-12-25,1047.0,1045.3212
2020-12-26,1083.0,1080.5826
2020-12-27,1106.0,1104.1924
2020-12-28,1133.0,1130.9474
2020-12-29,1154.0,1152.385
2020-12-30,1171.0,1169.2062
2020-12-31,1207.0,1163.7052
2021-01-01,1237.0,1166.992
2021-01-02,1268.0,1197.1124
2021-01-03,1301.0,1232.5437
2021-01-04,1329.0,1265.5173
2021-01-05,1356.0,1275.5245
2021-01-06,1372.0,1295.0339
