,Actual_data,Predicted_data
2020-08-16,81.0,86.04784
2020-08-17,82.0,85.075714
2020-08-18,84.0,86.63635
2020-08-19,90.0,90.07689
2020-08-20,95.0,95.84241
2020-08-21,104.0,100.580696
2020-08-22,120.0,112.83134
2020-08-23,135.0,130.2885
2020-08-24,141.0,142.932
2020-08-25,149.0,147.3513
2020-08-26,167.0,161.65526
2020-08-27,180.99998,180.51523
2020-08-28,184.0,184.70467
2020-08-29,184.0,185.79861
2020-08-30,185.99998,189.21747
2020-08-31,189.0,191.92151
2020-09-01,193.0,192.31267
2020-09-02,195.0,195.29906
2020-09-03,198.99998,197.54007
2020-09-04,202.0,200.77664
2020-09-05,205.0,204.06105
2020-09-06,210.0,207.54271
2020-09-07,210.0,210.1361
2020-09-08,210.0,209.67288
2020-09-09,210.0,210.2557
2020-09-10,212.0,211.3656
2020-09-11,212.0,213.65694
2020-09-12,215.0,213.28041
2020-09-13,216.0,215.97931
2020-09-14,216.0,215.24593
2020-09-15,217.0,216.44089
2020-09-16,217.0,216.82448
2020-09-17,217.0,216.78069
2020-09-18,217.0,217.38857
2020-09-19,217.0,216.99203
2020-09-20,217.0,216.37933
2020-09-21,217.0,216.82266
2020-09-22,218.99998,217.153
2020-09-23,220.0,219.86246
2020-09-24,222.0,221.19504
2020-09-25,223.0,221.75842
2020-09-26,223.0,222.26308
2020-09-27,223.0,222.29367
2020-09-28,223.99998,223.33029
2020-09-29,223.99998,225.04689
2020-09-30,223.99998,223.5588
2020-10-01,223.99998,223.47304
2020-10-02,223.99998,224.65697
2020-10-03,223.99998,224.34479
2020-10-04,223.99998,222.9142
2020-10-05,223.99998,223.31245
2020-10-06,223.99998,224.4515
2020-10-07,223.99998,224.11008
2020-10-08,223.99998,223.74338
2020-10-09,223.99998,223.50371
2020-10-10,223.99998,224.48619
2020-10-11,226.0,225.44225
2020-10-12,227.0,227.22632
2020-10-13,230.99998,228.83905
2020-10-14,230.99998,231.05241
2020-10-15,232.0,231.04492
2020-10-16,232.0,232.85902
2020-10-17,235.0,235.40987
2020-10-18,236.99998,237.34981
2020-10-19,238.0,238.41766
2020-10-20,241.0,239.5201
2020-10-21,243.0,241.23009
2020-10-22,245.0,242.73174
2020-10-23,246.0,245.78783
2020-10-24,246.0,246.79436
2020-10-25,246.0,246.6425
2020-10-26,246.0,248.02084
2020-10-27,251.99998,253.87703
2020-10-28,266.0,263.048
2020-10-29,273.0,271.9586
2020-10-30,279.0,275.06335
2020-10-31,279.0,278.1034
2020-11-01,282.0,280.17923
2020-11-02,283.0,282.92633
2020-11-03,284.0,284.09976
2020-11-04,284.0,286.82248
2020-11-05,285.0,287.19492
2020-11-06,292.0,289.824
2020-11-07,296.0,297.1358
2020-11-08,305.0,304.4785
2020-11-09,316.0,313.58276
2020-11-10,319.0,321.98804
2020-11-11,328.0,326.76865
2020-11-12,334.0,335.7254
2020-11-13,357.0,353.05588
2020-11-14,375.00003,376.16946
2020-11-15,394.0,394.0701
2020-11-16,414.0,408.98978
2020-11-17,427.0,428.22928
2020-11-18,432.0,439.14767
2020-11-19,452.0,447.94724
2020-11-20,476.0,471.47205
2020-11-21,490.99997,490.98785
2020-11-22,503.99997,503.35208
2020-11-23,516.0,521.65875
2020-11-24,562.0,555.0829
2020-11-25,575.0,577.9163
2020-11-26,583.0,585.0334
2020-11-27,592.0,597.20105
2020-11-28,625.0,621.4473
2020-11-29,644.0,643.01434
2020-11-30,652.0,652.2717
2020-12-01,661.0,656.8505
2020-12-02,673.0,673.4859
2020-12-03,681.00006,683.2051
2020-12-04,684.00006,682.4089
2020-12-05,693.00006,694.87427
2020-12-06,705.0,705.9529
2020-12-07,714.0,712.7468
2020-12-08,722.0,721.1947
2020-12-09,727.00006,728.4878
2020-12-10,742.0,741.07635
2020-12-11,752.99994,754.52
2020-12-12,789.0,785.0691
2020-12-13,806.99994,806.27875
2020-12-14,821.0,821.8509
2020-12-15,834.0,830.64
2020-12-16,842.0,845.47437
2020-12-17,851.0,856.1027
2020-12-18,869.0,867.6232
2020-12-19,895.99994,896.3785
2020-12-20,951.0,949.5501
2020-12-21,976.0,975.7716
2020-12-22,999.00006,998.56
2020-12-23,1012.0,1012.0856
2020-12-24,1033.0,1032.6091
2020-12-25,1047.0,1046.684
2020-12-26,1083.0,1082.7766
2020-12-27,1106.0,1105.892
2020-12-28,1133.0,1132.7914
2020-12-29,1154.0,1153.8528
2020-12-30,1171.0,1170.8683
2020-12-31,1207.0,1206.4835
2021-01-01,1237.0,1162.1691
2021-01-02,1268.0,1167.4438
2021-01-03,1301.0,1184.2323
2021-01-04,1329.0,1209.3143
2021-01-05,1356.0001,1217.1173
2021-01-06,1372.0,1216.2838
2021-01-07,1402.0001,1229.8134
