,Actual_data,Predicted_data
2020-08-16,81.0,89.73154
2020-08-17,82.0,89.76348
2020-08-18,84.0,89.426476
2020-08-19,90.0,93.30428
2020-08-20,95.0,98.94235
2020-08-21,104.0,101.84198
2020-08-22,120.0,112.78782
2020-08-23,135.0,127.67313
2020-08-24,141.0,140.95908
2020-08-25,149.0,145.16841
2020-08-26,167.0,156.78253
2020-08-27,180.99998,172.68681
2020-08-28,184.0,182.77036
2020-08-29,184.0,182.38998
2020-08-30,185.99998,184.9514
2020-08-31,189.0,190.57762
2020-09-01,193.0,191.2801
2020-09-02,195.0,195.78554
2020-09-03,198.99998,195.47318
2020-09-04,202.0,201.43637
2020-09-05,205.0,205.75195
2020-09-06,210.0,211.1546
2020-09-07,210.0,211.01936
2020-09-08,210.0,210.56897
2020-09-09,210.0,213.99834
2020-09-10,212.0,213.50618
2020-09-11,212.0,213.27458
2020-09-12,215.0,213.46709
2020-09-13,216.0,217.5066
2020-09-14,216.0,216.7856
2020-09-15,217.0,213.47488
2020-09-16,217.0,213.33691
2020-09-17,217.0,217.61266
2020-09-18,217.0,215.26645
2020-09-19,217.0,215.22003
2020-09-20,217.0,216.43507
2020-09-21,217.0,217.08342
2020-09-22,218.99998,216.90709
2020-09-23,220.0,222.21696
2020-09-24,222.0,223.20328
2020-09-25,223.0,222.17305
2020-09-26,223.0,223.2065
2020-09-27,223.0,221.63626
2020-09-28,223.99998,226.3967
2020-09-29,223.99998,226.33498
2020-09-30,223.99998,226.47684
2020-10-01,223.99998,223.77144
2020-10-02,223.99998,229.18098
2020-10-03,223.99998,224.72589
2020-10-04,223.99998,225.84926
2020-10-05,223.99998,225.70001
2020-10-06,223.99998,226.46239
2020-10-07,223.99998,225.3075
2020-10-08,223.99998,224.90521
2020-10-09,223.99998,224.45851
2020-10-10,223.99998,225.129
2020-10-11,226.0,223.67233
2020-10-12,227.0,227.68741
2020-10-13,230.99998,231.83168
2020-10-14,230.99998,231.93672
2020-10-15,232.0,231.51677
2020-10-16,232.0,231.06694
2020-10-17,235.0,235.9164
2020-10-18,236.99998,238.64954
2020-10-19,238.0,240.81943
2020-10-20,241.0,237.10222
2020-10-21,243.0,241.70555
2020-10-22,245.0,243.36333
2020-10-23,246.0,244.70021
2020-10-24,246.0,249.2928
2020-10-25,246.0,244.56096
2020-10-26,246.0,251.99686
2020-10-27,251.99998,253.39096
2020-10-28,266.0,262.27502
2020-10-29,273.0,273.34018
2020-10-30,279.0,276.1462
2020-10-31,279.0,281.3048
2020-11-01,282.0,282.65277
2020-11-02,283.0,287.70157
2020-11-03,284.0,285.72983
2020-11-04,284.0,290.85806
2020-11-05,285.0,289.68045
2020-11-06,292.0,292.0464
2020-11-07,296.0,299.66858
2020-11-08,305.0,303.2169
2020-11-09,316.0,310.65222
2020-11-10,319.0,322.1616
2020-11-11,328.0,325.92688
2020-11-12,334.0,336.29788
2020-11-13,357.0,351.05798
2020-11-14,375.00003,367.7076
2020-11-15,394.0,388.6374
2020-11-16,414.0,405.96844
2020-11-17,427.0,432.89954
2020-11-18,432.0,442.30862
2020-11-19,452.0,451.31366
2020-11-20,476.0,471.16623
2020-11-21,490.99997,495.36887
2020-11-22,503.99997,505.36716
2020-11-23,516.0,524.4375
2020-11-24,562.0,554.39703
2020-11-25,575.0,582.66565
2020-11-26,583.0,587.3007
2020-11-27,592.0,593.9471
2020-11-28,625.0,618.4568
2020-11-29,644.0,643.7737
2020-11-30,652.0,649.18787
2020-12-01,661.0,663.1651
2020-12-02,673.0,676.1239
2020-12-03,681.00006,683.6589
2020-12-04,684.00006,683.09735
2020-12-05,693.00006,692.7435
2020-12-06,705.0,706.8595
2020-12-07,714.0,714.30035
2020-12-08,722.0,721.96545
2020-12-09,727.00006,728.8126
2020-12-10,742.0,740.82684
2020-12-11,752.99994,755.2068
2020-12-12,789.0,785.425
2020-12-13,806.99994,809.8425
2020-12-14,821.0,823.5757
2020-12-15,834.0,833.4391
2020-12-16,842.0,845.7512
2020-12-17,851.0,856.31805
2020-12-18,869.0,867.0957
2020-12-19,895.99994,896.8596
2020-12-20,951.0,948.8164
2020-12-21,976.0,977.73315
2020-12-22,999.00006,999.273
2020-12-23,1012.0,1012.5728
2020-12-24,1033.0,1033.3875
2020-12-25,1047.0,1047.5017
2020-12-26,1083.0,1083.3689
2020-12-27,1106.0,1106.7021
2020-12-28,1133.0,1133.39
2020-12-29,1154.0,1154.3348
2020-12-30,1171.0,1171.5785
2020-12-31,1207.0,1207.3318
2021-01-01,1237.0,1186.9182
2021-01-02,1268.0,1225.9281
2021-01-03,1301.0,1246.998
2021-01-04,1329.0,1282.1372
2021-01-05,1356.0001,1308.8469
2021-01-06,1372.0,1336.6305
2021-01-07,1402.0001,1365.226
