,Actual_data,Predicted_data
2020-08-15,81.0,72.72867
2020-08-16,81.0,79.96767
2020-08-17,82.0,69.0694
2020-08-18,84.0,75.12118
2020-08-19,90.0,83.45204
2020-08-20,95.0,94.08659
2020-08-21,104.0,91.88611
2020-08-22,120.0,106.136925
2020-08-23,135.0,128.11754
2020-08-24,141.0,138.27003
2020-08-25,149.0,149.10065
2020-08-26,167.0,168.74219
2020-08-27,181.0,175.40466
2020-08-28,184.0,174.18042
2020-08-29,184.0,181.64102
2020-08-30,186.0,190.9302
2020-08-31,189.0,182.80013
2020-09-01,192.99998,176.3383
2020-09-02,194.99998,184.7869
2020-09-03,199.0,190.33861
2020-09-04,202.0,208.528
2020-09-05,205.0,212.62367
2020-09-06,210.0,212.20334
2020-09-07,210.0,219.49495
2020-09-08,210.0,203.32448
2020-09-09,210.0,207.25076
2020-09-10,212.0,213.272
2020-09-11,212.0,218.49158
2020-09-12,214.99998,211.47238
2020-09-13,215.99998,222.29178
2020-09-14,215.99998,219.41272
2020-09-15,216.99998,215.43579
2020-09-16,216.99998,222.60204
2020-09-17,216.99998,219.13068
2020-09-18,216.99998,218.34178
2020-09-19,216.99998,219.97658
2020-09-20,216.99998,219.66542
2020-09-21,216.99998,219.37206
2020-09-22,219.0,219.3082
2020-09-23,220.0,226.35457
2020-09-24,222.0,223.97435
2020-09-25,223.0,228.65063
2020-09-26,223.0,229.11414
2020-09-27,223.0,225.90213
2020-09-28,224.0,226.77278
2020-09-29,224.0,229.89403
2020-09-30,224.0,225.58134
2020-10-01,224.0,225.62589
2020-10-02,224.0,227.1444
2020-10-03,224.0,226.52086
2020-10-04,224.0,226.29063
2020-10-05,224.0,226.43375
2020-10-06,224.0,226.58588
2020-10-07,224.0,226.82166
2020-10-08,224.0,227.01997
2020-10-09,224.0,227.04883
2020-10-10,224.0,226.9735
2020-10-11,226.0,226.89583
2020-10-12,227.0,234.09454
2020-10-13,231.0,231.76958
2020-10-14,231.0,242.35529
2020-10-15,232.0,231.9623
2020-10-16,232.0,235.99718
2020-10-17,235.00002,236.89246
2020-10-18,237.00002,244.54465
2020-10-19,238.0,243.14868
2020-10-20,241.0,241.34958
2020-10-21,243.0,252.1419
2020-10-22,245.0,250.56874
2020-10-23,246.0,251.33424
2020-10-24,246.0,251.72862
2020-10-25,246.0,248.93022
2020-10-26,246.0,249.18973
2020-10-27,252.0,248.86786
2020-10-28,266.0,266.5699
2020-10-29,273.0,285.34222
2020-10-30,279.0,271.46793
2020-10-31,279.0,285.8672
2020-11-01,282.0,281.76944
2020-11-02,283.0,286.78152
2020-11-03,284.0,285.87027
2020-11-04,284.0,288.18564
2020-11-05,285.0,286.7202
2020-11-06,292.0,288.9603
2020-11-07,296.0,306.8252
2020-11-08,305.0,299.63156
2020-11-09,316.0,316.75964
2020-11-10,319.0,330.56412
2020-11-11,328.0,314.499
2020-11-12,334.0,341.0965
2020-11-13,356.99997,344.26923
2020-11-14,375.0,369.09897
2020-11-15,393.99997,391.71017
2020-11-16,414.0,419.69153
2020-11-17,426.99997,444.84067
2020-11-18,431.99997,453.7755
2020-11-19,452.0,456.51956
2020-11-20,475.99997,480.42468
2020-11-21,491.0,507.33374
2020-11-22,504.0,514.3603
2020-11-23,516.0,532.6503
2020-11-24,562.0,546.7953
2020-11-25,575.0,553.445
2020-11-26,583.0,595.83606
2020-11-27,592.0,610.19415
2020-11-28,625.0,641.84937
2020-11-29,644.0,630.6048
2020-11-30,651.99994,658.6595
2020-12-01,661.00006,666.3296
2020-12-02,673.0,670.43286
2020-12-03,681.0,696.8075
2020-12-04,684.0,692.29456
2020-12-05,693.0,682.43854
2020-12-06,705.0,695.5053
2020-12-07,714.0,724.9949
2020-12-08,722.0,720.6124
2020-12-09,727.00006,722.364
2020-12-10,742.0,716.5518
2020-12-11,753.0,741.8832
2020-12-12,789.0,761.66595
2020-12-13,807.00006,783.5197
2020-12-14,821.00006,811.1696
2020-12-15,834.0,819.7326
2020-12-16,842.00006,844.9842
2020-12-17,851.0,845.1409
2020-12-18,869.0,862.9415
2020-12-19,896.0,911.94434
2020-12-20,951.0,956.65906
2020-12-21,976.0,979.51904
2020-12-22,999.0,998.2016
2020-12-23,1012.00006,1009.10205
2020-12-24,1033.0,1035.4517
2020-12-25,1047.0,1076.612
2020-12-26,1083.0,1082.7487
2020-12-27,1106.0,1115.75
2020-12-28,1133.0,1123.831
2020-12-29,1154.0,1139.9531
2020-12-30,1171.0,1166.3804
2020-12-31,1207.0,1157.5728
2021-01-01,1237.0,1172.3495
2021-01-02,1268.0,1180.1902
2021-01-03,1301.0,1212.1377
2021-01-04,1329.0,1243.4102
2021-01-05,1356.0,1255.8993
2021-01-06,1372.0,1276.5084
