,Actual_data,Predicted_data
2020-08-15,1800.0001,1862.9261
2020-08-16,1898.0,1900.1064
2020-08-17,1968.0,1978.2368
2020-08-18,2020.0001,2036.7814
2020-08-19,2119.0002,2140.3503
2020-08-20,2204.0,2207.221
2020-08-21,2307.0,2263.597
2020-08-22,2402.0,2388.1084
2020-08-23,2526.0002,2477.3452
2020-08-24,2611.0,2603.9077
2020-08-25,2683.0,2648.6167
2020-08-26,2782.0,2780.6367
2020-08-27,2884.0002,2876.3743
2020-08-28,2997.0002,2973.3489
2020-08-29,3101.0,3107.1333
2020-08-30,3181.0002,3177.5034
2020-08-31,3260.0,3267.7532
2020-09-01,3323.0,3345.799
2020-09-02,3407.0,3443.5667
2020-09-03,3471.0,3465.7976
2020-09-04,3527.0,3530.581
2020-09-05,3577.0,3601.8765
2020-09-06,3624.0002,3632.1084
2020-09-07,3655.0,3681.032
2020-09-08,3686.0002,3686.855
2020-09-09,3741.0,3774.3252
2020-09-10,3791.0002,3781.0833
2020-09-11,3838.0,3824.5923
2020-09-12,3869.9998,3840.3025
2020-09-13,3902.0,3898.2383
2020-09-14,3932.0,3937.9885
2020-09-15,3971.0,3935.577
2020-09-16,3997.0,3993.585
2020-09-17,4051.0,4015.3335
2020-09-18,4088.0,4101.214
2020-09-19,4129.0,4124.292
2020-09-20,4155.0,4145.3457
2020-09-21,4173.0,4150.1875
2020-09-22,4193.0,4186.959
2020-09-23,4223.0,4239.4717
2020-09-24,4271.0,4243.5405
2020-09-25,4298.0,4315.54
2020-09-26,4312.0,4341.082
2020-09-27,4333.0,4340.563
2020-09-28,4347.0,4361.6416
2020-09-29,4357.0,4377.424
2020-09-30,4383.0,4405.018
2020-10-01,4404.0,4418.7026
2020-10-02,4423.0,4419.9873
2020-10-03,4433.0,4442.751
2020-10-04,4449.0,4411.016
2020-10-05,4476.0,4456.9087
2020-10-06,4511.0,4508.4707
2020-10-07,4564.0,4560.5537
2020-10-08,4588.0,4561.5596
2020-10-09,4600.0,4598.0693
2020-10-10,4624.0,4639.7007
2020-10-11,4645.0,4649.9736
2020-10-12,4675.0,4654.8076
2020-10-13,4713.0,4688.37
2020-10-14,4744.0,4759.8174
2020-10-15,4752.0,4755.5854
2020-10-16,4769.0,4774.4985
2020-10-17,4800.9995,4811.2065
2020-10-18,4851.0,4854.7363
2020-10-19,4869.0,4899.6484
2020-10-20,4897.0,4897.399
2020-10-21,4921.0,4969.698
2020-10-22,4988.0,5002.9336
2020-10-23,5091.0,5072.2515
2020-10-24,5126.0,5132.2163
2020-10-25,5152.9995,5155.59
2020-10-26,5220.0,5167.819
2020-10-27,5255.0,5214.118
2020-10-28,5285.9995,5280.881
2020-10-29,5343.9995,5323.7715
2020-10-30,5376.0,5360.4263
2020-10-31,5403.0,5418.115
2020-11-01,5441.0,5417.6294
2020-11-02,5481.9995,5459.365
2020-11-03,5509.0,5571.8096
2020-11-04,5552.0,5573.409
2020-11-05,5579.0,5584.2334
2020-11-06,5626.0,5622.271
2020-11-07,5647.0,5671.818
2020-11-08,5672.0,5688.1133
2020-11-09,5693.9995,5709.5234
2020-11-10,5727.0,5707.466
2020-11-11,5780.0,5781.928
2020-11-12,5815.0,5808.7876
2020-11-13,5861.9995,5840.4053
2020-11-14,5910.9995,5902.3916
2020-11-15,5956.0,5935.3496
2020-11-16,5998.0,5975.215
2020-11-17,6050.0,6059.987
2020-11-18,6136.9995,6122.933
2020-11-19,6201.0,6182.2715
2020-11-20,6274.0,6298.0386
2020-11-21,6367.0,6374.061
2020-11-22,6442.0,6428.7246
2020-11-23,6518.0,6540.426
2020-11-24,6598.9995,6610.94
2020-11-25,6681.0,6728.948
2020-11-26,6864.0,6832.727
2020-11-27,6981.0,6992.4424
2020-11-28,7106.0,7084.012
2020-11-29,7200.0,7215.9453
2020-11-30,7277.0,7281.9595
2020-12-01,7372.9995,7401.5347
2020-12-02,7517.0005,7524.039
2020-12-03,7658.0,7668.3735
2020-12-04,7818.0,7799.791
2020-12-05,7975.0,7944.316
2020-12-06,8158.9995,8120.001
2020-12-07,8315.0,8303.445
2020-12-08,8472.001,8486.923
2020-12-09,8691.0,8718.246
2020-12-10,8906.0,8931.954
2020-12-11,9134.999,9173.486
2020-12-12,9407.0,9402.496
2020-12-13,9738.0,9735.5205
2020-12-14,9964.0,9959.65
2020-12-15,10252.0,10268.293
2020-12-16,10580.999,10558.369
2020-12-17,10872.0,10856.0205
2020-12-18,11175.0,11139.941
2020-12-19,11449.0,11446.102
2020-12-20,11698.0,11691.527
2020-12-21,11942.0,11943.006
2020-12-22,12146.0,12149.817
2020-12-23,12455.0,12456.271
2020-12-24,12740.0,12740.867
2020-12-25,13003.0,13002.15
2020-12-26,13257.999,13259.157
2020-12-27,13499.0,13501.326
2020-12-28,13692.0,13691.593
2020-12-29,13948.0,13943.184
2020-12-30,14225.0,14220.2705
2020-12-31,14450.0,14196.874
2021-01-01,14734.0,14449.8545
2021-01-02,14961.0,14557.694
2021-01-03,15165.0,14733.218
2021-01-04,15434.001,14921.441
2021-01-05,15663.0,15087.33
2021-01-06,15947.001,15445.919
