,Actual_data,Predicted_data
2020-08-15,168.0,169.40927
2020-08-16,170.0,172.28038
2020-08-17,170.0,173.21614
2020-08-18,170.0,172.94382
2020-08-19,171.0,173.31421
2020-08-20,174.0,175.41115
2020-08-21,178.0,177.61055
2020-08-22,187.0,181.70638
2020-08-23,196.00002,193.12933
2020-08-24,197.0,199.78282
2020-08-25,199.0,197.09114
2020-08-26,204.00002,203.70724
2020-08-27,212.0,209.92316
2020-08-28,216.0,219.35518
2020-08-29,228.0,223.64325
2020-08-30,235.0,236.41786
2020-08-31,236.0,238.9074
2020-09-01,239.0,236.85506
2020-09-02,240.0,242.64793
2020-09-03,240.0,242.22563
2020-09-04,243.0,244.26613
2020-09-05,251.0,249.91237
2020-09-06,257.0,254.8241
2020-09-07,260.0,258.46854
2020-09-08,260.0,257.61887
2020-09-09,261.0,260.10785
2020-09-10,262.0,258.55887
2020-09-11,262.0,262.33484
2020-09-12,265.0,264.03226
2020-09-13,268.0,268.46317
2020-09-14,269.0,270.74112
2020-09-15,271.0,271.95724
2020-09-16,274.0,275.4257
2020-09-17,277.0,274.67856
2020-09-18,281.0,279.1597
2020-09-19,282.0,284.44266
2020-09-20,283.0,284.19147
2020-09-21,285.0,286.45578
2020-09-22,286.0,289.94412
2020-09-23,286.0,290.35654
2020-09-24,287.0,288.95505
2020-09-25,288.0,291.9717
2020-09-26,289.0,292.02023
2020-09-27,290.0,290.60617
2020-09-28,291.0,292.3344
2020-09-29,291.0,295.10947
2020-09-30,291.0,292.57288
2020-10-01,291.0,292.08112
2020-10-02,291.0,291.74927
2020-10-03,291.0,290.47894
2020-10-04,291.0,288.8437
2020-10-05,292.0,289.3319
2020-10-06,292.0,292.17947
2020-10-07,292.0,292.57068
2020-10-08,295.0,292.91788
2020-10-09,296.0,295.7982
2020-10-10,296.0,296.33572
2020-10-11,296.0,294.58847
2020-10-12,297.0,293.78754
2020-10-13,297.0,296.7555
2020-10-14,297.0,294.5296
2020-10-15,297.0,296.16882
2020-10-16,297.0,297.56348
2020-10-17,299.0,297.91013
2020-10-18,299.0,299.44373
2020-10-19,300.0,299.88895
2020-10-20,301.0,300.55865
2020-10-21,301.0,300.6809
2020-10-22,301.0,300.55286
2020-10-23,301.0,300.2259
2020-10-24,301.0,301.43207
2020-10-25,303.0,302.55466
2020-10-26,306.0,304.3641
2020-10-27,311.0,308.3117
2020-10-28,314.0,314.0259
2020-10-29,314.0,315.8068
2020-10-30,315.0,316.2228
2020-10-31,316.0,317.41968
2020-11-01,318.0,319.1723
2020-11-02,319.0,321.3404
2020-11-03,320.0,321.7988
2020-11-04,320.0,323.9827
2020-11-05,325.0,325.68546
2020-11-06,338.0,331.47266
2020-11-07,343.0,344.80554
2020-11-08,353.0,346.24203
2020-11-09,356.99997,357.42447
2020-11-10,359.0,359.0518
2020-11-11,370.0,360.45627
2020-11-12,374.0,373.10553
2020-11-13,377.0,375.4916
2020-11-14,380.99997,383.00635
2020-11-15,384.00003,388.0121
2020-11-16,388.0,394.36743
2020-11-17,391.0,398.64844
2020-11-18,400.00003,403.55807
2020-11-19,428.0,422.23315
2020-11-20,446.0,446.94336
2020-11-21,457.0,458.67685
2020-11-22,476.00003,467.34576
2020-11-23,478.0,488.96936
2020-11-24,481.0,488.1619
2020-11-25,492.00003,497.27557
2020-11-26,537.0,523.21027
2020-11-27,576.0,564.34906
2020-11-28,590.0,589.1152
2020-11-29,605.0,600.2009
2020-11-30,625.0,621.16077
2020-12-01,636.0,631.76337
2020-12-02,643.0,643.73615
2020-12-03,656.0,654.98956
2020-12-04,672.0,674.3742
2020-12-05,698.99994,695.7942
2020-12-06,714.99994,716.0674
2020-12-07,731.00006,732.7614
2020-12-08,744.0,743.70306
2020-12-09,772.99994,769.58765
2020-12-10,788.99994,797.07605
2020-12-11,801.0,804.6118
2020-12-12,818.0,823.4705
2020-12-13,842.00006,845.51544
2020-12-14,870.0,868.7971
2020-12-15,886.0,891.34955
2020-12-16,905.00006,911.8181
2020-12-17,935.0,941.0197
2020-12-18,979.0,974.7494
2020-12-19,1011.0,1015.5086
2020-12-20,1062.0,1055.9807
2020-12-21,1077.0,1078.1104
2020-12-22,1095.0,1095.219
2020-12-23,1124.0,1123.7382
2020-12-24,1145.0,1144.5714
2020-12-25,1160.0,1160.2035
2020-12-26,1182.0,1182.0034
2020-12-27,1226.0,1226.2827
2020-12-28,1251.0,1251.2267
2020-12-29,1267.0,1267.2323
2020-12-30,1303.0,1302.6284
2020-12-31,1325.0,1328.1389
2021-01-01,1360.0,1317.4266
2021-01-02,1396.9999,1361.9191
2021-01-03,1408.9999,1376.6069
2021-01-04,1442.0,1384.9498
2021-01-05,1463.0,1421.9802
2021-01-06,1491.9999,1453.5887
