,Actual_data,Predicted_data
2020-08-16,1412.0,1418.5377
2020-08-17,1414.0,1419.1515
2020-08-18,1417.0,1419.7289
2020-08-19,1420.0,1422.1643
2020-08-20,1425.0001,1423.872
2020-08-21,1431.0,1427.5417
2020-08-22,1435.0001,1431.7856
2020-08-23,1437.0,1437.271
2020-08-24,1443.0,1438.4484
2020-08-25,1444.0,1441.928
2020-08-26,1444.0,1445.0792
2020-08-27,1448.0,1446.6719
2020-08-28,1449.0,1446.8833
2020-08-29,1450.0,1450.0953
2020-08-30,1453.0,1453.465
2020-08-31,1455.0,1451.8059
2020-09-01,1464.0,1455.7563
2020-09-02,1468.0,1466.2573
2020-09-03,1468.0,1468.9535
2020-09-04,1472.0,1471.9955
2020-09-05,1473.0,1476.0414
2020-09-06,1475.0,1474.1775
2020-09-07,1475.0,1478.5883
2020-09-08,1478.0,1476.1411
2020-09-09,1478.0,1479.1359
2020-09-10,1481.0,1481.9918
2020-09-11,1483.0,1483.324
2020-09-12,1485.0,1484.4973
2020-09-13,1487.0,1489.4103
2020-09-14,1488.0,1491.2804
2020-09-15,1489.0,1490.2849
2020-09-16,1491.0,1492.1521
2020-09-17,1497.0,1494.8625
2020-09-18,1502.0,1496.7828
2020-09-19,1506.0,1503.7457
2020-09-20,1511.0,1509.0745
2020-09-21,1512.0,1513.4338
2020-09-22,1516.0,1515.0593
2020-09-23,1522.0,1522.7246
2020-09-24,1524.0,1524.0988
2020-09-25,1530.0,1530.6831
2020-09-26,1533.0,1535.9583
2020-09-27,1539.0,1538.4612
2020-09-28,1543.0,1543.8043
2020-09-29,1545.0,1549.8427
2020-09-30,1551.0001,1547.6504
2020-10-01,1556.0,1552.4478
2020-10-02,1560.0,1556.9662
2020-10-03,1562.0,1559.5332
2020-10-04,1566.0,1561.4756
2020-10-05,1567.0,1563.703
2020-10-06,1567.0,1565.0278
2020-10-07,1567.0,1564.9928
2020-10-08,1568.0001,1564.6556
2020-10-09,1568.0001,1563.2416
2020-10-10,1568.0001,1567.7267
2020-10-11,1568.0001,1565.5187
2020-10-12,1569.0,1566.3068
2020-10-13,1570.0,1566.4777
2020-10-14,1570.0,1568.6526
2020-10-15,1570.9999,1566.4241
2020-10-16,1570.9999,1568.844
2020-10-17,1570.9999,1569.8246
2020-10-18,1570.9999,1569.9232
2020-10-19,1573.0,1571.733
2020-10-20,1575.0,1573.6444
2020-10-21,1577.0,1576.3499
2020-10-22,1577.9999,1577.4623
2020-10-23,1577.9999,1580.1031
2020-10-24,1577.9999,1579.8396
2020-10-25,1577.9999,1581.9102
2020-10-26,1581.0,1580.7354
2020-10-27,1581.0,1582.3209
2020-10-28,1586.0,1585.0115
2020-10-29,1587.0,1587.2574
2020-10-30,1587.0,1587.5579
2020-10-31,1587.0,1590.2288
2020-11-01,1587.0,1591.426
2020-11-02,1587.9999,1589.5073
2020-11-03,1587.9999,1592.6779
2020-11-04,1590.0,1591.5916
2020-11-05,1590.0,1593.0175
2020-11-06,1591.0,1594.2039
2020-11-07,1591.0,1593.3291
2020-11-08,1593.0,1593.6396
2020-11-09,1594.0,1595.511
2020-11-10,1594.9999,1597.0267
2020-11-11,1594.9999,1596.5068
2020-11-12,1596.0,1596.8275
2020-11-13,1596.0,1597.7548
2020-11-14,1596.0,1597.6681
2020-11-15,1598.0,1598.9248
2020-11-16,1611.9999,1601.324
2020-11-17,1615.0,1611.4637
2020-11-18,1631.0,1619.6882
2020-11-19,1639.0,1637.4424
2020-11-20,1649.0,1644.706
2020-11-21,1657.0,1658.014
2020-11-22,1662.9999,1665.2052
2020-11-23,1667.0,1665.9685
2020-11-24,1676.0,1677.1953
2020-11-25,1679.0,1681.306
2020-11-26,1681.0,1681.12
2020-11-27,1684.0,1690.5953
2020-11-28,1689.0,1691.2347
2020-11-29,1700.0,1695.423
2020-11-30,1703.9999,1706.7562
2020-12-01,1715.0,1713.3992
2020-12-02,1720.0,1721.9824
2020-12-03,1730.9999,1731.1191
2020-12-04,1740.0,1738.2722
2020-12-05,1757.0,1749.3093
2020-12-06,1768.0,1765.7941
2020-12-07,1777.0,1779.8558
2020-12-08,1781.9999,1784.6073
2020-12-09,1785.9999,1787.8868
2020-12-10,1794.0,1794.3564
2020-12-11,1797.0,1799.6418
2020-12-12,1816.0,1807.4135
2020-12-13,1834.0,1830.1469
2020-12-14,1850.0,1851.166
2020-12-15,1865.0,1862.9648
2020-12-16,1893.0,1887.1385
2020-12-17,1902.0,1906.5977
2020-12-18,1933.0,1928.4105
2020-12-19,1962.0,1965.2499
2020-12-20,1987.0,1992.1385
2020-12-21,2035.0,2024.8286
2020-12-22,2094.0,2092.701
2020-12-23,2119.0,2119.7263
2020-12-24,2169.0,2168.9275
2020-12-25,2236.0,2234.4465
2020-12-26,2270.0,2268.7766
2020-12-27,2304.0,2303.7935
2020-12-28,2350.0,2349.3984
2020-12-29,2378.0,2377.1272
2020-12-30,2401.0,2399.8079
2020-12-31,2424.0,2423.5464
2021-01-01,2448.0002,2411.302
2021-01-02,2467.9998,2440.4316
2021-01-03,2482.0002,2448.8586
2021-01-04,2507.0,2436.9514
2021-01-05,2531.0,2451.2114
2021-01-06,2559.0,2479.7502
2021-01-07,2595.0,2489.5042
