,Actual_data,Predicted_data
2020-08-16,1412.0,1418.1273
2020-08-17,1414.0,1417.7745
2020-08-18,1417.0,1419.4077
2020-08-19,1420.0,1422.6033
2020-08-20,1425.0001,1424.3767
2020-08-21,1431.0,1428.5653
2020-08-22,1435.0001,1433.728
2020-08-23,1437.0,1438.5637
2020-08-24,1443.0,1439.8815
2020-08-25,1444.0,1445.2866
2020-08-26,1444.0,1446.4337
2020-08-27,1448.0,1446.9448
2020-08-28,1449.0,1449.2115
2020-08-29,1450.0,1451.2092
2020-08-30,1453.0,1451.4642
2020-08-31,1455.0,1453.4675
2020-09-01,1464.0,1456.5166
2020-09-02,1468.0,1465.2317
2020-09-03,1468.0,1468.6177
2020-09-04,1472.0,1470.0049
2020-09-05,1473.0,1473.936
2020-09-06,1475.0,1474.6486
2020-09-07,1475.0,1476.9675
2020-09-08,1478.0,1477.5364
2020-09-09,1478.0,1481.6998
2020-09-10,1481.0,1480.6635
2020-09-11,1483.0,1482.5298
2020-09-12,1485.0,1483.4124
2020-09-13,1487.0,1489.8586
2020-09-14,1488.0,1489.8148
2020-09-15,1489.0,1489.6486
2020-09-16,1491.0,1491.986
2020-09-17,1497.0,1493.3867
2020-09-18,1502.0,1496.9423
2020-09-19,1506.0,1501.0369
2020-09-20,1511.0,1508.0604
2020-09-21,1512.0,1512.7743
2020-09-22,1516.0,1514.353
2020-09-23,1522.0,1520.1593
2020-09-24,1524.0,1524.1865
2020-09-25,1530.0,1529.8308
2020-09-26,1533.0,1536.6562
2020-09-27,1539.0,1539.1542
2020-09-28,1543.0,1544.3768
2020-09-29,1545.0,1547.5605
2020-09-30,1551.0001,1549.0905
2020-10-01,1556.0,1554.0585
2020-10-02,1560.0,1558.068
2020-10-03,1562.0,1559.3082
2020-10-04,1566.0,1560.428
2020-10-05,1567.0,1565.475
2020-10-06,1567.0,1563.7507
2020-10-07,1567.0,1566.628
2020-10-08,1568.0001,1568.5409
2020-10-09,1568.0001,1568.8151
2020-10-10,1568.0001,1570.7291
2020-10-11,1568.0001,1569.6523
2020-10-12,1569.0,1569.7152
2020-10-13,1570.0,1569.54
2020-10-14,1570.0,1571.4152
2020-10-15,1570.9999,1568.803
2020-10-16,1570.9999,1572.4702
2020-10-17,1570.9999,1573.7621
2020-10-18,1570.9999,1572.1384
2020-10-19,1573.0,1572.6229
2020-10-20,1575.0,1574.9882
2020-10-21,1577.0,1576.8115
2020-10-22,1577.9999,1577.294
2020-10-23,1577.9999,1578.8693
2020-10-24,1577.9999,1577.247
2020-10-25,1577.9999,1579.0945
2020-10-26,1581.0,1580.0801
2020-10-27,1581.0,1582.5396
2020-10-28,1586.0,1584.7446
2020-10-29,1587.0,1589.4702
2020-10-30,1587.0,1586.9468
2020-10-31,1587.0,1591.2526
2020-11-01,1587.0,1588.3267
2020-11-02,1587.9999,1589.1312
2020-11-03,1587.9999,1591.1449
2020-11-04,1590.0,1590.9543
2020-11-05,1590.0,1592.384
2020-11-06,1591.0,1592.4153
2020-11-07,1591.0,1596.418
2020-11-08,1593.0,1593.7192
2020-11-09,1594.0,1598.297
2020-11-10,1594.9999,1596.7474
2020-11-11,1594.9999,1597.8644
2020-11-12,1596.0,1597.5406
2020-11-13,1596.0,1596.1783
2020-11-14,1596.0,1596.5375
2020-11-15,1598.0,1597.1876
2020-11-16,1611.9999,1600.6537
2020-11-17,1615.0,1611.2632
2020-11-18,1631.0,1614.5258
2020-11-19,1639.0,1633.8171
2020-11-20,1649.0,1640.1523
2020-11-21,1657.0,1655.3682
2020-11-22,1662.9999,1660.4543
2020-11-23,1667.0,1667.6426
2020-11-24,1676.0,1672.4691
2020-11-25,1679.0,1679.6249
2020-11-26,1681.0,1681.3993
2020-11-27,1684.0,1687.295
2020-11-28,1689.0,1690.2286
2020-11-29,1700.0,1695.709
2020-11-30,1703.9999,1704.5574
2020-12-01,1715.0,1713.8738
2020-12-02,1720.0,1720.9706
2020-12-03,1730.9999,1731.1948
2020-12-04,1740.0,1735.971
2020-12-05,1757.0,1748.715
2020-12-06,1768.0,1763.457
2020-12-07,1777.0,1775.2397
2020-12-08,1781.9999,1784.2009
2020-12-09,1785.9999,1792.2356
2020-12-10,1794.0,1795.709
2020-12-11,1797.0,1804.6982
2020-12-12,1816.0,1813.3969
2020-12-13,1834.0,1831.0692
2020-12-14,1850.0,1851.7717
2020-12-15,1865.0,1866.096
2020-12-16,1893.0,1894.839
2020-12-17,1902.0,1912.5284
2020-12-18,1933.0,1933.428
2020-12-19,1962.0,1962.6143
2020-12-20,1987.0,1999.1638
2020-12-21,2035.0,2030.0133
2020-12-22,2094.0,2090.9067
2020-12-23,2119.0,2120.4175
2020-12-24,2169.0,2168.1592
2020-12-25,2236.0,2232.8357
2020-12-26,2270.0,2269.3015
2020-12-27,2304.0,2303.9402
2020-12-28,2350.0,2350.1506
2020-12-29,2378.0,2377.4272
2020-12-30,2401.0,2399.0315
2020-12-31,2424.0,2424.1907
2021-01-01,2448.0002,2436.3086
2021-01-02,2467.9998,2479.5896
2021-01-03,2482.0002,2491.476
2021-01-04,2507.0,2500.852
2021-01-05,2531.0,2534.8638
2021-01-06,2559.0,2564.9558
2021-01-07,2595.0,2581.1423
