,Actual_data,Predicted_data
2020-08-15,1412.0,1417.953
2020-08-16,1412.0,1418.1844
2020-08-17,1413.9999,1419.639
2020-08-18,1417.0,1418.982
2020-08-19,1419.9999,1421.2935
2020-08-20,1425.0,1423.9072
2020-08-21,1431.0,1426.7623
2020-08-22,1435.0,1430.4924
2020-08-23,1437.0,1435.9011
2020-08-24,1443.0,1438.1781
2020-08-25,1444.0,1442.566
2020-08-26,1444.0,1445.2064
2020-08-27,1448.0,1446.4203
2020-08-28,1449.0,1448.5302
2020-08-29,1450.0,1450.7435
2020-08-30,1453.0,1451.6049
2020-08-31,1454.9999,1452.7174
2020-09-01,1464.0,1456.4651
2020-09-02,1468.0,1461.8881
2020-09-03,1468.0,1467.5728
2020-09-04,1472.0,1470.8345
2020-09-05,1473.0001,1474.8217
2020-09-06,1475.0,1475.5674
2020-09-07,1475.0,1478.0732
2020-09-08,1478.0,1478.9271
2020-09-09,1478.0,1479.9921
2020-09-10,1481.0,1481.5836
2020-09-11,1483.0,1481.741
2020-09-12,1485.0001,1484.2156
2020-09-13,1487.0,1488.0541
2020-09-14,1488.0,1489.4927
2020-09-15,1489.0,1491.1404
2020-09-16,1491.0,1493.3597
2020-09-17,1497.0,1494.066
2020-09-18,1501.9999,1498.9453
2020-09-19,1506.0,1500.8036
2020-09-20,1511.0,1508.7777
2020-09-21,1512.0,1512.8423
2020-09-22,1516.0,1513.2843
2020-09-23,1522.0,1521.393
2020-09-24,1524.0,1522.479
2020-09-25,1530.0,1529.001
2020-09-26,1533.0,1532.6293
2020-09-27,1539.0,1538.3274
2020-09-28,1543.0,1542.5782
2020-09-29,1545.0,1548.1465
2020-09-30,1551.0,1548.5677
2020-10-01,1556.0,1551.0509
2020-10-02,1560.0,1555.4763
2020-10-03,1562.0,1556.9973
2020-10-04,1566.0,1559.0063
2020-10-05,1566.9999,1560.1305
2020-10-06,1566.9999,1562.2072
2020-10-07,1566.9999,1563.0974
2020-10-08,1568.0,1563.3939
2020-10-09,1568.0,1564.989
2020-10-10,1568.0,1566.6827
2020-10-11,1568.0,1565.4797
2020-10-12,1569.0,1565.6024
2020-10-13,1570.0,1565.7491
2020-10-14,1570.0,1568.873
2020-10-15,1571.0,1569.4932
2020-10-16,1571.0,1569.4948
2020-10-17,1571.0,1571.3779
2020-10-18,1571.0,1570.0724
2020-10-19,1573.0001,1572.5962
2020-10-20,1575.0,1572.2769
2020-10-21,1577.0,1575.9708
2020-10-22,1578.0,1576.1891
2020-10-23,1578.0,1577.7476
2020-10-24,1578.0,1579.2615
2020-10-25,1578.0,1579.6265
2020-10-26,1581.0,1581.5422
2020-10-27,1581.0,1581.5449
2020-10-28,1586.0,1583.8003
2020-10-29,1587.0,1585.457
2020-10-30,1587.0,1585.6436
2020-10-31,1587.0,1588.3082
2020-11-01,1587.0,1590.9995
2020-11-02,1588.0,1589.6066
2020-11-03,1588.0,1591.2865
2020-11-04,1590.0,1591.3337
2020-11-05,1590.0,1592.9838
2020-11-06,1591.0,1592.7548
2020-11-07,1591.0,1593.9427
2020-11-08,1593.0,1594.3939
2020-11-09,1594.0,1597.2845
2020-11-10,1595.0,1598.2816
2020-11-11,1595.0,1599.3486
2020-11-12,1596.0,1601.3214
2020-11-13,1596.0,1599.8973
2020-11-14,1596.0,1600.7891
2020-11-15,1598.0,1600.732
2020-11-16,1612.0,1606.9437
2020-11-17,1615.0,1612.208
2020-11-18,1631.0,1618.9685
2020-11-19,1639.0,1631.2078
2020-11-20,1648.9999,1638.9648
2020-11-21,1657.0,1650.3615
2020-11-22,1663.0,1656.918
2020-11-23,1666.9999,1663.8845
2020-11-24,1676.0,1673.3564
2020-11-25,1678.9999,1675.7249
2020-11-26,1681.0,1680.1875
2020-11-27,1684.0,1687.0303
2020-11-28,1689.0,1692.3348
2020-11-29,1700.0,1695.9294
2020-11-30,1704.0,1707.3328
2020-12-01,1715.0,1709.1443
2020-12-02,1719.9999,1722.3492
2020-12-03,1731.0,1727.4368
2020-12-04,1740.0,1737.4404
2020-12-05,1757.0,1744.964
2020-12-06,1768.0,1760.7902
2020-12-07,1777.0,1773.8885
2020-12-08,1782.0,1782.9377
2020-12-09,1786.0,1792.3262
2020-12-10,1794.0,1799.4479
2020-12-11,1797.0,1803.8954
2020-12-12,1816.0,1813.0448
2020-12-13,1834.0,1830.5205
2020-12-14,1850.0,1848.0647
2020-12-15,1865.0,1866.5477
2020-12-16,1893.0,1888.965
2020-12-17,1901.9999,1911.0887
2020-12-18,1933.0,1932.7288
2020-12-19,1962.0,1965.7928
2020-12-20,1987.0,1999.4093
2020-12-21,2035.0,2033.0072
2020-12-22,2094.0,2091.1116
2020-12-23,2119.0,2118.3157
2020-12-24,2169.0,2167.5364
2020-12-25,2236.0,2232.5166
2020-12-26,2270.0,2266.927
2020-12-27,2304.0,2301.5903
2020-12-28,2350.0,2347.4783
2020-12-29,2378.0,2375.0369
2020-12-30,2401.0,2397.209
2020-12-31,2424.0,2423.114
2021-01-01,2448.0,2437.3494
2021-01-02,2468.0,2471.7405
2021-01-03,2482.0,2479.5063
2021-01-04,2507.0,2499.176
2021-01-05,2531.0,2526.1729
2021-01-06,2559.0,2546.8108
