,Actual_data,Predicted_data
2020-08-16,1412.0,1409.82
2020-08-17,1414.0,1409.2709
2020-08-18,1417.0,1411.5663
2020-08-19,1420.0,1415.5822
2020-08-20,1425.0001,1419.4314
2020-08-21,1431.0,1425.9172
2020-08-22,1435.0001,1433.3914
2020-08-23,1437.0,1439.0802
2020-08-24,1443.0,1441.6304
2020-08-25,1444.0,1449.6338
2020-08-26,1444.0,1454.9164
2020-08-27,1448.0,1450.5964
2020-08-28,1449.0,1453.6144
2020-08-29,1450.0,1455.2015
2020-08-30,1453.0,1452.8353
2020-08-31,1455.0,1454.1284
2020-09-01,1464.0,1455.6079
2020-09-02,1468.0,1471.9989
2020-09-03,1468.0,1476.9508
2020-09-04,1472.0,1476.597
2020-09-05,1473.0,1477.3718
2020-09-06,1475.0,1478.8256
2020-09-07,1475.0,1478.1241
2020-09-08,1478.0,1476.8926
2020-09-09,1478.0,1478.966
2020-09-10,1481.0,1479.4781
2020-09-11,1483.0,1481.7412
2020-09-12,1485.0,1483.1279
2020-09-13,1487.0,1484.6001
2020-09-14,1488.0,1486.1206
2020-09-15,1489.0,1487.1375
2020-09-16,1491.0,1487.8988
2020-09-17,1497.0,1490.2892
2020-09-18,1502.0,1500.0424
2020-09-19,1506.0,1505.2463
2020-09-20,1511.0,1509.9735
2020-09-21,1512.0,1515.535
2020-09-22,1516.0,1518.7426
2020-09-23,1522.0,1522.9092
2020-09-24,1524.0,1529.9785
2020-09-25,1530.0,1533.442
2020-09-26,1533.0,1539.9819
2020-09-27,1539.0,1542.3405
2020-09-28,1543.0,1548.67
2020-09-29,1545.0,1551.5199
2020-09-30,1551.0001,1552.769
2020-10-01,1556.0,1560.1804
2020-10-02,1560.0,1564.5822
2020-10-03,1562.0,1568.4672
2020-10-04,1566.0,1569.7816
2020-10-05,1567.0,1574.0356
2020-10-06,1567.0,1575.3536
2020-10-07,1567.0,1573.8125
2020-10-08,1568.0001,1572.0621
2020-10-09,1568.0001,1572.4025
2020-10-10,1568.0001,1571.2351
2020-10-11,1568.0001,1569.9446
2020-10-12,1569.0,1568.7368
2020-10-13,1570.0,1569.5812
2020-10-14,1570.0,1570.2844
2020-10-15,1570.9999,1569.8412
2020-10-16,1570.9999,1571.1482
2020-10-17,1570.9999,1570.7894
2020-10-18,1570.9999,1570.7905
2020-10-19,1573.0,1570.5973
2020-10-20,1575.0,1574.0823
2020-10-21,1577.0,1576.3226
2020-10-22,1577.9999,1578.8705
2020-10-23,1577.9999,1579.7953
2020-10-24,1577.9999,1579.5875
2020-10-25,1577.9999,1579.4332
2020-10-26,1581.0,1579.3362
2020-10-27,1581.0,1584.7838
2020-10-28,1586.0,1584.231
2020-10-29,1587.0,1593.5377
2020-10-30,1587.0,1593.4807
2020-10-31,1587.0,1592.165
2020-11-01,1587.0,1590.169
2020-11-02,1587.9999,1589.1561
2020-11-03,1587.9999,1590.1521
2020-11-04,1590.0,1589.2987
2020-11-05,1590.0,1592.3425
2020-11-06,1591.0,1591.3762
2020-11-07,1591.0,1592.7727
2020-11-08,1593.0,1591.935
2020-11-09,1594.0,1595.3899
2020-11-10,1594.9999,1595.911
2020-11-11,1594.9999,1597.1637
2020-11-12,1596.0,1596.5482
2020-11-13,1596.0,1598.0906
2020-11-14,1596.0,1597.5957
2020-11-15,1598.0,1597.4956
2020-11-16,1611.9999,1600.767
2020-11-17,1615.0,1628.1837
2020-11-18,1631.0,1636.2076
2020-11-19,1639.0,1656.7445
2020-11-20,1649.0,1655.684
2020-11-21,1657.0,1659.8228
2020-11-22,1662.9999,1660.7188
2020-11-23,1667.0,1665.0624
2020-11-24,1676.0,1670.5465
2020-11-25,1679.0,1684.6868
2020-11-26,1681.0,1690.5835
2020-11-27,1684.0,1693.3055
2020-11-28,1689.0,1697.3453
2020-11-29,1700.0,1703.8274
2020-11-30,1703.9999,1715.0819
2020-12-01,1715.0,1715.4191
2020-12-02,1720.0,1727.8252
2020-12-03,1730.9999,1728.0266
2020-12-04,1740.0,1739.6462
2020-12-05,1757.0,1741.0507
2020-12-06,1768.0,1757.8145
2020-12-07,1777.0,1761.3148
2020-12-08,1781.9999,1775.8469
2020-12-09,1785.9999,1784.0906
2020-12-10,1794.0,1793.5969
2020-12-11,1797.0,1806.9541
2020-12-12,1816.0,1809.3363
2020-12-13,1834.0,1828.1156
2020-12-14,1850.0,1834.8715
2020-12-15,1865.0,1859.2938
2020-12-16,1893.0,1878.897
2020-12-17,1902.0,1911.0901
2020-12-18,1933.0,1932.825
2020-12-19,1962.0,1970.0913
2020-12-20,1987.0,2007.3567
2020-12-21,2035.0,2060.7246
2020-12-22,2094.0,2093.9214
2020-12-23,2119.0,2122.8782
2020-12-24,2169.0,2171.758
2020-12-25,2236.0,2239.399
2020-12-26,2270.0,2249.5488
2020-12-27,2304.0,2273.8186
2020-12-28,2350.0,2381.3098
2020-12-29,2378.0,2395.8706
2020-12-30,2401.0,2367.7097
2020-12-31,2424.0,2411.1648
2021-01-01,2448.0002,2419.154
2021-01-02,2467.9998,2398.7058
2021-01-03,2482.0002,2397.4543
2021-01-04,2507.0,2423.4702
2021-01-05,2531.0,2446.651
2021-01-06,2559.0,2469.9668
2021-01-07,2595.0,2490.6914
