,Actual_data,Predicted_data
2020-08-15,221.0,223.45604
2020-08-16,227.99998,230.04454
2020-08-17,235.0,233.65796
2020-08-18,238.99998,237.79524
2020-08-19,244.99998,244.19398
2020-08-20,246.0,249.41031
2020-08-21,250.99998,251.75383
2020-08-22,262.0,258.345
2020-08-23,279.0,276.51047
2020-08-24,280.0,285.53622
2020-08-25,284.0,290.28394
2020-08-26,291.0,296.40253
2020-08-27,330.0,319.69556
2020-08-28,347.0,346.21045
2020-08-29,363.0,359.55307
2020-08-30,365.00003,365.28708
2020-08-31,374.0,375.03333
2020-09-01,378.0,380.83438
2020-09-02,388.00003,390.60953
2020-09-03,394.0,396.51657
2020-09-04,405.0,404.77747
2020-09-05,413.0,413.04337
2020-09-06,420.0,421.71588
2020-09-07,429.00003,429.7365
2020-09-08,442.00003,441.14536
2020-09-09,459.0,456.57944
2020-09-10,464.00003,465.4061
2020-09-11,472.00003,466.27295
2020-09-12,475.0,473.65164
2020-09-13,478.0,482.2664
2020-09-14,481.0,479.13547
2020-09-15,482.0,481.40454
2020-09-16,484.00003,482.62128
2020-09-17,485.0,487.49387
2020-09-18,485.0,485.32394
2020-09-19,485.0,484.3726
2020-09-20,485.0,486.9285
2020-09-21,486.0,489.81885
2020-09-22,486.0,489.7022
2020-09-23,488.00003,489.55225
2020-09-24,488.00003,487.8033
2020-09-25,490.0,488.4625
2020-09-26,490.0,490.66403
2020-09-27,492.00003,489.42566
2020-09-28,492.00003,487.83142
2020-09-29,492.00003,490.38318
2020-09-30,495.00003,495.228
2020-10-01,495.00003,497.12344
2020-10-02,495.00003,496.6287
2020-10-03,495.00003,496.88687
2020-10-04,496.0,498.6
2020-10-05,496.0,494.60568
2020-10-06,496.0,499.0187
2020-10-07,496.0,497.07684
2020-10-08,496.0,496.5009
2020-10-09,496.0,497.35248
2020-10-10,496.0,493.83743
2020-10-11,496.0,496.63232
2020-10-12,497.0,494.97726
2020-10-13,499.00003,500.14294
2020-10-14,499.00003,500.5532
2020-10-15,499.00003,502.39163
2020-10-16,499.00003,498.80768
2020-10-17,500.0,502.61862
2020-10-18,500.0,500.00815
2020-10-19,502.0,502.21652
2020-10-20,502.0,500.37488
2020-10-21,503.00003,500.62567
2020-10-22,503.00003,504.58542
2020-10-23,509.0,506.6638
2020-10-24,509.0,511.99698
2020-10-25,509.0,508.94785
2020-10-26,509.0,506.41083
2020-10-27,509.0,508.28052
2020-10-28,509.0,509.40558
2020-10-29,511.00003,510.96338
2020-10-30,511.00003,511.94608
2020-10-31,511.00003,512.76764
2020-11-01,514.0,512.1618
2020-11-02,514.0,515.47485
2020-11-03,516.0,515.9321
2020-11-04,516.0,519.8252
2020-11-05,516.0,521.593
2020-11-06,516.0,516.05066
2020-11-07,516.0,519.4689
2020-11-08,518.0,516.91626
2020-11-09,519.0,522.1819
2020-11-10,524.0,521.21576
2020-11-11,528.0,527.33844
2020-11-12,534.0,531.19403
2020-11-13,539.0,538.1706
2020-11-14,547.0,545.79913
2020-11-15,556.0,551.73645
2020-11-16,560.0,564.8396
2020-11-17,578.0,569.05054
2020-11-18,587.0,585.06024
2020-11-19,595.0,596.43945
2020-11-20,599.0,602.8084
2020-11-21,606.0,607.22406
2020-11-22,614.0,614.05707
2020-11-23,615.0,628.0051
2020-11-24,618.0,621.3702
2020-11-25,632.0,626.64014
2020-11-26,646.0,645.71454
2020-11-27,659.00006,656.42566
2020-11-28,675.0,673.31616
2020-11-29,683.0,684.2386
2020-11-30,696.0,697.6459
2020-12-01,718.0,710.2706
2020-12-02,728.00006,727.6878
2020-12-03,731.0,736.39685
2020-12-04,732.0,738.7438
2020-12-05,738.0,736.532
2020-12-06,743.00006,742.32086
2020-12-07,748.0,749.7399
2020-12-08,759.00006,753.5943
2020-12-09,768.0,769.08856
2020-12-10,773.0,774.20874
2020-12-11,776.0,782.26917
2020-12-12,785.0,789.2265
2020-12-13,800.0,797.98926
2020-12-14,822.0,818.76715
2020-12-15,827.0,830.48376
2020-12-16,829.0,833.8894
2020-12-17,839.0,838.6699
2020-12-18,843.00006,847.05457
2020-12-19,852.00006,852.9711
2020-12-20,866.00006,867.2641
2020-12-21,879.0,879.3246
2020-12-22,905.00006,905.367
2020-12-23,941.0,939.9554
2020-12-24,956.0,957.88983
2020-12-25,992.0,990.8913
2020-12-26,1020.00006,1021.3646
2020-12-27,1037.0,1037.3203
2020-12-28,1049.0,1050.1713
2020-12-29,1064.0,1063.4382
2020-12-30,1073.0,1073.7198
2020-12-31,1081.0,1075.0177
2021-01-01,1098.0,1077.4159
2021-01-02,1111.0,1091.9738
2021-01-03,1137.0,1112.0306
2021-01-04,1211.0,1135.7573
2021-01-05,1234.0,1172.3827
2021-01-06,1264.0,1165.6584
