,Actual_data,Predicted_data
2020-08-16,228.0,231.16504
2020-08-17,235.0,233.146
2020-08-18,239.0,237.72543
2020-08-19,245.0,244.87509
2020-08-20,246.0,245.02371
2020-08-21,251.0,251.4045
2020-08-22,262.0,259.6166
2020-08-23,279.0,278.37512
2020-08-24,280.0,279.56857
2020-08-25,284.0,285.6765
2020-08-26,291.0,291.6174
2020-08-27,330.00003,329.8526
2020-08-28,347.0,348.73392
2020-08-29,363.0,361.78555
2020-08-30,365.0,364.76767
2020-08-31,374.0,374.122
2020-09-01,378.0,377.80197
2020-09-02,388.0,388.65802
2020-09-03,394.0,394.51645
2020-09-04,405.0,402.76376
2020-09-05,413.0,411.72522
2020-09-06,420.0,420.11856
2020-09-07,429.0,429.44662
2020-09-08,442.0,440.66177
2020-09-09,459.0,456.8206
2020-09-10,464.0,466.12344
2020-09-11,472.0,468.60837
2020-09-12,475.0,476.5151
2020-09-13,478.0,479.87924
2020-09-14,481.0,480.99942
2020-09-15,482.0,483.40512
2020-09-16,484.0,481.12137
2020-09-17,485.0,486.50284
2020-09-18,485.0,486.30713
2020-09-19,485.0,484.25284
2020-09-20,485.0,485.41534
2020-09-21,486.0,486.38535
2020-09-22,486.0,488.15704
2020-09-23,488.0,487.43344
2020-09-24,488.0,486.44135
2020-09-25,490.0,488.41458
2020-09-26,490.0,489.15723
2020-09-27,492.0,490.0149
2020-09-28,492.0,488.50446
2020-09-29,492.0,490.1212
2020-09-30,495.0,492.5029
2020-10-01,495.0,494.19724
2020-10-02,495.0,493.25934
2020-10-03,495.0,494.1554
2020-10-04,496.0,500.45258
2020-10-05,496.0,497.55008
2020-10-06,496.0,498.05994
2020-10-07,496.0,494.94284
2020-10-08,496.0,497.3938
2020-10-09,496.0,496.28848
2020-10-10,496.0,495.0545
2020-10-11,496.0,495.90512
2020-10-12,497.0,495.5439
2020-10-13,499.0,498.81595
2020-10-14,499.0,499.86523
2020-10-15,499.0,498.03342
2020-10-16,499.0,498.66263
2020-10-17,500.0,498.69824
2020-10-18,500.0,498.56393
2020-10-19,502.0,503.2111
2020-10-20,502.0,499.89957
2020-10-21,503.0,503.1479
2020-10-22,503.0,504.96164
2020-10-23,509.0,507.26938
2020-10-24,509.0,509.48676
2020-10-25,509.0,508.3091
2020-10-26,509.0,505.24536
2020-10-27,509.0,508.5918
2020-10-28,509.0,508.02737
2020-10-29,511.0,510.18225
2020-10-30,511.0,510.52838
2020-10-31,511.0,510.74692
2020-11-01,514.0,512.0817
2020-11-02,514.0,513.494
2020-11-03,516.0,514.36237
2020-11-04,516.0,515.35724
2020-11-05,516.0,517.62976
2020-11-06,516.0,516.6815
2020-11-07,516.0,517.9763
2020-11-08,518.0,517.74664
2020-11-09,519.0,524.06934
2020-11-10,524.0,523.9913
2020-11-11,528.0,529.51715
2020-11-12,534.0,532.8745
2020-11-13,539.0,539.4753
2020-11-14,547.0,547.5522
2020-11-15,556.0,555.4148
2020-11-16,560.0,564.6997
2020-11-17,578.0,570.6829
2020-11-18,587.0,585.0378
2020-11-19,595.0,595.32825
2020-11-20,599.0,601.2734
2020-11-21,606.0,607.26587
2020-11-22,614.0,611.9461
2020-11-23,615.0,622.19604
2020-11-24,618.0,621.0983
2020-11-25,632.00006,625.28485
2020-11-26,646.0,642.75085
2020-11-27,659.0,653.5507
2020-11-28,675.0,670.5536
2020-11-29,683.0,682.664
2020-11-30,696.00006,696.5963
2020-12-01,718.0,709.798
2020-12-02,728.00006,724.11096
2020-12-03,731.0,733.4871
2020-12-04,732.00006,738.59644
2020-12-05,738.0,735.7265
2020-12-06,743.0,743.89874
2020-12-07,748.0,744.5779
2020-12-08,759.0,753.51636
2020-12-09,768.0,767.26996
2020-12-10,773.0,776.533
2020-12-11,776.0,779.32434
2020-12-12,785.0,786.01385
2020-12-13,800.0,798.55725
2020-12-14,822.0,819.98096
2020-12-15,827.0,832.76166
2020-12-16,829.0,831.9751
2020-12-17,838.99994,837.6855
2020-12-18,842.99994,843.55615
2020-12-19,852.0,851.2947
2020-12-20,866.0,867.4708
2020-12-21,878.99994,878.7829
2020-12-22,905.0,904.34656
2020-12-23,941.0,940.18866
2020-12-24,956.0,956.13055
2020-12-25,992.0,991.1189
2020-12-26,1020.0,1019.99286
2020-12-27,1037.0,1036.145
2020-12-28,1049.0,1048.6211
2020-12-29,1064.0,1062.9731
2020-12-30,1073.0,1073.0444
2020-12-31,1081.0,1080.6859
2021-01-01,1098.0,1084.3207
2021-01-02,1111.0,1096.435
2021-01-03,1137.0,1122.1779
2021-01-04,1211.0,1158.4049
2021-01-05,1234.0,1179.7179
2021-01-06,1264.0001,1169.0756
2021-01-07,1292.0,1199.19
