,Actual_data,Predicted_data
2020-08-15,6946.0,6949.7715
2020-08-16,6947.0,6949.9517
2020-08-17,6948.0,6951.0425
2020-08-18,6954.0,6954.044
2020-08-19,6956.0,6957.5723
2020-08-20,6959.0005,6959.824
2020-08-21,6963.0,6962.706
2020-08-22,6972.0,6969.962
2020-08-23,6978.0,6979.3564
2020-08-24,6978.0,6981.516
2020-08-25,6983.0,6982.094
2020-08-26,6986.0,6988.1143
2020-08-27,6999.0,6995.723
2020-08-28,7007.0,7009.655
2020-08-29,7013.0,7013.4214
2020-08-30,7043.0005,7040.986
2020-08-31,7047.0,7051.5503
2020-09-01,7049.0,7053.73
2020-09-02,7062.0,7064.7324
2020-09-03,7065.0,7069.9404
2020-09-04,7072.0,7075.377
2020-09-05,7077.0,7078.4917
2020-09-06,7082.0,7081.221
2020-09-07,7084.0,7083.6797
2020-09-08,7086.0,7085.139
2020-09-09,7088.0,7088.0605
2020-09-10,7089.0,7089.9614
2020-09-11,7090.0,7091.2075
2020-09-12,7094.0,7095.831
2020-09-13,7108.0,7105.6255
2020-09-14,7112.0,7112.3325
2020-09-15,7112.0,7111.571
2020-09-16,7116.0,7118.3877
2020-09-17,7118.0,7118.8647
2020-09-18,7119.9995,7119.698
2020-09-19,7122.0,7122.0107
2020-09-20,7124.0,7124.952
2020-09-21,7125.0,7126.931
2020-09-22,7125.0,7125.8516
2020-09-23,7128.0,7128.1685
2020-09-24,7129.0,7129.5474
2020-09-25,7129.0,7130.0796
2020-09-26,7130.0,7130.1685
2020-09-27,7130.0,7130.9565
2020-09-28,7130.0,7130.3906
2020-09-29,7130.0,7130.8813
2020-09-30,7132.0,7133.8164
2020-10-01,7133.0,7135.843
2020-10-02,7133.0,7133.6177
2020-10-03,7133.0,7135.0625
2020-10-04,7135.0,7136.959
2020-10-05,7136.0,7137.7188
2020-10-06,7136.0,7138.1157
2020-10-07,7137.0,7139.1064
2020-10-08,7137.0,7138.1387
2020-10-09,7138.0,7140.8555
2020-10-10,7139.0,7141.151
2020-10-11,7140.0,7142.773
2020-10-12,7140.0,7143.5776
2020-10-13,7140.9995,7141.071
2020-10-14,7140.9995,7143.1387
2020-10-15,7140.9995,7142.949
2020-10-16,7140.9995,7144.43
2020-10-17,7142.0,7144.259
2020-10-18,7142.0,7145.3027
2020-10-19,7142.0,7146.04
2020-10-20,7142.0,7144.3003
2020-10-21,7142.0,7142.7466
2020-10-22,7144.0,7146.141
2020-10-23,7149.0,7148.7393
2020-10-24,7149.0,7149.896
2020-10-25,7150.0,7149.39
2020-10-26,7150.0,7148.901
2020-10-27,7150.0,7150.4478
2020-10-28,7152.0,7149.93
2020-10-29,7154.9995,7153.8467
2020-10-30,7165.0,7160.923
2020-10-31,7174.0,7170.145
2020-11-01,7175.9995,7175.6094
2020-11-02,7179.0,7178.6
2020-11-03,7179.0,7182.174
2020-11-04,7181.0,7180.3926
2020-11-05,7182.9995,7183.366
2020-11-06,7182.9995,7184.1416
2020-11-07,7184.0,7189.6733
2020-11-08,7191.0,7191.7817
2020-11-09,7196.9995,7197.8857
2020-11-10,7198.0,7203.375
2020-11-11,7198.0,7200.5566
2020-11-12,7201.0,7201.2773
2020-11-13,7202.0,7205.507
2020-11-14,7202.0,7208.374
2020-11-15,7203.0,7211.0474
2020-11-16,7203.0,7211.3096
2020-11-17,7206.0,7214.1343
2020-11-18,7208.0,7210.1143
2020-11-19,7210.0,7210.239
2020-11-20,7210.9995,7216.272
2020-11-21,7212.0,7216.383
2020-11-22,7213.0,7218.046
2020-11-23,7215.0,7218.1836
2020-11-24,7217.9995,7217.045
2020-11-25,7223.0,7223.8403
2020-11-26,7224.0,7229.704
2020-11-27,7224.0,7225.502
2020-11-28,7224.9995,7223.192
2020-11-29,7228.0,7226.3584
2020-11-30,7231.9995,7228.0347
2020-12-01,7243.0,7233.332
2020-12-02,7247.0,7245.217
2020-12-03,7250.0,7248.471
2020-12-04,7256.0,7257.5728
2020-12-05,7263.0,7263.034
2020-12-06,7266.0,7269.03
2020-12-07,7271.0,7273.9287
2020-12-08,7275.0,7278.3955
2020-12-09,7277.0,7280.9077
2020-12-10,7280.0,7282.923
2020-12-11,7286.0,7290.184
2020-12-12,7321.0,7312.284
2020-12-13,7349.0,7342.0293
2020-12-14,7365.0,7360.186
2020-12-15,7384.0,7378.475
2020-12-16,7411.0,7402.631
2020-12-17,7432.0,7429.361
2020-12-18,7452.0,7450.256
2020-12-19,7472.0,7471.1357
2020-12-20,7497.0,7495.692
2020-12-21,7518.0,7519.5044
2020-12-22,7557.0,7556.9824
2020-12-23,7581.0,7582.4
2020-12-24,7607.0,7607.918
2020-12-25,7630.0,7630.6646
2020-12-26,7643.0,7644.0483
2020-12-27,7664.0,7664.2104
2020-12-28,7688.0,7688.196
2020-12-29,7717.0,7717.044
2020-12-30,7768.0,7768.0166
2020-12-31,7801.0,7749.1523
2021-01-01,7844.0,7751.875
2021-01-02,7873.0,7790.5166
2021-01-03,7895.0,7801.6636
2021-01-04,7924.0,7804.858
2021-01-05,7956.0,7813.973
2021-01-06,7977.0,7844.5103
