,Actual_data,Predicted_data
2020-08-16,6947.0,6948.2236
2020-08-17,6948.0,6948.6797
2020-08-18,6953.9995,6953.854
2020-08-19,6956.0,6955.8765
2020-08-20,6959.0,6958.032
2020-08-21,6963.0,6961.7036
2020-08-22,6972.0,6969.84
2020-08-23,6978.0,6977.193
2020-08-24,6978.0,6977.611
2020-08-25,6983.0,6981.8887
2020-08-26,6985.9995,6985.762
2020-08-27,6999.0,6997.983
2020-08-28,7007.0,7005.9614
2020-08-29,7013.0,7013.0903
2020-08-30,7043.0,7043.1646
2020-08-31,7047.0,7048.248
2020-09-01,7049.0,7049.052
2020-09-02,7062.0,7060.5996
2020-09-03,7065.0005,7063.8096
2020-09-04,7072.0,7071.481
2020-09-05,7077.0,7076.754
2020-09-06,7082.0005,7081.347
2020-09-07,7084.0,7083.7837
2020-09-08,7086.0,7085.161
2020-09-09,7088.0,7088.172
2020-09-10,7089.0,7089.721
2020-09-11,7090.0,7089.6943
2020-09-12,7094.0,7093.413
2020-09-13,7108.0,7106.564
2020-09-14,7112.0,7112.2817
2020-09-15,7112.0,7111.7437
2020-09-16,7116.0,7116.2627
2020-09-17,7118.0,7118.3257
2020-09-18,7120.0,7120.064
2020-09-19,7122.0,7121.746
2020-09-20,7124.0,7124.318
2020-09-21,7125.0,7125.446
2020-09-22,7125.0,7125.2783
2020-09-23,7128.0,7127.64
2020-09-24,7129.0,7127.5312
2020-09-25,7129.0,7129.0176
2020-09-26,7130.0,7129.399
2020-09-27,7130.0,7130.2017
2020-09-28,7130.0,7129.8022
2020-09-29,7130.0,7130.8965
2020-09-30,7132.0,7132.611
2020-10-01,7133.0,7133.3955
2020-10-02,7133.0,7132.7974
2020-10-03,7133.0,7133.3066
2020-10-04,7135.0,7135.4785
2020-10-05,7136.0,7135.327
2020-10-06,7136.0,7136.052
2020-10-07,7137.0,7137.1514
2020-10-08,7137.0,7136.7666
2020-10-09,7138.0,7138.9517
2020-10-10,7139.0,7138.149
2020-10-11,7140.0,7138.8994
2020-10-12,7140.0,7141.0537
2020-10-13,7141.0,7139.1035
2020-10-14,7141.0,7140.8057
2020-10-15,7141.0,7140.7827
2020-10-16,7141.0,7141.724
2020-10-17,7142.0,7142.659
2020-10-18,7142.0,7142.118
2020-10-19,7142.0,7142.6714
2020-10-20,7142.0,7142.113
2020-10-21,7142.0,7142.281
2020-10-22,7144.0,7144.924
2020-10-23,7149.0,7146.357
2020-10-24,7149.0,7148.793
2020-10-25,7150.0,7150.81
2020-10-26,7150.0,7151.636
2020-10-27,7150.0,7151.5874
2020-10-28,7152.0,7151.6704
2020-10-29,7155.0,7155.399
2020-10-30,7165.0,7164.464
2020-10-31,7174.0,7170.3813
2020-11-01,7176.0,7175.746
2020-11-02,7179.0,7178.874
2020-11-03,7179.0,7180.356
2020-11-04,7181.0,7179.7534
2020-11-05,7183.0,7183.3843
2020-11-06,7183.0,7183.374
2020-11-07,7184.0,7185.208
2020-11-08,7191.0,7187.147
2020-11-09,7197.0,7193.858
2020-11-10,7198.0,7197.562
2020-11-11,7198.0,7198.2456
2020-11-12,7201.0,7198.594
2020-11-13,7202.0,7201.525
2020-11-14,7202.0,7202.059
2020-11-15,7203.0,7204.3926
2020-11-16,7203.0,7206.1978
2020-11-17,7206.0,7208.0933
2020-11-18,7208.0,7208.908
2020-11-19,7210.0005,7209.593
2020-11-20,7211.0,7212.1904
2020-11-21,7212.0,7212.8203
2020-11-22,7213.0,7214.9624
2020-11-23,7215.0,7216.8203
2020-11-24,7218.0,7216.5327
2020-11-25,7223.0,7221.8945
2020-11-26,7224.0,7227.7246
2020-11-27,7224.0,7225.1084
2020-11-28,7225.0,7223.541
2020-11-29,7228.0,7228.9004
2020-11-30,7232.0,7230.5396
2020-12-01,7243.0,7234.077
2020-12-02,7247.0,7247.464
2020-12-03,7250.0,7249.0327
2020-12-04,7256.0,7257.607
2020-12-05,7263.0,7262.6113
2020-12-06,7266.0,7267.5083
2020-12-07,7271.0,7271.9473
2020-12-08,7275.0,7276.535
2020-12-09,7277.0,7279.031
2020-12-10,7280.0,7281.48
2020-12-11,7286.0,7289.7783
2020-12-12,7321.0,7313.136
2020-12-13,7349.0,7348.765
2020-12-14,7365.0,7365.835
2020-12-15,7384.0,7382.0107
2020-12-16,7411.0,7406.593
2020-12-17,7432.0,7431.9937
2020-12-18,7452.0,7452.115
2020-12-19,7472.0,7472.8115
2020-12-20,7497.0,7495.96
2020-12-21,7518.0,7522.6694
2020-12-22,7557.0,7556.447
2020-12-23,7581.0,7581.6377
2020-12-24,7607.0,7607.2266
2020-12-25,7630.0,7630.1274
2020-12-26,7643.0,7643.6
2020-12-27,7664.0,7663.896
2020-12-28,7688.0,7688.1665
2020-12-29,7717.0,7716.964
2020-12-30,7768.0,7767.957
2020-12-31,7801.0,7801.0317
2021-01-01,7844.0,7811.345
2021-01-02,7873.0,7845.277
2021-01-03,7895.0,7868.37
2021-01-04,7924.0,7884.0986
2021-01-05,7956.0,7900.317
2021-01-06,7977.0,7935.2393
2021-01-07,7987.0,7954.342
