,Actual_data,Predicted_data
2020-08-15,6946.0,6953.789
2020-08-16,6947.0,6954.787
2020-08-17,6948.0,6955.106
2020-08-18,6954.0,6957.2695
2020-08-19,6956.0,6962.3975
2020-08-20,6959.0005,6963.4263
2020-08-21,6963.0,6967.196
2020-08-22,6972.0,6968.766
2020-08-23,6978.0,6978.7935
2020-08-24,6978.0,6978.7656
2020-08-25,6983.0,6980.714
2020-08-26,6986.0,6986.322
2020-08-27,6999.0,6987.436
2020-08-28,7007.0,7001.595
2020-08-29,7013.0,7006.407
2020-08-30,7043.0005,7019.627
2020-08-31,7047.0,7041.9033
2020-09-01,7049.0,7048.1494
2020-09-02,7062.0,7060.5913
2020-09-03,7065.0,7068.504
2020-09-04,7072.0,7073.78
2020-09-05,7077.0,7075.966
2020-09-06,7082.0,7080.7896
2020-09-07,7084.0,7086.467
2020-09-08,7086.0,7086.086
2020-09-09,7088.0,7089.0005
2020-09-10,7089.0,7090.518
2020-09-11,7090.0,7091.7188
2020-09-12,7094.0,7093.8955
2020-09-13,7108.0,7103.898
2020-09-14,7112.0,7113.228
2020-09-15,7112.0,7110.6235
2020-09-16,7116.0,7119.9497
2020-09-17,7118.0,7119.278
2020-09-18,7119.9995,7118.54
2020-09-19,7122.0,7119.5054
2020-09-20,7124.0,7123.3745
2020-09-21,7125.0,7126.7344
2020-09-22,7125.0,7123.4287
2020-09-23,7128.0,7127.0254
2020-09-24,7129.0,7129.0537
2020-09-25,7129.0,7129.341
2020-09-26,7130.0,7129.3594
2020-09-27,7130.0,7130.9453
2020-09-28,7130.0,7129.219
2020-09-29,7130.0,7131.665
2020-09-30,7132.0,7132.273
2020-10-01,7133.0,7133.657
2020-10-02,7133.0,7132.0146
2020-10-03,7133.0,7132.489
2020-10-04,7135.0,7134.237
2020-10-05,7136.0,7134.037
2020-10-06,7136.0,7135.8306
2020-10-07,7137.0,7139.334
2020-10-08,7137.0,7138.3833
2020-10-09,7138.0,7137.72
2020-10-10,7139.0,7136.487
2020-10-11,7140.0,7136.954
2020-10-12,7140.0,7144.0156
2020-10-13,7140.9995,7138.701
2020-10-14,7140.9995,7140.2896
2020-10-15,7140.9995,7139.3267
2020-10-16,7140.9995,7137.944
2020-10-17,7142.0,7140.532
2020-10-18,7142.0,7142.824
2020-10-19,7142.0,7143.7476
2020-10-20,7142.0,7142.43
2020-10-21,7142.0,7140.326
2020-10-22,7144.0,7143.529
2020-10-23,7149.0,7145.577
2020-10-24,7149.0,7150.6646
2020-10-25,7150.0,7150.332
2020-10-26,7150.0,7150.897
2020-10-27,7150.0,7152.9404
2020-10-28,7152.0,7154.7856
2020-10-29,7154.9995,7153.7075
2020-10-30,7165.0,7160.3125
2020-10-31,7174.0,7170.508
2020-11-01,7175.9995,7174.953
2020-11-02,7179.0,7178.2964
2020-11-03,7179.0,7180.3086
2020-11-04,7181.0,7176.9014
2020-11-05,7182.9995,7181.8213
2020-11-06,7182.9995,7183.329
2020-11-07,7184.0,7186.9697
2020-11-08,7191.0,7187.7407
2020-11-09,7196.9995,7196.7363
2020-11-10,7198.0,7201.0103
2020-11-11,7198.0,7200.1035
2020-11-12,7201.0,7197.696
2020-11-13,7202.0,7203.0933
2020-11-14,7202.0,7203.2876
2020-11-15,7203.0,7205.11
2020-11-16,7203.0,7207.2637
2020-11-17,7206.0,7207.7324
2020-11-18,7208.0,7208.7534
2020-11-19,7210.0,7208.888
2020-11-20,7210.9995,7213.15
2020-11-21,7212.0,7212.9214
2020-11-22,7213.0,7214.3213
2020-11-23,7215.0,7214.475
2020-11-24,7217.9995,7214.096
2020-11-25,7223.0,7220.117
2020-11-26,7224.0,7225.4077
2020-11-27,7224.0,7226.1636
2020-11-28,7224.9995,7222.3145
2020-11-29,7228.0,7228.016
2020-11-30,7231.9995,7230.364
2020-12-01,7243.0,7233.888
2020-12-02,7247.0,7246.1147
2020-12-03,7250.0,7250.0503
2020-12-04,7256.0,7258.117
2020-12-05,7263.0,7264.4316
2020-12-06,7266.0,7270.6284
2020-12-07,7271.0,7272.8887
2020-12-08,7275.0,7278.2456
2020-12-09,7277.0,7281.2886
2020-12-10,7280.0,7283.066
2020-12-11,7286.0,7290.4214
2020-12-12,7321.0,7310.817
2020-12-13,7349.0,7346.3936
2020-12-14,7365.0,7363.034
2020-12-15,7384.0,7383.4287
2020-12-16,7411.0,7403.43
2020-12-17,7432.0,7431.6177
2020-12-18,7452.0,7450.077
2020-12-19,7472.0,7471.982
2020-12-20,7497.0,7495.292
2020-12-21,7518.0,7518.429
2020-12-22,7557.0,7556.307
2020-12-23,7581.0,7581.0117
2020-12-24,7607.0,7607.0376
2020-12-25,7630.0,7629.8975
2020-12-26,7643.0,7643.0684
2020-12-27,7664.0,7663.4487
2020-12-28,7688.0,7687.5015
2020-12-29,7717.0,7716.4297
2020-12-30,7768.0,7767.2007
2020-12-31,7801.0,7779.3477
2021-01-01,7844.0,7795.5386
2021-01-02,7873.0,7839.9727
2021-01-03,7895.0,7854.3843
2021-01-04,7924.0,7864.428
2021-01-05,7956.0,7885.6753
2021-01-06,7977.0,7917.5146
