,Actual_data,Predicted_data
2020-08-15,168.0,167.22961
2020-08-16,168.0,170.05759
2020-08-17,170.0,168.81221
2020-08-18,170.0,170.39494
2020-08-19,170.0,172.39116
2020-08-20,178.0,176.38518
2020-08-21,184.99998,185.75003
2020-08-22,190.0,192.72997
2020-08-23,205.0,199.79166
2020-08-24,215.0,214.24745
2020-08-25,226.00002,223.23187
2020-08-26,233.00002,230.99739
2020-08-27,236.0,236.86342
2020-08-28,239.0,239.47824
2020-08-29,243.0,243.11287
2020-08-30,249.00002,248.67247
2020-08-31,256.0,258.23813
2020-09-01,264.0,264.33884
2020-09-02,278.0,271.9661
2020-09-03,282.00003,284.84515
2020-09-04,286.0,287.96054
2020-09-05,288.00003,290.49393
2020-09-06,293.0,293.09735
2020-09-07,298.0,297.71454
2020-09-08,302.0,303.55768
2020-09-09,310.0,310.08542
2020-09-10,321.0,318.40747
2020-09-11,332.0,327.2617
2020-09-12,339.0,336.05432
2020-09-13,341.0,341.4751
2020-09-14,342.00003,344.28683
2020-09-15,345.0,341.17978
2020-09-16,346.0,345.2178
2020-09-17,347.0,347.9828
2020-09-18,350.00003,348.2743
2020-09-19,352.0,351.62845
2020-09-20,354.0,353.44553
2020-09-21,356.0,356.219
2020-09-22,356.0,354.68896
2020-09-23,356.0,355.7158
2020-09-24,357.00003,356.47964
2020-09-25,357.00003,355.98874
2020-09-26,358.00003,356.9709
2020-09-27,358.00003,357.68677
2020-09-28,358.00003,356.9607
2020-09-29,358.00003,357.71182
2020-09-30,360.0,359.14008
2020-10-01,360.0,361.54947
2020-10-02,360.0,359.14758
2020-10-03,362.0,362.549
2020-10-04,364.0,364.14484
2020-10-05,365.00003,366.25436
2020-10-06,368.0,368.3826
2020-10-07,370.0,371.22604
2020-10-08,377.0,375.77386
2020-10-09,382.0,381.5635
2020-10-10,383.0,385.63235
2020-10-11,385.0,389.2388
2020-10-12,398.0,394.68106
2020-10-13,408.0,405.912
2020-10-14,412.00003,410.91208
2020-10-15,413.0,414.49283
2020-10-16,415.0,416.0983
2020-10-17,415.0,412.62787
2020-10-18,416.0,414.27893
2020-10-19,418.0,416.30356
2020-10-20,419.00003,421.03452
2020-10-21,423.0,419.0646
2020-10-22,423.0,422.16144
2020-10-23,423.0,422.8143
2020-10-24,428.0,423.6117
2020-10-25,428.99997,430.23047
2020-10-26,430.0,433.33887
2020-10-27,435.0,435.0297
2020-10-28,442.0,438.1668
2020-10-29,442.0,443.56192
2020-10-30,442.0,441.25
2020-10-31,442.0,443.71207
2020-11-01,442.0,443.9374
2020-11-02,442.0,444.53253
2020-11-03,442.0,444.98477
2020-11-04,443.00003,442.39337
2020-11-05,443.00003,441.82907
2020-11-06,443.00003,442.5978
2020-11-07,444.0,447.012
2020-11-08,444.99997,445.93277
2020-11-09,444.99997,445.79156
2020-11-10,444.99997,445.3568
2020-11-11,446.0,442.7898
2020-11-12,448.0,447.14526
2020-11-13,448.0,450.71323
2020-11-14,450.00003,449.7912
2020-11-15,450.00003,451.1572
2020-11-16,453.0,450.73294
2020-11-17,453.99997,451.2529
2020-11-18,455.0,455.41592
2020-11-19,456.0,456.24716
2020-11-20,456.0,455.03906
2020-11-21,457.00003,456.44855
2020-11-22,457.00003,460.44156
2020-11-23,460.0,458.74466
2020-11-24,460.0,463.0634
2020-11-25,464.00003,462.28757
2020-11-26,465.0,465.7969
2020-11-27,470.0,469.53772
2020-11-28,483.0,475.75806
2020-11-29,488.99997,488.05023
2020-11-30,493.99997,494.08875
2020-12-01,504.0,503.63458
2020-12-02,509.0,507.5286
2020-12-03,516.0,515.0516
2020-12-04,537.0,528.7558
2020-12-05,546.99994,544.22534
2020-12-06,550.0,548.6281
2020-12-07,552.0,550.5311
2020-12-08,562.99994,560.39056
2020-12-09,573.0,571.32245
2020-12-10,582.0,582.0161
2020-12-11,592.0,592.80963
2020-12-12,610.0,613.21747
2020-12-13,623.0,623.21515
2020-12-14,624.99994,635.7705
2020-12-15,657.0,650.91064
2020-12-16,672.0,675.726
2020-12-17,683.0,682.7908
2020-12-18,688.0,691.63385
2020-12-19,693.0,696.36005
2020-12-20,696.0,697.64874
2020-12-21,699.0,698.59125
2020-12-22,707.99994,708.0364
2020-12-23,743.0,741.74634
2020-12-24,753.99994,753.6413
2020-12-25,767.0,765.6444
2020-12-26,778.0,777.4591
2020-12-27,785.99994,785.0385
2020-12-28,789.0,788.2398
2020-12-29,819.0,817.9519
2020-12-30,838.0,837.11304
2020-12-31,845.0,832.45746
2021-01-01,856.0,832.4078
2021-01-02,860.0,839.7267
2021-01-03,868.00006,851.35376
2021-01-04,874.0,867.44183
2021-01-05,882.00006,878.50793
2021-01-06,891.0,898.24316
