,Actual_data,Predicted_data
2020-08-15,168.0,173.51031
2020-08-16,168.0,174.71544
2020-08-17,170.0,171.39146
2020-08-18,170.0,172.50421
2020-08-19,170.0,174.02269
2020-08-20,178.0,175.85765
2020-08-21,184.99998,183.36264
2020-08-22,190.0,190.606
2020-08-23,205.0,196.04866
2020-08-24,215.0,211.60158
2020-08-25,226.00002,221.64696
2020-08-26,233.00002,232.73909
2020-08-27,236.0,239.65695
2020-08-28,239.0,240.63623
2020-08-29,243.0,243.09337
2020-08-30,249.00002,246.90324
2020-08-31,256.0,256.29016
2020-09-01,264.0,260.87656
2020-09-02,278.0,267.4558
2020-09-03,282.00003,283.89883
2020-09-04,286.0,287.0784
2020-09-05,288.00003,291.45752
2020-09-06,293.0,293.27658
2020-09-07,298.0,296.6422
2020-09-08,302.0,301.29352
2020-09-09,310.0,307.67422
2020-09-10,321.0,317.07285
2020-09-11,332.0,326.94455
2020-09-12,339.0,337.46698
2020-09-13,341.0,344.53735
2020-09-14,342.00003,346.03653
2020-09-15,345.0,341.8427
2020-09-16,346.0,346.33734
2020-09-17,347.0,349.42145
2020-09-18,350.00003,350.03537
2020-09-19,352.0,354.62726
2020-09-20,354.0,355.36044
2020-09-21,356.0,358.53122
2020-09-22,356.0,356.9595
2020-09-23,356.0,357.66525
2020-09-24,357.00003,357.5634
2020-09-25,357.00003,355.7681
2020-09-26,358.00003,358.7281
2020-09-27,358.00003,359.08508
2020-09-28,358.00003,357.5289
2020-09-29,358.00003,356.63885
2020-09-30,360.0,357.99728
2020-10-01,360.0,359.62195
2020-10-02,360.0,358.34174
2020-10-03,362.0,359.31436
2020-10-04,364.0,361.30014
2020-10-05,365.00003,363.74377
2020-10-06,368.0,367.33298
2020-10-07,370.0,370.98856
2020-10-08,377.0,374.2144
2020-10-09,382.0,380.51514
2020-10-10,383.0,385.89297
2020-10-11,385.0,388.5851
2020-10-12,398.0,391.58643
2020-10-13,408.0,406.49133
2020-10-14,412.00003,411.8933
2020-10-15,413.0,416.11603
2020-10-16,415.0,416.91913
2020-10-17,415.0,414.39767
2020-10-18,416.0,413.60184
2020-10-19,418.0,416.68832
2020-10-20,419.00003,422.0435
2020-10-21,423.0,420.13342
2020-10-22,423.0,424.0208
2020-10-23,423.0,421.0296
2020-10-24,428.0,422.85757
2020-10-25,428.99997,430.97876
2020-10-26,430.0,433.2026
2020-10-27,435.0,434.27368
2020-10-28,442.0,438.86545
2020-10-29,442.0,444.62158
2020-10-30,442.0,442.06113
2020-10-31,442.0,443.06415
2020-11-01,442.0,442.8859
2020-11-02,442.0,442.47894
2020-11-03,442.0,444.2702
2020-11-04,443.00003,439.8713
2020-11-05,443.00003,439.508
2020-11-06,443.00003,440.63214
2020-11-07,444.0,445.74
2020-11-08,444.99997,445.1229
2020-11-09,444.99997,444.2385
2020-11-10,444.99997,442.8867
2020-11-11,446.0,442.18146
2020-11-12,448.0,446.38565
2020-11-13,448.0,450.4611
2020-11-14,450.00003,450.7085
2020-11-15,450.00003,452.43625
2020-11-16,453.0,450.09433
2020-11-17,453.99997,452.37607
2020-11-18,455.0,456.09048
2020-11-19,456.0,456.49765
2020-11-20,456.0,456.32388
2020-11-21,457.00003,459.15933
2020-11-22,457.00003,463.50763
2020-11-23,460.0,460.21368
2020-11-24,460.0,465.49594
2020-11-25,464.00003,463.77994
2020-11-26,465.0,467.5516
2020-11-27,470.0,469.057
2020-11-28,483.0,475.99884
2020-11-29,488.99997,490.66895
2020-11-30,493.99997,493.16556
2020-12-01,504.0,503.16324
2020-12-02,509.0,509.07626
2020-12-03,516.0,514.8558
2020-12-04,537.0,526.3261
2020-12-05,546.99994,546.5569
2020-12-06,550.0,550.9613
2020-12-07,552.0,551.33777
2020-12-08,562.99994,558.76013
2020-12-09,573.0,571.48914
2020-12-10,582.0,582.31683
2020-12-11,592.0,594.2979
2020-12-12,610.0,612.5462
2020-12-13,623.0,623.69226
2020-12-14,624.99994,636.41595
2020-12-15,657.0,646.6779
2020-12-16,672.0,674.8512
2020-12-17,683.0,680.3532
2020-12-18,688.0,692.0646
2020-12-19,693.0,698.4233
2020-12-20,696.0,698.1311
2020-12-21,699.0,699.18823
2020-12-22,707.99994,708.6277
2020-12-23,743.0,741.42456
2020-12-24,753.99994,754.1479
2020-12-25,767.0,765.7467
2020-12-26,778.0,778.1751
2020-12-27,785.99994,785.85077
2020-12-28,789.0,789.12885
2020-12-29,819.0,817.8561
2020-12-30,838.0,837.9529
2020-12-31,845.0,833.954
2021-01-01,856.0,829.4314
2021-01-02,860.0,839.7896
2021-01-03,868.00006,844.8421
2021-01-04,874.0,857.3682
2021-01-05,882.00006,874.1724
2021-01-06,891.0,890.4406
