,Actual_data,Predicted_data
2020-08-16,208.0,211.27966
2020-08-17,215.0,218.49165
2020-08-18,222.0,225.33965
2020-08-19,231.0,231.01431
2020-08-20,246.0,238.20758
2020-08-21,254.0,252.00435
2020-08-22,257.0,258.46106
2020-08-23,259.0,261.75098
2020-08-24,262.0,265.80908
2020-08-25,265.0,265.81403
2020-08-26,269.0,267.93964
2020-08-27,277.0,276.0019
2020-08-28,285.0,281.23587
2020-08-29,291.0,289.53552
2020-08-30,297.0,293.7944
2020-08-31,301.0,300.57138
2020-09-01,304.0,306.3579
2020-09-02,311.0,308.2379
2020-09-03,314.99997,316.07858
2020-09-04,318.99997,320.2627
2020-09-05,329.0,324.15427
2020-09-06,331.0,333.9839
2020-09-07,340.0,335.16806
2020-09-08,341.0,343.19757
2020-09-09,343.0,344.918
2020-09-10,344.0,347.54208
2020-09-11,347.0,349.07474
2020-09-12,351.0,352.11783
2020-09-13,354.0,356.29364
2020-09-14,357.0,359.35434
2020-09-15,361.0,363.6923
2020-09-16,365.0,364.9826
2020-09-17,367.0,366.5
2020-09-18,369.0,370.97015
2020-09-19,371.0,373.11478
2020-09-20,376.99997,378.95557
2020-09-21,385.0,382.30817
2020-09-22,390.0,390.9549
2020-09-23,396.99997,397.15125
2020-09-24,404.0,400.83932
2020-09-25,407.0,405.54858
2020-09-26,409.0,408.91553
2020-09-27,411.99997,413.31757
2020-09-28,413.0,416.24445
2020-09-29,415.99997,419.0265
2020-09-30,421.0,420.2797
2020-10-01,427.0,429.15356
2020-10-02,444.99997,435.98422
2020-10-03,452.99997,450.4238
2020-10-04,458.0,456.1412
2020-10-05,463.0,462.2268
2020-10-06,466.0,471.45743
2020-10-07,468.0,472.52304
2020-10-08,473.0,475.5534
2020-10-09,477.99997,484.42047
2020-10-10,481.0,483.959
2020-10-11,484.0,486.46545
2020-10-12,488.0,492.0616
2020-10-13,489.00003,496.45245
2020-10-14,491.0,498.3862
2020-10-15,546.0,508.51804
2020-10-16,546.0,548.55426
2020-10-17,552.0,551.6522
2020-10-18,556.00006,558.57263
2020-10-19,571.0,564.1648
2020-10-20,573.0,572.36816
2020-10-21,583.0,576.90356
2020-10-22,588.0,586.5096
2020-10-23,588.0,586.9751
2020-10-24,588.0,582.93475
2020-10-25,589.0,583.11365
2020-10-26,589.0,590.4401
2020-10-27,590.0,588.05365
2020-10-28,590.0,592.24677
2020-10-29,590.0,588.2945
2020-10-30,590.0,590.4198
2020-10-31,592.0,591.36743
2020-11-01,592.0,591.95905
2020-11-02,592.0,601.7973
2020-11-03,593.0,597.74286
2020-11-04,594.0,593.93555
2020-11-05,598.0,598.5992
2020-11-06,598.0,601.5163
2020-11-07,600.0,600.1691
2020-11-08,600.0,602.74927
2020-11-09,602.0,600.7302
2020-11-10,603.0,603.31464
2020-11-11,606.0,609.5143
2020-11-12,608.0,607.04956
2020-11-13,608.0,608.79724
2020-11-14,612.0,614.30035
2020-11-15,612.0,617.5746
2020-11-16,612.0,609.6781
2020-11-17,612.0,616.81226
2020-11-18,617.0,618.68414
2020-11-19,622.0,626.06824
2020-11-20,624.0,625.3007
2020-11-21,631.0,628.66235
2020-11-22,632.0,634.8576
2020-11-23,637.0,634.0107
2020-11-24,643.0,646.41547
2020-11-25,661.0,655.4868
2020-11-26,683.0,683.414
2020-11-27,707.0,707.1247
2020-11-28,735.0,732.8222
2020-11-29,757.0,758.119
2020-11-30,809.0,807.60345
2020-12-01,840.0,840.14575
2020-12-02,872.0,870.1551
2020-12-03,887.0,891.73254
2020-12-04,918.0,917.75494
2020-12-05,947.0,942.62537
2020-12-06,980.99994,980.8681
2020-12-07,1016.0,1010.7557
2020-12-08,1042.0,1043.0157
2020-12-09,1061.0,1064.1038
2020-12-10,1092.0,1094.5674
2020-12-11,1118.0,1126.7487
2020-12-12,1176.9999,1174.8085
2020-12-13,1234.0,1232.7872
2020-12-14,1255.0,1259.5261
2020-12-15,1296.0,1294.4858
2020-12-16,1337.0,1343.7598
2020-12-17,1381.0,1379.4285
2020-12-18,1420.0,1415.3094
2020-12-19,1459.0,1465.4656
2020-12-20,1492.0,1493.466
2020-12-21,1512.0,1512.7312
2020-12-22,1538.0,1538.6636
2020-12-23,1570.0,1570.8003
2020-12-24,1614.0,1614.3643
2020-12-25,1636.0,1637.9006
2020-12-26,1663.0,1664.0262
2020-12-27,1703.0,1703.0105
2020-12-28,1737.0,1737.5724
2020-12-29,1754.0,1755.8029
2020-12-30,1793.0,1793.6367
2020-12-31,1867.0,1866.1407
2021-01-01,1924.0,1853.8944
2021-01-02,1950.0,1881.1776
2021-01-03,1969.0001,1910.7848
2021-01-04,2006.0001,1948.6089
2021-01-05,2021.0,1961.2716
2021-01-06,2059.0,1972.2235
2021-01-07,2082.0,2010.153
