,Actual_data,Predicted_data
2020-08-15,201.0,201.73447
2020-08-16,208.0,210.4227
2020-08-17,215.0,208.97243
2020-08-18,222.0,214.65668
2020-08-19,231.0,218.31348
2020-08-20,246.00002,220.83372
2020-08-21,254.0,218.06198
2020-08-22,257.0,237.80846
2020-08-23,258.99997,250.1268
2020-08-24,262.0,260.26437
2020-08-25,265.0,270.17532
2020-08-26,269.0,277.9902
2020-08-27,277.0,281.78207
2020-08-28,285.0,283.85324
2020-08-29,291.0,288.8024
2020-08-30,297.0,294.29144
2020-08-31,300.99997,298.9091
2020-09-01,304.0,307.6098
2020-09-02,311.0,313.17715
2020-09-03,314.99997,317.64584
2020-09-04,319.0,326.28745
2020-09-05,328.99997,328.55362
2020-09-06,331.0,332.7717
2020-09-07,340.0,341.7217
2020-09-08,341.0,338.2239
2020-09-09,343.0,349.3864
2020-09-10,344.0,348.8036
2020-09-11,347.0,355.5609
2020-09-12,351.0,359.33994
2020-09-13,354.0,363.785
2020-09-14,357.0,365.82642
2020-09-15,361.0,367.34518
2020-09-16,365.0,371.10504
2020-09-17,367.0,375.22852
2020-09-18,369.0,376.9585
2020-09-19,371.0,378.3675
2020-09-20,376.99997,381.37006
2020-09-21,385.0,387.63666
2020-09-22,390.0,394.68576
2020-09-23,396.99997,398.7145
2020-09-24,403.99997,402.43805
2020-09-25,407.0,410.99243
2020-09-26,409.0,415.863
2020-09-27,411.99997,417.26862
2020-09-28,412.99997,422.7795
2020-09-29,416.0,424.75558
2020-09-30,421.0,428.04733
2020-10-01,426.99997,435.03073
2020-10-02,445.0,441.0753
2020-10-03,452.99997,453.80505
2020-10-04,458.0,457.21716
2020-10-05,463.0,460.02472
2020-10-06,465.99997,469.0566
2020-10-07,467.99997,476.03537
2020-10-08,472.99997,478.62933
2020-10-09,478.00003,486.3585
2020-10-10,480.99997,493.81662
2020-10-11,484.0,495.2757
2020-10-12,487.99997,497.1513
2020-10-13,489.0,502.6894
2020-10-14,491.0,500.60117
2020-10-15,546.0,501.86478
2020-10-16,546.0,551.5773
2020-10-17,552.0,548.8075
2020-10-18,556.0,562.51917
2020-10-19,571.0,576.5245
2020-10-20,573.0,586.37445
2020-10-21,583.0,569.1401
2020-10-22,588.0,572.59265
2020-10-23,588.0,580.5789
2020-10-24,588.0,575.5708
2020-10-25,589.0,574.2543
2020-10-26,589.0,579.11847
2020-10-27,590.0,578.8563
2020-10-28,590.0,582.2335
2020-10-29,590.0,581.02545
2020-10-30,590.0,581.0205
2020-10-31,592.0,581.50476
2020-11-01,592.0,589.3434
2020-11-02,592.0,585.5847
2020-11-03,593.0,585.1523
2020-11-04,594.0,589.4418
2020-11-05,598.0,591.58014
2020-11-06,598.0,603.7371
2020-11-07,600.0,594.9401
2020-11-08,600.0,601.04565
2020-11-09,602.0,597.3678
2020-11-10,603.0,604.4297
2020-11-11,606.0,604.18286
2020-11-12,608.0,612.4361
2020-11-13,608.0,613.4515
2020-11-14,612.0,607.85815
2020-11-15,612.0,621.0602
2020-11-16,612.0,612.0663
2020-11-17,612.0,610.58276
2020-11-18,617.0,610.42896
2020-11-19,622.0,628.3748
2020-11-20,624.0,636.30786
2020-11-21,631.00006,632.10474
2020-11-22,632.0,649.07
2020-11-23,637.0,638.17896
2020-11-24,643.0,651.2289
2020-11-25,661.00006,663.803
2020-11-26,683.0,699.845
2020-11-27,707.0,722.7366
2020-11-28,735.0,740.3141
2020-11-29,757.00006,759.57025
2020-11-30,809.0,777.87054
2020-12-01,840.0,850.2342
2020-12-02,872.0,842.77704
2020-12-03,887.0,864.808
2020-12-04,918.0,913.1931
2020-12-05,947.0,936.3092
2020-12-06,981.0,970.158
2020-12-07,1016.0,1003.3707
2020-12-08,1042.0,1033.8676
2020-12-09,1061.0,1067.498
2020-12-10,1091.9999,1101.7747
2020-12-11,1118.0,1143.3572
2020-12-12,1177.0,1172.9178
2020-12-13,1234.0,1228.1422
2020-12-14,1255.0,1260.8872
2020-12-15,1296.0,1310.9429
2020-12-16,1336.9999,1325.4965
2020-12-17,1381.0,1393.711
2020-12-18,1420.0,1419.311
2020-12-19,1458.9999,1447.4095
2020-12-20,1492.0,1479.5304
2020-12-21,1511.9999,1512.5665
2020-12-22,1538.0,1538.4034
2020-12-23,1570.0,1572.8665
2020-12-24,1614.0,1608.719
2020-12-25,1636.0,1634.3113
2020-12-26,1663.0,1627.5386
2020-12-27,1703.0,1668.2448
2020-12-28,1737.0,1706.133
2020-12-29,1754.0,1720.9346
2020-12-30,1793.0,1713.5569
2020-12-31,1867.0,1749.2916
2021-01-01,1923.9999,1791.831
2021-01-02,1950.0,1809.2471
2021-01-03,1968.9999,1844.5012
2021-01-04,2006.0,1871.2241
2021-01-05,2021.0,1895.8457
2021-01-06,2059.0,1911.4285
