,Actual_data,Predicted_data
2020-08-16,1987.0001,2125.1223
2020-08-17,2077.0,2139.4858
2020-08-18,2209.0,2206.4946
2020-08-19,2360.0,2346.8857
2020-08-20,2495.0,2410.0037
2020-08-21,2621.0002,2578.7283
2020-08-22,2750.0,2706.5383
2020-08-23,2890.0,2868.6394
2020-08-24,2987.0,2957.3083
2020-08-25,3122.0,3118.1436
2020-08-26,3233.0,3266.742
2020-08-27,3387.0,3356.142
2020-08-28,3533.0,3503.9153
2020-08-29,3658.0,3701.1343
2020-08-30,3774.0002,3800.4807
2020-08-31,3868.0002,3895.9673
2020-09-01,3962.0,4017.8262
2020-09-02,4063.0002,4074.9226
2020-09-03,4132.0,4097.538
2020-09-04,4200.0,4201.7827
2020-09-05,4251.0,4248.433
2020-09-06,4314.0,4314.54
2020-09-07,4362.0,4392.9185
2020-09-08,4429.0,4399.611
2020-09-09,4478.0,4467.825
2020-09-10,4526.0,4539.799
2020-09-11,4589.0,4577.7114
2020-09-12,4639.0,4626.5317
2020-09-13,4670.0,4658.938
2020-09-14,4711.0,4696.453
2020-09-15,4743.0,4747.095
2020-09-16,4794.0,4795.832
2020-09-17,4858.0,4836.25
2020-09-18,4904.0,4861.3765
2020-09-19,4944.0,4976.8384
2020-09-20,4972.0,5007.0654
2020-09-21,4995.0,4986.689
2020-09-22,5016.0,5052.389
2020-09-23,5056.0,5097.097
2020-09-24,5095.0,5101.843
2020-09-25,5152.0,5139.0273
2020-09-26,5178.0,5152.332
2020-09-27,5212.0,5205.9263
2020-09-28,5231.0,5236.311
2020-09-29,5241.9995,5257.1772
2020-09-30,5293.0,5284.784
2020-10-01,5323.0,5319.1104
2020-10-02,5334.0,5337.002
2020-10-03,5360.0,5368.6167
2020-10-04,5376.0,5381.5186
2020-10-05,5395.0,5396.391
2020-10-06,5410.0,5443.2695
2020-10-07,5443.0,5424.234
2020-10-08,5462.9995,5477.9507
2020-10-09,5485.0,5525.1616
2020-10-10,5510.0,5520.3247
2020-10-11,5533.0,5530.7173
2020-10-12,5564.0,5551.6436
2020-10-13,5584.0,5598.3755
2020-10-14,5607.0,5599.798
2020-10-15,5632.0,5584.124
2020-10-16,5650.0,5630.833
2020-10-17,5667.9995,5655.0044
2020-10-18,5688.0,5658.721
2020-10-19,5702.0005,5701.9673
2020-10-20,5713.0,5693.562
2020-10-21,5730.0,5748.0947
2020-10-22,5748.0,5785.5454
2020-10-23,5768.0,5770.254
2020-10-24,5790.0,5838.852
2020-10-25,5806.9995,5813.144
2020-10-26,5827.0,5847.852
2020-10-27,5851.0,5843.393
2020-10-28,5876.0,5896.108
2020-10-29,5912.0,5911.6636
2020-10-30,5959.0,5943.8364
2020-10-31,6011.0,5999.7764
2020-11-01,6056.0,6012.559
2020-11-02,6081.0,6054.2207
2020-11-03,6102.9995,6109.9546
2020-11-04,6145.0,6174.6587
2020-11-05,6195.0,6207.523
2020-11-06,6234.9995,6228.153
2020-11-07,6272.0,6310.452
2020-11-08,6325.9995,6323.19
2020-11-09,6371.9995,6382.839
2020-11-10,6407.0,6440.2134
2020-11-11,6452.0,6471.869
2020-11-12,6505.0,6532.81
2020-11-13,6578.9995,6634.758
2020-11-14,6648.0,6653.896
2020-11-15,6733.0,6709.939
2020-11-16,6813.0,6824.2935
2020-11-17,6903.0,6900.395
2020-11-18,6995.0,6995.5996
2020-11-19,7104.0,7095.403
2020-11-20,7236.0,7208.289
2020-11-21,7391.9995,7315.443
2020-11-22,7512.9995,7493.1733
2020-11-23,7625.0,7636.527
2020-11-24,7758.0,7777.5464
2020-11-25,7899.9995,7908.9707
2020-11-26,8111.9995,8104.0547
2020-11-27,8316.0,8261.441
2020-11-28,8494.0,8452.08
2020-11-29,8652.0,8673.8125
2020-11-30,8811.0,8826.929
2020-12-01,8966.0,9021.877
2020-12-02,9159.0,9184.697
2020-12-03,9421.0,9452.472
2020-12-04,9716.0,9717.122
2020-12-05,9951.001,9954.045
2020-12-06,10205.0,10186.638
2020-12-07,10449.0,10440.265
2020-12-08,10660.0,10625.45
2020-12-09,10922.0,10908.316
2020-12-10,11172.001,11215.798
2020-12-11,11424.001,11447.487
2020-12-12,11786.0,11823.07
2020-12-13,12185.0,12140.876
2020-12-14,12404.0,12501.296
2020-12-15,12655.0,12710.245
2020-12-16,13033.0,13069.04
2020-12-17,13456.0,13464.146
2020-12-18,13854.0,13847.353
2020-12-19,14234.001,14242.611
2020-12-20,14706.0,14690.493
2020-12-21,15033.0,15031.559
2020-12-22,15349.001,15356.234
2020-12-23,15724.001,15721.855
2020-12-24,16043.001,16055.904
2020-12-25,16595.0,16599.36
2020-12-26,17060.0,17074.104
2020-12-27,17422.0,17428.953
2020-12-28,17721.0,17729.438
2020-12-29,18242.0,18250.281
2020-12-30,18629.0,18637.693
2020-12-31,18995.0,19002.926
2021-01-01,19352.0,19135.643
2021-01-02,19602.0,19570.01
2021-01-03,19800.0,19673.004
2021-01-04,20138.0,19805.268
2021-01-05,20328.0,20297.873
2021-01-06,20591.0,20307.932
2021-01-07,20888.0,20715.393
