,Actual_data,Predicted_data
2020-08-16,1987.0001,1986.5562
2020-08-17,2077.0,2057.682
2020-08-18,2209.0,2164.2605
2020-08-19,2360.0,2335.505
2020-08-20,2495.0,2351.5508
2020-08-21,2621.0002,2562.7788
2020-08-22,2750.0,2731.219
2020-08-23,2890.0,2839.6887
2020-08-24,2987.0,2979.3877
2020-08-25,3122.0,3193.1907
2020-08-26,3233.0,3267.465
2020-08-27,3387.0,3377.5764
2020-08-28,3533.0,3471.1956
2020-08-29,3658.0,3576.6628
2020-08-30,3774.0002,3784.988
2020-08-31,3868.0002,3933.2197
2020-09-01,3962.0,4073.194
2020-09-02,4063.0002,4196.9688
2020-09-03,4132.0,4238.633
2020-09-04,4200.0,4355.365
2020-09-05,4251.0,4453.447
2020-09-06,4314.0,4448.9194
2020-09-07,4362.0,4493.2217
2020-09-08,4429.0,4514.486
2020-09-09,4478.0,4553.6426
2020-09-10,4526.0,4590.571
2020-09-11,4589.0,4674.6636
2020-09-12,4639.0,4685.6025
2020-09-13,4670.0,4736.0312
2020-09-14,4711.0,4810.339
2020-09-15,4743.0,4839.1226
2020-09-16,4794.0,4822.959
2020-09-17,4858.0,4873.007
2020-09-18,4904.0,4891.4736
2020-09-19,4944.0,4968.272
2020-09-20,4972.0,5067.2817
2020-09-21,4995.0,5066.981
2020-09-22,5016.0,5096.0796
2020-09-23,5056.0,5095.9414
2020-09-24,5095.0,5091.6685
2020-09-25,5152.0,5112.4614
2020-09-26,5178.0,5172.282
2020-09-27,5212.0,5191.0625
2020-09-28,5231.0,5319.3555
2020-09-29,5241.9995,5272.785
2020-09-30,5293.0,5301.1157
2020-10-01,5323.0,5289.3154
2020-10-02,5334.0,5295.857
2020-10-03,5360.0,5379.26
2020-10-04,5376.0,5406.398
2020-10-05,5395.0,5350.8213
2020-10-06,5410.0,5423.011
2020-10-07,5443.0,5407.746
2020-10-08,5462.9995,5427.7275
2020-10-09,5485.0,5435.9385
2020-10-10,5510.0,5507.2944
2020-10-11,5533.0,5513.556
2020-10-12,5564.0,5529.485
2020-10-13,5584.0,5578.9844
2020-10-14,5607.0,5579.592
2020-10-15,5632.0,5635.3364
2020-10-16,5650.0,5639.721
2020-10-17,5667.9995,5648.9717
2020-10-18,5688.0,5685.6255
2020-10-19,5702.0005,5685.0166
2020-10-20,5713.0,5686.2827
2020-10-21,5730.0,5706.795
2020-10-22,5748.0,5713.3857
2020-10-23,5768.0,5713.0703
2020-10-24,5790.0,5743.7563
2020-10-25,5806.9995,5767.3555
2020-10-26,5827.0,5782.278
2020-10-27,5851.0,5821.0522
2020-10-28,5876.0,5835.197
2020-10-29,5912.0,5861.6787
2020-10-30,5959.0,5905.839
2020-10-31,6011.0,5942.9727
2020-11-01,6056.0,6015.5796
2020-11-02,6081.0,6098.757
2020-11-03,6102.9995,6138.567
2020-11-04,6145.0,6192.3525
2020-11-05,6195.0,6178.135
2020-11-06,6234.9995,6202.6914
2020-11-07,6272.0,6276.4233
2020-11-08,6325.9995,6339.006
2020-11-09,6371.9995,6355.8354
2020-11-10,6407.0,6413.6465
2020-11-11,6452.0,6495.487
2020-11-12,6505.0,6533.584
2020-11-13,6578.9995,6544.5425
2020-11-14,6648.0,6600.328
2020-11-15,6733.0,6713.2812
2020-11-16,6813.0,6800.3413
2020-11-17,6903.0,6912.9966
2020-11-18,6995.0,7017.9326
2020-11-19,7104.0,7131.3467
2020-11-20,7236.0,7211.7773
2020-11-21,7391.9995,7310.177
2020-11-22,7512.9995,7447.07
2020-11-23,7625.0,7737.0234
2020-11-24,7758.0,7907.176
2020-11-25,7899.9995,7916.939
2020-11-26,8111.9995,8081.8926
2020-11-27,8316.0,8140.6772
2020-11-28,8494.0,8518.668
2020-11-29,8652.0,8769.436
2020-11-30,8811.0,8932.072
2020-12-01,8966.0,9033.82
2020-12-02,9159.0,9259.349
2020-12-03,9421.0,9336.255
2020-12-04,9716.0,9563.749
2020-12-05,9951.001,9955.763
2020-12-06,10205.0,10319.462
2020-12-07,10449.0,10394.469
2020-12-08,10660.0,10668.477
2020-12-09,10922.0,10971.633
2020-12-10,11172.001,11064.289
2020-12-11,11424.001,11502.116
2020-12-12,11786.0,11750.944
2020-12-13,12185.0,12137.144
2020-12-14,12404.0,12500.625
2020-12-15,12655.0,12403.881
2020-12-16,13033.0,13073.791
2020-12-17,13456.0,13403.393
2020-12-18,13854.0,13839.166
2020-12-19,14234.001,14329.047
2020-12-20,14706.0,14723.119
2020-12-21,15033.0,15087.835
2020-12-22,15349.001,15339.875
2020-12-23,15724.001,15709.1
2020-12-24,16043.001,16064.72
2020-12-25,16595.0,16613.188
2020-12-26,17060.0,17168.115
2020-12-27,17422.0,16701.402
2020-12-28,17721.0,17805.58
2020-12-29,18242.0,18521.82
2020-12-30,18629.0,18310.816
2020-12-31,18995.0,18675.367
2021-01-01,19352.0,18980.63
2021-01-02,19602.0,19814.672
2021-01-03,19800.0,19887.355
2021-01-04,20138.0,20049.518
2021-01-05,20328.0,20186.082
2021-01-06,20591.0,20258.248
2021-01-07,20888.0,20317.857
