,Actual_data,Predicted_data
2020-08-15,50.0,50.392998
2020-08-16,50.0,50.685974
2020-08-17,50.0,50.398293
2020-08-18,50.0,50.820587
2020-08-19,52.0,51.314274
2020-08-20,53.0,52.673626
2020-08-21,56.0,54.351105
2020-08-22,57.0,57.35719
2020-08-23,57.0,57.88608
2020-08-24,60.000004,59.42123
2020-08-25,62.999996,62.46748
2020-08-26,62.999996,63.357887
2020-08-27,62.999996,63.514256
2020-08-28,65.0,65.0431
2020-08-29,65.0,65.644394
2020-08-30,66.0,66.14216
2020-08-31,67.0,66.68692
2020-09-01,67.0,66.5425
2020-09-02,67.0,66.863045
2020-09-03,67.0,67.48488
2020-09-04,67.0,67.35379
2020-09-05,67.0,67.230644
2020-09-06,67.0,67.41946
2020-09-07,67.0,67.57109
2020-09-08,68.0,67.47309
2020-09-09,70.0,68.45847
2020-09-10,70.0,69.54056
2020-09-11,70.0,69.398415
2020-09-12,70.0,70.47185
2020-09-13,70.0,70.01768
2020-09-14,70.0,70.38538
2020-09-15,70.0,70.06889
2020-09-16,70.0,70.0731
2020-09-17,70.0,69.936325
2020-09-18,70.0,70.289894
2020-09-19,70.0,70.07465
2020-09-20,70.0,70.526764
2020-09-21,70.0,70.96959
2020-09-22,71.0,70.743286
2020-09-23,71.0,71.20066
2020-09-24,74.0,73.195984
2020-09-25,75.0,74.70172
2020-09-26,75.0,75.01582
2020-09-27,76.0,76.07658
2020-09-28,76.0,75.840935
2020-09-29,76.0,75.40735
2020-09-30,76.0,76.00887
2020-10-01,76.0,76.25871
2020-10-02,76.0,75.903175
2020-10-03,76.0,76.32963
2020-10-04,76.0,76.28289
2020-10-05,77.0,76.41286
2020-10-06,77.0,76.95454
2020-10-07,78.0,77.60027
2020-10-08,78.0,78.044754
2020-10-09,78.0,77.98035
2020-10-10,78.0,78.53448
2020-10-11,78.0,78.44216
2020-10-12,78.0,78.32499
2020-10-13,78.0,78.17704
2020-10-14,78.0,77.80509
2020-10-15,78.0,77.990105
2020-10-16,78.0,77.815895
2020-10-17,78.0,77.83995
2020-10-18,78.0,77.60481
2020-10-19,78.0,77.784035
2020-10-20,78.0,78.17205
2020-10-21,78.0,78.0541
2020-10-22,78.0,78.27619
2020-10-23,78.0,78.00423
2020-10-24,78.0,78.2744
2020-10-25,78.0,77.91049
2020-10-26,79.0,78.59669
2020-10-27,79.0,78.4084
2020-10-28,79.0,79.32376
2020-10-29,79.0,79.66678
2020-10-30,79.0,79.62711
2020-10-31,82.0,80.92774
2020-11-01,82.0,82.00942
2020-11-02,82.0,82.20928
2020-11-03,82.0,82.46574
2020-11-04,82.0,81.86489
2020-11-05,82.0,82.32668
2020-11-06,82.0,81.96155
2020-11-07,82.0,82.2818
2020-11-08,82.0,82.25184
2020-11-09,82.0,82.01622
2020-11-10,82.0,82.46064
2020-11-11,82.0,82.27397
2020-11-12,82.0,82.00284
2020-11-13,83.0,83.00434
2020-11-14,84.0,83.50956
2020-11-15,84.0,84.35533
2020-11-16,85.0,84.91444
2020-11-17,86.0,85.349625
2020-11-18,86.0,85.93695
2020-11-19,86.0,86.2285
2020-11-20,86.0,86.48616
2020-11-21,86.0,85.97393
2020-11-22,86.0,86.05686
2020-11-23,87.0,86.88124
2020-11-24,89.0,88.199455
2020-11-25,89.0,89.62844
2020-11-26,93.0,92.77283
2020-11-27,96.0,95.91185
2020-11-28,96.0,96.59944
2020-11-29,99.0,98.75419
2020-11-30,100.0,100.35985
2020-12-01,102.0,102.11502
2020-12-02,109.0,108.92686
2020-12-03,112.99999,113.192955
2020-12-04,112.99999,113.1652
2020-12-05,116.99999,117.19827
2020-12-06,119.99999,120.14169
2020-12-07,119.99999,120.18829
2020-12-08,121.0,121.33345
2020-12-09,122.0,122.00485
2020-12-10,122.99999,122.80306
2020-12-11,122.99999,123.34103
2020-12-12,124.0,124.00636
2020-12-13,124.0,124.03567
2020-12-14,126.99999,126.985664
2020-12-15,128.0,127.91006
2020-12-16,128.0,128.03111
2020-12-17,128.0,128.30597
2020-12-18,128.0,128.64612
2020-12-19,128.0,128.3213
2020-12-20,129.0,129.09488
2020-12-21,129.0,129.14859
2020-12-22,130.0,130.12744
2020-12-23,131.0,131.1778
2020-12-24,133.0,133.07494
2020-12-25,134.0,134.14952
2020-12-26,135.0,135.08946
2020-12-27,141.0,141.09647
2020-12-28,143.0,143.13744
2020-12-29,147.0,147.09938
2020-12-30,149.0,149.10722
2020-12-31,149.0,147.87772
2021-01-01,150.0,149.7914
2021-01-02,153.0,150.55894
2021-01-03,153.99998,149.8153
2021-01-04,153.99998,151.7428
2021-01-05,153.99998,151.13316
2021-01-06,155.0,150.79114
