,Actual_data,Predicted_data
2020-08-15,50.0,50.96628
2020-08-16,50.0,50.96628
2020-08-17,50.0,50.96628
2020-08-18,50.0,50.96628
2020-08-19,52.0,50.96628
2020-08-20,53.0,55.55661
2020-08-21,56.0,56.1884
2020-08-22,57.0,57.705795
2020-08-23,57.0,57.86344
2020-08-24,60.000004,60.00776
2020-08-25,62.999996,62.117676
2020-08-26,62.999996,60.78737
2020-08-27,62.999996,63.3164
2020-08-28,65.0,66.50427
2020-08-29,65.0,66.36475
2020-08-30,66.0,66.27551
2020-08-31,67.0,67.08411
2020-09-01,67.0,66.43384
2020-09-02,67.0,67.27664
2020-09-03,67.0,67.45929
2020-09-04,67.0,67.075554
2020-09-05,67.0,66.926865
2020-09-06,67.0,66.956566
2020-09-07,67.0,67.03815
2020-09-08,68.0,67.10558
2020-09-09,70.0,68.519394
2020-09-10,70.0,69.80163
2020-09-11,70.0,70.90863
2020-09-12,70.0,70.65214
2020-09-13,70.0,69.95265
2020-09-14,70.0,69.659035
2020-09-15,70.0,69.649826
2020-09-16,70.0,69.74655
2020-09-17,70.0,69.85025
2020-09-18,70.0,69.92801
2020-09-19,70.0,69.9773
2020-09-20,70.0,70.00489
2020-09-21,70.0,70.01819
2020-09-22,71.0,70.02293
2020-09-23,71.0,71.28869
2020-09-24,74.0,71.78595
2020-09-25,75.0,74.7004
2020-09-26,75.0,73.72266
2020-09-27,76.0,75.56636
2020-09-28,76.0,75.30637
2020-09-29,76.0,75.48484
2020-09-30,76.0,75.85836
2020-10-01,76.0,75.75835
2020-10-02,76.0,75.82105
2020-10-03,76.0,75.97092
2020-10-04,76.0,76.116585
2020-10-05,77.0,76.21706
2020-10-06,77.0,77.30147
2020-10-07,78.0,77.754166
2020-10-08,78.0,77.75804
2020-10-09,78.0,78.01716
2020-10-10,78.0,77.79527
2020-10-11,78.0,77.651924
2020-10-12,78.0,77.72744
2020-10-13,78.0,77.868866
2020-10-14,78.0,77.997284
2020-10-15,78.0,78.08842
2020-10-16,78.0,78.14344
2020-10-17,78.0,78.17135
2020-10-18,78.0,78.18136
2020-10-19,78.0,78.180664
2020-10-20,78.0,78.17424
2020-10-21,78.0,78.1653
2020-10-22,78.0,78.15573
2020-10-23,78.0,78.14663
2020-10-24,78.0,78.1385
2020-10-25,78.0,78.13154
2020-10-26,79.0,78.125755
2020-10-27,79.0,79.06269
2020-10-28,79.0,79.51381
2020-10-29,79.0,79.01828
2020-10-30,79.0,78.76343
2020-10-31,82.0,78.77014
2020-11-01,82.0,82.33562
2020-11-02,82.0,82.48964
2020-11-03,82.0,83.50239
2020-11-04,82.0,82.73556
2020-11-05,82.0,82.27262
2020-11-06,82.0,82.12143
2020-11-07,82.0,82.15363
2020-11-08,82.0,82.251114
2020-11-09,82.0,82.34793
2020-11-10,82.0,82.41886
2020-11-11,82.0,82.460464
2020-11-12,82.0,82.47791
2020-11-13,83.0,82.478355
2020-11-14,84.0,83.25144
2020-11-15,84.0,83.44484
2020-11-16,85.0,83.67143
2020-11-17,86.0,83.61894
2020-11-18,86.0,83.798195
2020-11-19,86.0,84.585915
2020-11-20,86.0,85.23433
2020-11-21,86.0,85.91219
2020-11-22,86.0,86.64173
2020-11-23,87.0,87.26824
2020-11-24,89.0,88.54619
2020-11-25,89.0,89.128716
2020-11-26,93.0,90.37789
2020-11-27,96.0,94.666824
2020-11-28,96.0,96.17718
2020-11-29,99.0,97.4839
2020-11-30,100.0,102.22721
2020-12-01,102.0,104.66482
2020-12-02,109.0,107.0605
2020-12-03,112.99999,113.78877
2020-12-04,112.99999,114.46264
2020-12-05,116.99999,115.57624
2020-12-06,119.99999,117.31085
2020-12-07,119.99999,119.16574
2020-12-08,121.0,120.84258
2020-12-09,122.0,122.007645
2020-12-10,122.99999,123.33669
2020-12-11,122.99999,124.57842
2020-12-12,124.0,125.50601
2020-12-13,124.0,125.54484
2020-12-14,126.99999,126.15604
2020-12-15,128.0,126.54229
2020-12-16,128.0,127.42217
2020-12-17,128.0,128.43973
2020-12-18,128.0,128.62943
2020-12-19,128.0,128.80408
2020-12-20,129.0,128.96843
2020-12-21,129.0,129.51479
2020-12-22,130.0,129.9451
2020-12-23,131.0,130.97896
2020-12-24,133.0,132.44308
2020-12-25,134.0,133.89304
2020-12-26,135.0,134.5526
2020-12-27,141.0,134.93884
2020-12-28,143.0,136.25781
2020-12-29,147.0,136.3303
2020-12-30,149.0,137.73422
2020-12-31,149.0,138.96667
2021-01-01,150.0,141.64687
2021-01-02,153.0,143.00096
2021-01-03,153.99998,146.23016
2021-01-04,153.99998,149.41046
2021-01-05,153.99998,151.90724
2021-01-06,155.0,154.77249
