,Actual_data,Predicted_data
2020-08-15,62.000004,61.932106
2020-08-16,65.0,58.30973
2020-08-17,65.0,65.75568
2020-08-18,68.0,65.17683
2020-08-19,68.0,66.702034
2020-08-20,68.0,68.56089
2020-08-21,69.0,60.48149
2020-08-22,72.0,67.57121
2020-08-23,75.0,74.51642
2020-08-24,76.0,81.04427
2020-08-25,76.0,74.823135
2020-08-26,78.0,70.38762
2020-08-27,80.0,75.913956
2020-08-28,81.0,82.77063
2020-08-29,81.0,79.8394
2020-08-30,84.0,76.256035
2020-08-31,89.0,83.33749
2020-09-01,95.0,97.76046
2020-09-02,99.99999,104.92143
2020-09-03,107.99999,107.493546
2020-09-04,111.0,114.11119
2020-09-05,112.00001,114.34393
2020-09-06,113.0,110.68307
2020-09-07,116.00001,110.241425
2020-09-08,119.0,116.99906
2020-09-09,123.0,124.6875
2020-09-10,127.0,127.42935
2020-09-11,132.0,131.36493
2020-09-12,133.0,135.4327
2020-09-13,140.0,134.33736
2020-09-14,141.0,138.80736
2020-09-15,141.0,142.49883
2020-09-16,141.0,143.82161
2020-09-17,141.0,140.37639
2020-09-18,141.0,140.85329
2020-09-19,141.0,143.84995
2020-09-20,142.0,141.09529
2020-09-21,142.0,142.94511
2020-09-22,143.0,141.86859
2020-09-23,145.0,142.36362
2020-09-24,145.0,146.21852
2020-09-25,145.0,145.09933
2020-09-26,145.0,142.90486
2020-09-27,145.0,142.88504
2020-09-28,146.0,143.57228
2020-09-29,146.0,145.9618
2020-09-30,147.0,145.69218
2020-10-01,147.0,146.17706
2020-10-02,147.0,146.44102
2020-10-03,147.0,145.07083
2020-10-04,148.0,145.64444
2020-10-05,152.0,147.34029
2020-10-06,153.0,154.83673
2020-10-07,154.0,156.246
2020-10-08,154.0,154.61159
2020-10-09,154.0,153.08925
2020-10-10,154.0,153.3326
2020-10-11,155.0,154.98376
2020-10-12,155.0,156.09787
2020-10-13,155.0,156.87721
2020-10-14,156.0,154.89093
2020-10-15,156.0,156.67935
2020-10-16,156.0,156.92017
2020-10-17,156.0,156.20924
2020-10-18,156.0,155.72089
2020-10-19,156.0,155.95076
2020-10-20,156.0,156.23163
2020-10-21,157.0,155.91165
2020-10-22,157.0,157.7042
2020-10-23,157.0,157.94792
2020-10-24,157.0,156.72276
2020-10-25,158.0,156.69301
2020-10-26,159.0,158.57663
2020-10-27,159.0,161.26614
2020-10-28,159.0,160.01161
2020-10-29,161.0,158.94284
2020-10-30,163.0,161.95396
2020-10-31,163.0,166.96498
2020-11-01,163.0,165.84122
2020-11-02,164.0,163.5823
2020-11-03,164.0,164.95914
2020-11-04,165.0,166.95528
2020-11-05,165.0,167.91971
2020-11-06,165.0,167.64253
2020-11-07,165.0,166.94878
2020-11-08,166.0,167.00566
2020-11-09,166.0,168.30997
2020-11-10,166.0,169.35019
2020-11-11,166.0,167.90834
2020-11-12,167.0,167.77441
2020-11-13,167.0,169.20706
2020-11-14,167.0,170.31026
2020-11-15,167.0,168.97482
2020-11-16,167.0,168.83978
2020-11-17,167.0,168.87561
2020-11-18,170.0,169.45486
2020-11-19,170.0,172.52788
2020-11-20,170.0,174.46156
2020-11-21,171.00002,172.88106
2020-11-22,172.0,172.82347
2020-11-23,173.00002,175.62912
2020-11-24,175.0,178.48305
2020-11-25,178.0,178.99
2020-11-26,185.0,182.36504
2020-11-27,191.99998,184.82298
2020-11-28,195.0,187.18962
2020-11-29,195.0,192.6288
2020-11-30,198.0,196.83833
2020-12-01,201.0,192.99347
2020-12-02,211.0,196.4226
2020-12-03,213.0,204.32529
2020-12-04,218.0,213.05952
2020-12-05,219.0,236.04259
2020-12-06,222.0,229.98105
2020-12-07,260.0,252.64662
2020-12-08,321.0,321.3849
2020-12-09,335.0,341.4098
2020-12-10,351.0,350.95145
2020-12-11,398.0,396.8273
2020-12-12,421.0,412.45404
2020-12-13,429.0,423.52008
2020-12-14,434.0,442.88715
2020-12-15,483.0,467.92648
2020-12-16,489.0,487.47815
2020-12-17,499.0,493.67792
2020-12-18,530.0,526.7943
2020-12-19,539.0,541.59717
2020-12-20,545.0,557.2483
2020-12-21,562.0,563.4236
2020-12-22,568.0,570.16437
2020-12-23,586.0,584.2979
2020-12-24,595.0,592.0932
2020-12-25,607.0,602.8212
2020-12-26,615.0,610.5635
2020-12-27,616.0,604.5602
2020-12-28,618.0,595.39746
2020-12-29,622.0,576.80646
2020-12-30,638.0,584.4964
2020-12-31,673.0,611.8261
2021-01-01,716.0,621.4343
2021-01-02,733.0,630.6877
2021-01-03,740.0,628.5429
2021-01-04,745.0,636.368
2021-01-05,749.0,642.69196
2021-01-06,751.0,650.4827
