,Actual_data,Predicted_data
2020-08-16,408.0,418.472
2020-08-17,415.00003,425.3556
2020-08-18,433.0,436.67206
2020-08-19,441.0,448.9146
2020-08-20,451.0,455.96735
2020-08-21,469.00003,474.26843
2020-08-22,490.00003,483.7533
2020-08-23,522.0,507.8402
2020-08-24,542.0,535.69855
2020-08-25,556.0,560.1202
2020-08-26,583.0,584.2538
2020-08-27,642.0,613.41455
2020-08-28,669.0,667.504
2020-08-29,689.0,689.3378
2020-08-30,702.0,713.98083
2020-08-31,716.0,722.33307
2020-09-01,738.0,745.98413
2020-09-02,749.00006,753.8881
2020-09-03,765.0,758.68555
2020-09-04,770.0,772.04333
2020-09-05,784.0,781.51117
2020-09-06,796.00006,796.80096
2020-09-07,797.00006,805.8465
2020-09-08,799.0,804.3766
2020-09-09,800.0,794.95166
2020-09-10,805.00006,806.39813
2020-09-11,813.0,810.4795
2020-09-12,821.0,820.1712
2020-09-13,824.00006,824.7982
2020-09-14,834.00006,831.018
2020-09-15,843.00006,846.76904
2020-09-16,852.00006,855.66724
2020-09-17,859.0,860.0982
2020-09-18,865.0,863.76355
2020-09-19,876.00006,871.6697
2020-09-20,879.0,874.1031
2020-09-21,881.00006,882.15344
2020-09-22,883.0,884.6937
2020-09-23,888.0,887.0258
2020-09-24,898.0,901.3158
2020-09-25,901.0,903.06116
2020-09-26,902.0,899.49445
2020-09-27,911.0,915.4482
2020-09-28,912.0,910.70184
2020-09-29,912.0,916.59106
2020-09-30,916.0,913.47797
2020-10-01,919.00006,921.10205
2020-10-02,923.00006,927.47577
2020-10-03,930.0,933.14056
2020-10-04,936.0,933.98596
2020-10-05,941.0,942.0205
2020-10-06,945.0,944.1285
2020-10-07,951.00006,950.2426
2020-10-08,956.00006,956.6683
2020-10-09,956.00006,957.4228
2020-10-10,964.0,962.9129
2020-10-11,965.00006,966.2481
2020-10-12,968.0,969.5161
2020-10-13,968.0,971.1424
2020-10-14,976.0,975.0503
2020-10-15,987.0,986.7958
2020-10-16,991.0,987.5253
2020-10-17,993.00006,996.3397
2020-10-18,994.00006,992.8284
2020-10-19,999.00006,994.0904
2020-10-20,1002.0,1007.2226
2020-10-21,1008.00006,1011.7871
2020-10-22,1012.00006,1013.2339
2020-10-23,1017.00006,1013.4113
2020-10-24,1019.0,1012.1458
2020-10-25,1019.0,1023.4903
2020-10-26,1022.00006,1016.58203
2020-10-27,1024.0,1025.1957
2020-10-28,1034.0,1034.8126
2020-10-29,1039.0,1038.2534
2020-10-30,1042.0,1041.2937
2020-10-31,1045.0,1041.5149
2020-11-01,1049.0,1048.2573
2020-11-02,1051.0,1054.3024
2020-11-03,1052.0,1050.648
2020-11-04,1056.0,1058.2527
2020-11-05,1061.0,1060.8384
2020-11-06,1061.0,1066.4873
2020-11-07,1062.0,1073.205
2020-11-08,1065.0,1070.7772
2020-11-09,1067.0001,1073.8367
2020-11-10,1070.0,1075.2855
2020-11-11,1071.0,1080.2603
2020-11-12,1073.0,1080.9337
2020-11-13,1077.0001,1084.4371
2020-11-14,1078.0,1088.1545
2020-11-15,1080.0,1091.8629
2020-11-16,1090.0,1092.3022
2020-11-17,1103.0,1097.5724
2020-11-18,1115.0001,1117.9401
2020-11-19,1127.0,1129.9175
2020-11-20,1157.0001,1146.4614
2020-11-21,1179.0,1172.2906
2020-11-22,1206.0,1195.3722
2020-11-23,1229.0,1221.7428
2020-11-24,1246.0001,1239.2972
2020-11-25,1286.0,1277.4596
2020-11-26,1304.0,1308.9202
2020-11-27,1329.0,1323.6328
2020-11-28,1354.0001,1355.202
2020-11-29,1375.0,1375.8973
2020-11-30,1409.0,1400.6787
2020-12-01,1425.0001,1429.7107
2020-12-02,1448.0001,1451.332
2020-12-03,1469.9999,1466.8436
2020-12-04,1487.0,1493.7814
2020-12-05,1506.0,1517.1257
2020-12-06,1548.0,1539.7777
2020-12-07,1588.0,1572.9475
2020-12-08,1613.0001,1611.9358
2020-12-09,1659.0001,1649.3253
2020-12-10,1695.9999,1697.6481
2020-12-11,1732.9999,1744.516
2020-12-12,1775.0,1786.6772
2020-12-13,1836.9999,1835.0228
2020-12-14,1873.0,1885.7407
2020-12-15,1928.0,1928.3734
2020-12-16,1995.0,1997.8356
2020-12-17,2075.0,2060.21
2020-12-18,2139.9998,2136.4111
2020-12-19,2186.0,2191.7021
2020-12-20,2248.0,2257.0156
2020-12-21,2336.0,2332.5376
2020-12-22,2381.0,2383.5144
2020-12-23,2430.0,2431.0608
2020-12-24,2483.0,2484.5735
2020-12-25,2538.0,2539.6565
2020-12-26,2593.0,2594.1055
2020-12-27,2654.0,2654.9246
2020-12-28,2700.0,2701.1921
2020-12-29,2731.9998,2732.8616
2020-12-30,2780.0,2780.3472
2020-12-31,2839.0,2839.6748
2021-01-01,2904.0,2859.1614
2021-01-02,2975.0,2883.6936
2021-01-03,3023.0,2942.859
2021-01-04,3126.0,2993.9548
2021-01-05,3175.0,3058.2112
2021-01-06,3213.0,3074.5437
2021-01-07,3254.0,3104.3057
