,Actual_data,Predicted_data
2020-08-15,399.0,387.4861
2020-08-16,408.0,399.12595
2020-08-17,415.0,415.21494
2020-08-18,432.99997,424.663
2020-08-19,441.0,454.25378
2020-08-20,451.0,453.52667
2020-08-21,469.0,467.3292
2020-08-22,490.0,492.01257
2020-08-23,522.0,514.3597
2020-08-24,542.0,547.34875
2020-08-25,556.0,572.79065
2020-08-26,583.0,597.40625
2020-08-27,642.0,615.2618
2020-08-28,669.0,650.0144
2020-08-29,689.0,662.4696
2020-08-30,702.0,703.1867
2020-08-31,716.0,720.73267
2020-09-01,738.0,732.7999
2020-09-02,749.0,754.319
2020-09-03,765.0,761.871
2020-09-04,769.99994,782.1785
2020-09-05,784.0,780.147
2020-09-06,796.0,795.81305
2020-09-07,797.0,802.85516
2020-09-08,799.00006,801.2989
2020-09-09,800.0,796.635
2020-09-10,804.99994,791.01013
2020-09-11,812.99994,799.48193
2020-09-12,820.99994,809.32385
2020-09-13,824.0,819.5915
2020-09-14,834.0,820.16675
2020-09-15,843.0,837.75214
2020-09-16,852.00006,843.8355
2020-09-17,859.0,858.9143
2020-09-18,865.0,867.2037
2020-09-19,875.99994,873.50354
2020-09-20,879.0,889.7254
2020-09-21,881.0,881.4545
2020-09-22,883.0,882.2442
2020-09-23,888.0,880.69867
2020-09-24,898.0,887.78
2020-09-25,901.00006,903.7304
2020-09-26,902.0,898.4309
2020-09-27,910.99994,898.5836
2020-09-28,912.0,916.0301
2020-09-29,912.0,901.7103
2020-09-30,916.0,902.1131
2020-10-01,918.99994,910.4006
2020-10-02,922.99994,910.77795
2020-10-03,930.0,918.89374
2020-10-04,936.0,931.4688
2020-10-05,941.0,938.05225
2020-10-06,945.0,945.7093
2020-10-07,951.0,949.7258
2020-10-08,955.99994,958.3927
2020-10-09,955.99994,962.2521
2020-10-10,963.99994,956.48035
2020-10-11,965.0,972.77576
2020-10-12,967.99994,959.1503
2020-10-13,967.99994,967.3469
2020-10-14,975.99994,961.04144
2020-10-15,987.0,980.8746
2020-10-16,991.0,993.55664
2020-10-17,993.0,996.5143
2020-10-18,994.0,998.2845
2020-10-19,999.0,994.9435
2020-10-20,1002.0,1003.3774
2020-10-21,1008.0,1001.4163
2020-10-22,1012.0,1013.7564
2020-10-23,1016.99994,1015.2018
2020-10-24,1018.99994,1024.0258
2020-10-25,1018.99994,1021.6914
2020-10-26,1022.0,1017.4422
2020-10-27,1024.0,1022.03314
2020-10-28,1034.0,1021.05206
2020-10-29,1039.0,1044.4177
2020-10-30,1042.0,1041.5593
2020-10-31,1045.0,1048.3867
2020-11-01,1049.0,1050.4144
2020-11-02,1051.0,1054.8097
2020-11-03,1052.0,1053.2784
2020-11-04,1056.0,1052.2267
2020-11-05,1061.0,1058.8965
2020-11-06,1061.0,1064.9889
2020-11-07,1062.0,1059.3544
2020-11-08,1065.0,1059.8435
2020-11-09,1067.0,1063.6903
2020-11-10,1070.0,1063.5768
2020-11-11,1071.0,1069.0162
2020-11-12,1073.0,1066.7042
2020-11-13,1077.0,1069.9779
2020-11-14,1078.0,1076.4883
2020-11-15,1080.0,1073.3226
2020-11-16,1090.0,1077.195
2020-11-17,1103.0,1099.3872
2020-11-18,1115.0,1115.5988
2020-11-19,1127.0,1134.7223
2020-11-20,1157.0,1154.0293
2020-11-21,1179.0,1190.6335
2020-11-22,1206.0,1200.7877
2020-11-23,1229.0,1243.9692
2020-11-24,1246.0,1271.4854
2020-11-25,1286.0,1295.264
2020-11-26,1304.0,1321.1034
2020-11-27,1329.0,1329.2515
2020-11-28,1354.0,1363.3645
2020-11-29,1375.0,1386.7974
2020-11-30,1409.0,1408.2031
2020-12-01,1425.0,1440.3346
2020-12-02,1448.0,1446.2994
2020-12-03,1470.0,1476.7944
2020-12-04,1486.9999,1494.709
2020-12-05,1506.0,1507.3625
2020-12-06,1547.9999,1528.3872
2020-12-07,1588.0,1583.04
2020-12-08,1613.0,1604.4674
2020-12-09,1658.9999,1641.6876
2020-12-10,1695.9999,1691.2312
2020-12-11,1733.0,1728.8219
2020-12-12,1775.0,1775.061
2020-12-13,1837.0,1826.9553
2020-12-14,1873.0,1890.5823
2020-12-15,1927.9999,1932.5309
2020-12-16,1994.9999,1993.3909
2020-12-17,2075.0,2064.121
2020-12-18,2140.0,2122.653
2020-12-19,2185.9998,2183.9302
2020-12-20,2248.0,2248.5996
2020-12-21,2336.0,2323.8586
2020-12-22,2381.0,2381.052
2020-12-23,2430.0,2424.7053
2020-12-24,2483.0,2497.3289
2020-12-25,2538.0,2546.2405
2020-12-26,2593.0,2573.249
2020-12-27,2654.0,2596.6187
2020-12-28,2700.0,2630.166
2020-12-29,2732.0,2636.1396
2020-12-30,2780.0,2654.404
2020-12-31,2838.9998,2695.8125
2021-01-01,2904.0,2721.1377
2021-01-02,2975.0,2772.66
2021-01-03,3023.0,2849.0222
2021-01-04,3126.0,2924.307
2021-01-05,3175.0002,2989.35
2021-01-06,3213.0,3038.7952
