,Actual_data,Predicted_data
2020-08-16,42.0,42.05659
2020-08-17,42.0,43.21875
2020-08-18,42.0,43.23278
2020-08-19,44.000004,44.24206
2020-08-20,47.000004,46.820835
2020-08-21,53.0,51.42269
2020-08-22,60.0,60.288616
2020-08-23,74.00001,70.652
2020-08-24,81.00001,81.39477
2020-08-25,82.0,89.11494
2020-08-26,95.0,93.51172
2020-08-27,107.99999,105.47029
2020-08-28,120.0,117.44313
2020-08-29,129.0,127.65773
2020-08-30,137.0,134.93864
2020-08-31,142.0,142.33168
2020-09-01,146.0,146.22694
2020-09-02,149.0,150.47993
2020-09-03,155.0,154.80074
2020-09-04,156.00002,157.51353
2020-09-05,156.00002,159.14241
2020-09-06,159.00002,159.06035
2020-09-07,159.00002,160.13597
2020-09-08,160.0,160.54526
2020-09-09,161.0,160.57887
2020-09-10,163.0,161.39052
2020-09-11,165.0,162.68237
2020-09-12,166.0,164.72054
2020-09-13,166.0,166.55968
2020-09-14,166.0,167.53062
2020-09-15,166.0,166.60503
2020-09-16,166.0,168.23616
2020-09-17,167.0,167.13112
2020-09-18,167.0,167.94969
2020-09-19,167.0,166.98209
2020-09-20,167.0,166.85173
2020-09-21,167.0,165.48001
2020-09-22,167.0,167.06877
2020-09-23,167.0,166.3239
2020-09-24,168.0,166.76761
2020-09-25,168.0,169.81021
2020-09-26,168.0,168.3083
2020-09-27,169.0,167.40659
2020-09-28,169.0,167.94832
2020-09-29,169.0,169.39563
2020-09-30,169.0,169.7918
2020-10-01,170.0,172.13148
2020-10-02,170.0,172.70425
2020-10-03,173.00002,171.59485
2020-10-04,173.00002,173.08762
2020-10-05,173.00002,173.20137
2020-10-06,173.00002,173.21744
2020-10-07,173.00002,172.87819
2020-10-08,173.00002,173.42908
2020-10-09,174.0,174.62326
2020-10-10,175.99998,176.98021
2020-10-11,175.99998,176.07033
2020-10-12,175.99998,175.38086
2020-10-13,175.99998,174.90086
2020-10-14,175.99998,176.36037
2020-10-15,175.99998,176.3294
2020-10-16,175.99998,176.60423
2020-10-17,177.0,177.32224
2020-10-18,177.0,178.92188
2020-10-19,177.0,176.98682
2020-10-20,177.0,177.11613
2020-10-21,178.0,176.99632
2020-10-22,178.0,177.68152
2020-10-23,179.0,177.81732
2020-10-24,181.0,179.67291
2020-10-25,181.0,181.47406
2020-10-26,181.0,181.67787
2020-10-27,184.0,181.29475
2020-10-28,184.0,184.59158
2020-10-29,184.0,186.09264
2020-10-30,185.0,185.81676
2020-10-31,185.0,186.09206
2020-11-01,188.0,186.82213
2020-11-02,190.0,188.43462
2020-11-03,190.0,190.72578
2020-11-04,190.0,192.61281
2020-11-05,190.0,192.03531
2020-11-06,190.0,191.86465
2020-11-07,190.0,192.65306
2020-11-08,194.0,191.8014
2020-11-09,195.99998,195.96013
2020-11-10,198.0,197.79543
2020-11-11,198.99998,200.34018
2020-11-12,207.0,202.86969
2020-11-13,216.00002,214.61942
2020-11-14,229.0,226.23009
2020-11-15,238.0,241.52847
2020-11-16,248.0,252.83624
2020-11-17,264.0,264.83087
2020-11-18,279.0,281.90216
2020-11-19,307.0,302.88174
2020-11-20,321.00003,321.4836
2020-11-21,340.0,336.40387
2020-11-22,353.0,351.13367
2020-11-23,358.00003,361.89578
2020-11-24,365.0,367.0365
2020-11-25,373.00003,374.05984
2020-11-26,382.00003,382.7851
2020-11-27,393.0,393.05664
2020-11-28,400.00003,401.578
2020-11-29,420.0,413.01404
2020-11-30,424.0,422.8293
2020-12-01,426.0,428.0083
2020-12-02,427.0,428.9985
2020-12-03,429.00003,427.9916
2020-12-04,432.00003,434.41116
2020-12-05,436.0,435.73886
2020-12-06,444.00003,444.14996
2020-12-07,447.00003,448.41162
2020-12-08,454.0,453.23935
2020-12-09,456.00003,455.3723
2020-12-10,461.0,461.12134
2020-12-11,465.00003,465.57388
2020-12-12,473.0,471.0526
2020-12-13,479.0,478.4901
2020-12-14,480.00003,481.43314
2020-12-15,481.00003,481.76926
2020-12-16,485.0,485.79822
2020-12-17,485.0,485.92935
2020-12-18,490.00003,489.071
2020-12-19,495.0,495.82233
2020-12-20,499.00003,501.91113
2020-12-21,508.00003,506.92932
2020-12-22,513.0,512.9392
2020-12-23,525.0,525.03485
2020-12-24,527.0,527.2717
2020-12-25,532.00006,532.20624
2020-12-26,538.0,538.1246
2020-12-27,543.0,542.90594
2020-12-28,550.0,550.0321
2020-12-29,554.0,554.4022
2020-12-30,555.0,555.19214
2020-12-31,560.0,560.04364
2021-01-01,566.00006,554.7846
2021-01-02,577.0,558.0499
2021-01-03,589.0,562.20483
2021-01-04,592.0,567.29266
2021-01-05,596.0,572.1739
2021-01-06,597.0,568.3782
2021-01-07,598.0,571.62726
