,Actual_data,Predicted_data
2020-08-16,42.0,47.762012
2020-08-17,42.0,47.745323
2020-08-18,42.0,47.706623
2020-08-19,44.000004,47.655262
2020-08-20,47.000004,48.217354
2020-08-21,53.0,50.961964
2020-08-22,60.0,55.187263
2020-08-23,74.00001,60.671883
2020-08-24,81.00001,78.20692
2020-08-25,82.0,96.95609
2020-08-26,95.0,109.72847
2020-08-27,107.99999,117.215454
2020-08-28,120.0,107.10678
2020-08-29,129.0,117.05884
2020-08-30,137.0,127.26426
2020-08-31,142.0,134.78146
2020-09-01,146.0,143.71703
2020-09-02,149.0,149.90945
2020-09-03,155.0,154.26349
2020-09-04,156.00002,157.96133
2020-09-05,156.00002,164.58119
2020-09-06,159.00002,164.77553
2020-09-07,159.00002,164.96886
2020-09-08,160.0,167.79305
2020-09-09,161.0,165.19875
2020-09-10,163.0,165.35498
2020-09-11,165.0,165.78029
2020-09-12,166.0,167.5087
2020-09-13,166.0,169.11537
2020-09-14,166.0,168.80074
2020-09-15,166.0,167.06224
2020-09-16,166.0,166.28741
2020-09-17,167.0,165.6771
2020-09-18,167.0,165.67056
2020-09-19,167.0,166.95671
2020-09-20,167.0,165.45784
2020-09-21,167.0,164.82474
2020-09-22,167.0,164.37296
2020-09-23,167.0,163.97623
2020-09-24,168.0,163.61487
2020-09-25,168.0,163.9259
2020-09-26,168.0,165.60872
2020-09-27,169.0,164.29474
2020-09-28,169.0,164.52603
2020-09-29,169.0,166.29471
2020-09-30,169.0,165.07797
2020-10-01,170.0,164.77234
2020-10-02,170.0,165.26413
2020-10-03,173.00002,167.11276
2020-10-04,173.00002,168.56049
2020-10-05,173.00002,174.15468
2020-10-06,173.00002,170.73236
2020-10-07,173.00002,170.20183
2020-10-08,173.00002,169.98856
2020-10-09,174.0,169.79797
2020-10-10,175.99998,170.24825
2020-10-11,175.99998,173.0448
2020-10-12,175.99998,176.357
2020-10-13,175.99998,173.9638
2020-10-14,175.99998,173.54558
2020-10-15,175.99998,173.40176
2020-10-16,175.99998,173.27895
2020-10-17,177.0,173.14789
2020-10-18,177.0,173.71695
2020-10-19,177.0,175.53049
2020-10-20,177.0,174.37285
2020-10-21,178.0,174.10623
2020-10-22,178.0,174.70029
2020-10-23,179.0,176.54906
2020-10-24,181.0,176.07909
2020-10-25,181.0,178.9119
2020-10-26,181.0,182.22572
2020-10-27,184.0,179.96153
2020-10-28,184.0,182.39444
2020-10-29,184.0,187.79778
2020-10-30,185.0,184.6189
2020-10-31,185.0,184.6946
2020-11-01,188.0,186.37793
2020-11-02,190.0,187.88132
2020-11-03,190.0,192.9155
2020-11-04,190.0,195.19426
2020-11-05,190.0,192.767
2020-11-06,190.0,192.3034
2020-11-07,190.0,192.09698
2020-11-08,194.0,191.88405
2020-11-09,195.99998,196.23416
2020-11-10,198.0,202.46652
2020-11-11,198.99998,204.37535
2020-11-12,207.0,206.59322
2020-11-13,216.00002,216.4126
2020-11-14,229.0,226.69818
2020-11-15,238.0,246.22803
2020-11-16,248.0,259.52692
2020-11-17,264.0,272.9705
2020-11-18,279.0,291.56158
2020-11-19,307.0,300.1835
2020-11-20,321.00003,326.7158
2020-11-21,340.0,342.58234
2020-11-22,353.0,344.9219
2020-11-23,358.00003,352.30502
2020-11-24,365.0,367.23853
2020-11-25,373.00003,385.56482
2020-11-26,382.00003,392.39603
2020-11-27,393.0,398.7191
2020-11-28,400.00003,404.52133
2020-11-29,420.0,406.92587
2020-11-30,424.0,419.98032
2020-12-01,426.0,421.9745
2020-12-02,427.0,431.12372
2020-12-03,429.00003,434.10553
2020-12-04,432.00003,437.76767
2020-12-05,436.0,441.203
2020-12-06,444.00003,444.81653
2020-12-07,447.00003,450.6834
2020-12-08,454.0,453.4763
2020-12-09,456.00003,457.5068
2020-12-10,461.0,460.54993
2020-12-11,465.00003,463.56244
2020-12-12,473.0,468.7571
2020-12-13,479.0,475.465
2020-12-14,480.00003,481.7798
2020-12-15,481.00003,484.13824
2020-12-16,485.0,482.74536
2020-12-17,485.0,487.72427
2020-12-18,490.00003,492.2072
2020-12-19,495.0,494.44617
2020-12-20,499.00003,503.54047
2020-12-21,508.00003,509.0668
2020-12-22,513.0,515.0055
2020-12-23,525.0,522.7139
2020-12-24,527.0,526.2826
2020-12-25,532.00006,533.8305
2020-12-26,538.0,530.53485
2020-12-27,543.0,537.93524
2020-12-28,550.0,544.1054
2020-12-29,554.0,548.3194
2020-12-30,555.0,553.09344
2020-12-31,560.0,552.1363
2021-01-01,566.00006,552.3309
2021-01-02,577.0,560.6043
2021-01-03,589.0,565.9089
2021-01-04,592.0,570.6302
2021-01-05,596.0,574.2246
2021-01-06,597.0,577.608
2021-01-07,598.0,580.17957
