,Actual_data,Predicted_data
2020-08-15,43.0,49.65165
2020-08-16,43.0,51.002254
2020-08-17,44.0,51.24883
2020-08-18,51.0,52.349503
2020-08-19,52.0,57.287724
2020-08-20,58.000004,56.031246
2020-08-21,63.0,60.801373
2020-08-22,67.0,61.95844
2020-08-23,67.0,63.574066
2020-08-24,71.00001,66.99604
2020-08-25,75.0,73.32667
2020-08-26,82.0,75.02116
2020-08-27,84.0,78.56434
2020-08-28,86.0,80.72117
2020-08-29,86.0,84.03319
2020-08-30,86.0,87.58587
2020-08-31,87.0,90.72069
2020-09-01,87.0,92.6078
2020-09-02,87.0,92.4074
2020-09-03,87.0,92.94092
2020-09-04,87.0,93.18849
2020-09-05,89.0,93.19629
2020-09-06,90.0,94.17935
2020-09-07,91.0,93.0901
2020-09-08,94.0,93.70639
2020-09-09,95.0,95.90132
2020-09-10,96.0,95.7835
2020-09-11,96.0,97.4214
2020-09-12,97.0,98.607185
2020-09-13,99.0,100.49942
2020-09-14,100.0,101.434074
2020-09-15,101.0,101.16154
2020-09-16,106.0,102.21552
2020-09-17,106.0,106.722755
2020-09-18,114.00001,105.65465
2020-09-19,115.00001,116.45203
2020-09-20,115.00001,115.826485
2020-09-21,115.00001,115.85329
2020-09-22,115.00001,118.059944
2020-09-23,116.00001,118.89358
2020-09-24,117.00001,119.49025
2020-09-25,120.0,118.86471
2020-09-26,123.0,120.44636
2020-09-27,125.0,120.76292
2020-09-28,125.0,121.59403
2020-09-29,125.0,122.75948
2020-09-30,128.00002,125.31955
2020-10-01,128.00002,129.33311
2020-10-02,128.00002,127.520294
2020-10-03,129.00002,128.73854
2020-10-04,129.00002,130.31892
2020-10-05,132.0,129.58536
2020-10-06,141.00002,133.01678
2020-10-07,149.0,141.01503
2020-10-08,149.0,144.0135
2020-10-09,149.0,144.4289
2020-10-10,149.0,148.78207
2020-10-11,149.0,152.33922
2020-10-12,151.0,153.3533
2020-10-13,152.00002,155.10165
2020-10-14,152.00002,153.2365
2020-10-15,153.00002,152.50145
2020-10-16,155.00002,154.17155
2020-10-17,155.00002,155.379
2020-10-18,155.00002,153.89923
2020-10-19,156.00002,155.14488
2020-10-20,156.00002,156.91727
2020-10-21,156.00002,156.00258
2020-10-22,158.0,156.56099
2020-10-23,160.0,159.26201
2020-10-24,160.0,159.36218
2020-10-25,160.0,158.35117
2020-10-26,160.0,159.98705
2020-10-27,160.0,160.80927
2020-10-28,163.0,161.0733
2020-10-29,164.0,165.19289
2020-10-30,166.00002,162.95715
2020-10-31,166.00002,165.66986
2020-11-01,166.00002,164.82701
2020-11-02,166.00002,166.44101
2020-11-03,166.00002,167.17387
2020-11-04,166.00002,167.34618
2020-11-05,166.00002,167.2568
2020-11-06,167.00002,167.07907
2020-11-07,167.00002,168.30774
2020-11-08,167.00002,166.88138
2020-11-09,171.0,167.39703
2020-11-10,171.0,173.91426
2020-11-11,172.0,169.7017
2020-11-12,172.0,172.8238
2020-11-13,172.0,172.41167
2020-11-14,176.0,173.24437
2020-11-15,178.0,179.89537
2020-11-16,179.0,177.92339
2020-11-17,179.0,178.68724
2020-11-18,179.0,179.46379
2020-11-19,181.00002,180.94756
2020-11-20,194.00002,184.59149
2020-11-21,208.00002,206.61911
2020-11-22,220.0,217.26143
2020-11-23,228.99998,227.89249
2020-11-24,244.0,237.00746
2020-11-25,252.0,256.8203
2020-11-26,268.0,267.72794
2020-11-27,292.0,286.08896
2020-11-28,301.0,311.73224
2020-11-29,318.0,324.25858
2020-11-30,334.0,338.6282
2020-12-01,343.0,354.80566
2020-12-02,369.0,360.04877
2020-12-03,378.0,384.92328
2020-12-04,392.0,402.61575
2020-12-05,409.0,412.3489
2020-12-06,421.00003,425.58405
2020-12-07,443.0,433.22766
2020-12-08,456.0,452.9873
2020-12-09,467.99997,462.43082
2020-12-10,475.99997,472.86914
2020-12-11,482.99997,480.8639
2020-12-12,489.0,493.2725
2020-12-13,498.0,504.77808
2020-12-14,506.0,521.8933
2020-12-15,521.0,532.8724
2020-12-16,595.99994,559.87256
2020-12-17,615.0,615.9978
2020-12-18,631.0,628.6596
2020-12-19,645.99994,658.9051
2020-12-20,675.0,669.39435
2020-12-21,688.0,685.4234
2020-12-22,692.0,694.3011
2020-12-23,713.0,710.8182
2020-12-24,725.0,728.39606
2020-12-25,739.0,726.66046
2020-12-26,776.0,746.08606
2020-12-27,784.0,778.58014
2020-12-28,785.0,737.6671
2020-12-29,793.0,760.563
2020-12-30,825.0,764.08655
2020-12-31,837.0,791.611
2021-01-01,845.0,796.1448
2021-01-02,856.0,821.23145
2021-01-03,860.99994,828.2068
2021-01-04,874.0,834.0066
2021-01-05,879.0,841.9955
2021-01-06,901.00006,847.0147
