,Actual_data,Predicted_data
2020-08-15,26.0,26.794777
2020-08-16,26.0,26.914642
2020-08-17,26.0,26.393831
2020-08-18,26.0,27.211874
2020-08-19,26.0,27.111677
2020-08-20,26.0,27.64914
2020-08-21,26.0,27.469418
2020-08-22,28.0,27.9209
2020-08-23,28.0,29.494116
2020-08-24,28.0,29.262196
2020-08-25,31.0,29.474371
2020-08-26,33.0,32.499283
2020-08-27,34.0,34.703552
2020-08-28,36.0,35.788033
2020-08-29,37.0,37.423336
2020-08-30,39.0,39.481266
2020-08-31,45.0,42.124107
2020-09-01,46.0,47.247814
2020-09-02,47.0,47.421883
2020-09-03,47.0,49.215843
2020-09-04,47.0,49.6547
2020-09-05,48.0,49.92372
2020-09-06,48.0,50.662933
2020-09-07,48.0,50.590424
2020-09-08,48.0,50.20356
2020-09-09,48.0,50.504135
2020-09-10,50.0,51.126915
2020-09-11,52.0,51.365765
2020-09-12,53.0,52.82479
2020-09-13,53.0,53.91157
2020-09-14,53.0,53.933773
2020-09-15,56.0,54.839226
2020-09-16,56.0,56.014946
2020-09-17,56.0,55.284184
2020-09-18,58.000004,56.06956
2020-09-19,58.000004,57.61359
2020-09-20,58.000004,58.35891
2020-09-21,58.000004,57.85248
2020-09-22,58.000004,57.555218
2020-09-23,58.000004,57.871323
2020-09-24,59.0,58.651157
2020-09-25,59.0,58.625324
2020-09-26,59.0,58.239872
2020-09-27,59.0,58.755684
2020-09-28,59.0,59.20771
2020-09-29,59.0,57.753292
2020-09-30,59.0,58.70582
2020-10-01,59.0,58.42701
2020-10-02,59.0,58.216805
2020-10-03,59.0,58.112743
2020-10-04,59.0,58.2035
2020-10-05,59.0,58.58527
2020-10-06,59.0,58.447666
2020-10-07,59.0,58.134377
2020-10-08,59.0,59.122227
2020-10-09,59.0,59.229073
2020-10-10,59.0,58.7262
2020-10-11,59.0,58.701797
2020-10-12,59.0,58.705505
2020-10-13,59.0,59.072834
2020-10-14,59.0,59.359436
2020-10-15,59.0,58.83679
2020-10-16,59.0,58.791935
2020-10-17,59.0,58.72155
2020-10-18,59.0,58.810852
2020-10-19,59.0,58.36596
2020-10-20,59.0,58.712006
2020-10-21,59.0,59.140408
2020-10-22,59.0,58.939423
2020-10-23,59.0,58.871582
2020-10-24,59.0,59.277355
2020-10-25,59.0,59.589302
2020-10-26,59.0,59.91239
2020-10-27,59.0,59.729095
2020-10-28,59.0,59.7157
2020-10-29,59.0,59.956234
2020-10-30,59.0,60.141888
2020-10-31,59.0,60.44443
2020-11-01,59.0,61.064342
2020-11-02,59.0,60.98763
2020-11-03,59.0,61.098774
2020-11-04,59.999996,61.2008
2020-11-05,59.999996,61.704716
2020-11-06,59.999996,61.649467
2020-11-07,59.999996,61.757492
2020-11-08,59.999996,61.610203
2020-11-09,59.999996,61.60504
2020-11-10,59.999996,61.87787
2020-11-11,59.999996,61.915028
2020-11-12,61.000004,62.063095
2020-11-13,62.0,62.68175
2020-11-14,62.0,63.179646
2020-11-15,62.0,63.065506
2020-11-16,63.0,63.602245
2020-11-17,63.0,64.42235
2020-11-18,63.0,64.54087
2020-11-19,63.0,64.69636
2020-11-20,65.0,64.60635
2020-11-21,65.0,66.05718
2020-11-22,65.0,65.879845
2020-11-23,66.0,65.869194
2020-11-24,67.0,66.91541
2020-11-25,70.00001,68.13097
2020-11-26,73.00001,70.86844
2020-11-27,76.00001,73.022224
2020-11-28,78.0,77.72336
2020-11-29,79.00001,78.90222
2020-11-30,80.00001,80.738785
2020-12-01,81.0,80.657364
2020-12-02,83.00001,83.316795
2020-12-03,84.0,86.01113
2020-12-04,86.00001,85.82523
2020-12-05,87.0,89.287476
2020-12-06,87.0,90.77805
2020-12-07,87.0,89.1757
2020-12-08,89.00001,88.20552
2020-12-09,89.00001,91.257515
2020-12-10,102.00001,92.88156
2020-12-11,107.0,106.76938
2020-12-12,107.0,110.35821
2020-12-13,110.0,111.20419
2020-12-14,118.0,115.567566
2020-12-15,126.99999,128.26234
2020-12-16,141.99998,141.23798
2020-12-17,154.0,158.71938
2020-12-18,180.99998,179.6961
2020-12-19,205.0,205.03029
2020-12-20,229.00002,229.92345
2020-12-21,252.0,251.78357
2020-12-22,271.0,271.65012
2020-12-23,304.0,303.55692
2020-12-24,330.0,329.91315
2020-12-25,350.0,349.84302
2020-12-26,374.0,373.8567
2020-12-27,381.0,380.74915
2020-12-28,392.0,392.0596
2020-12-29,397.0,397.19678
2020-12-30,407.0,406.9131
2020-12-31,416.0,408.65424
2021-01-01,421.0,400.8043
2021-01-02,434.0,400.16602
2021-01-03,438.0,399.76038
2021-01-04,448.0,387.56827
2021-01-05,456.00003,394.42245
2021-01-06,461.0,380.21008
