,Actual_data,Predicted_data
2020-08-16,25.999998,27.959642
2020-08-17,25.999998,27.958471
2020-08-18,25.999998,27.95758
2020-08-19,25.999998,27.956923
2020-08-20,25.999998,27.956408
2020-08-21,25.999998,27.95603
2020-08-22,28.0,27.955746
2020-08-23,28.0,30.792261
2020-08-24,28.0,29.743368
2020-08-25,31.000002,29.775963
2020-08-26,33.0,33.98358
2020-08-27,34.0,34.824993
2020-08-28,36.0,36.014923
2020-08-29,37.0,37.976948
2020-08-30,39.0,37.809162
2020-08-31,45.0,40.179024
2020-09-01,46.0,48.769093
2020-09-02,47.0,45.634365
2020-09-03,47.0,45.46316
2020-09-04,47.0,44.49197
2020-09-05,47.999996,45.04432
2020-09-06,47.999996,47.677692
2020-09-07,47.999996,47.793
2020-09-08,47.999996,48.096504
2020-09-09,47.999996,48.27832
2020-09-10,50.0,48.452644
2020-09-11,51.999996,51.803326
2020-09-12,53.0,53.70185
2020-09-13,53.0,53.68837
2020-09-14,53.0,51.873512
2020-09-15,55.999996,51.13455
2020-09-16,55.999996,56.274975
2020-09-17,55.999996,54.071144
2020-09-18,58.0,53.574707
2020-09-19,58.0,57.486763
2020-09-20,58.0,56.500477
2020-09-21,58.0,56.511734
2020-09-22,58.0,57.014275
2020-09-23,58.0,57.734615
2020-09-24,59.0,58.357162
2020-09-25,59.0,60.62714
2020-09-26,59.0,60.03161
2020-09-27,59.0,59.769432
2020-09-28,59.0,59.76099
2020-09-29,59.0,59.927135
2020-09-30,59.0,60.10259
2020-10-01,59.0,60.23317
2020-10-02,59.0,60.31289
2020-10-03,59.0,60.351112
2020-10-04,59.0,60.35979
2020-10-05,59.0,60.34912
2020-10-06,59.0,60.326675
2020-10-07,59.0,60.297653
2020-10-08,59.0,60.265533
2020-10-09,59.0,60.232517
2020-10-10,59.0,60.200047
2020-10-11,59.0,60.169
2020-10-12,59.0,60.139904
2020-10-13,59.0,60.113113
2020-10-14,59.0,60.08882
2020-10-15,59.0,60.067177
2020-10-16,59.0,60.048306
2020-10-17,59.0,60.032345
2020-10-18,59.0,60.019524
2020-10-19,59.0,60.010197
2020-10-20,59.0,60.004948
2020-10-21,59.0,60.004837
2020-10-22,59.0,60.048546
2020-10-23,59.0,60.00486
2020-10-24,59.0,60.022995
2020-10-25,59.0,60.20154
2020-10-26,59.0,60.13765
2020-10-27,59.0,60.10035
2020-10-28,59.0,60.222675
2020-10-29,59.0,60.1657
2020-10-30,59.0,60.344814
2020-10-31,59.0,61.6024
2020-11-01,59.0,60.03705
2020-11-02,59.0,60.04354
2020-11-03,59.0,59.99868
2020-11-04,60.0,60.018234
2020-11-05,60.0,61.930992
2020-11-06,60.0,60.99
2020-11-07,60.0,60.580612
2020-11-08,60.0,60.530117
2020-11-09,60.0,60.724243
2020-11-10,60.0,61.288864
2020-11-11,60.0,61.42147
2020-11-12,61.0,61.326973
2020-11-13,62.000004,63.157333
2020-11-14,62.000004,64.31841
2020-11-15,62.000004,63.640648
2020-11-16,63.000004,62.33228
2020-11-17,63.000004,64.273
2020-11-18,63.000004,63.90762
2020-11-19,63.000004,63.509506
2020-11-20,65.0,63.753315
2020-11-21,65.0,67.828285
2020-11-22,65.0,66.2363
2020-11-23,66.0,65.654366
2020-11-24,67.0,67.93803
2020-11-25,70.0,69.53189
2020-11-26,73.0,74.61675
2020-11-27,76.0,77.9336
2020-11-28,78.0,80.53581
2020-11-29,79.0,80.18787
2020-11-30,80.0,78.70989
2020-12-01,81.0,79.34623
2020-12-02,83.0,81.33921
2020-12-03,84.0,85.92967
2020-12-04,86.0,87.300446
2020-12-05,87.0,91.15168
2020-12-06,87.0,92.08095
2020-12-07,87.0,91.24809
2020-12-08,89.0,92.05031
2020-12-09,89.0,97.66062
2020-12-10,102.0,97.46092
2020-12-11,107.0,104.86355
2020-12-12,107.0,111.86329
2020-12-13,110.0,110.97983
2020-12-14,118.0,114.773766
2020-12-15,127.0,124.60999
2020-12-16,142.0,142.82982
2020-12-17,154.0,157.22864
2020-12-18,181.0,180.157
2020-12-19,205.0,207.27641
2020-12-20,229.00002,224.87447
2020-12-21,252.00002,247.73003
2020-12-22,271.0,272.2463
2020-12-23,304.0,303.3381
2020-12-24,330.0,329.8282
2020-12-25,350.00003,350.72427
2020-12-26,374.00003,365.28134
2020-12-27,381.0,358.78555
2020-12-28,392.00003,394.1939
2020-12-29,397.0,352.59485
2020-12-30,407.0,371.47186
2020-12-31,416.0,337.48227
2021-01-01,421.0,346.8484
2021-01-02,434.0,373.11282
2021-01-03,438.0,385.59918
2021-01-04,448.0,397.20398
2021-01-05,456.0,403.98572
2021-01-06,461.0,411.1527
2021-01-07,470.0,415.91083
