,Actual_data,Predicted_data
2020-08-15,202.0,207.67415
2020-08-16,207.0,209.54941
2020-08-17,210.99998,213.44849
2020-08-18,216.00002,217.07515
2020-08-19,219.0,221.12428
2020-08-20,224.0,227.23392
2020-08-21,237.0,231.3941
2020-08-22,244.0,242.64133
2020-08-23,254.0,252.00792
2020-08-24,262.0,258.86826
2020-08-25,271.0,270.22156
2020-08-26,283.0,279.72107
2020-08-27,298.0,294.774
2020-08-28,307.0,308.70215
2020-08-29,315.0,315.64667
2020-08-30,323.0,325.05258
2020-08-31,332.0,329.90634
2020-09-01,339.0,339.8765
2020-09-02,346.0,346.63303
2020-09-03,353.0,354.4923
2020-09-04,373.99997,363.40176
2020-09-05,378.0,383.37494
2020-09-06,379.99997,384.62305
2020-09-07,383.0,385.6722
2020-09-08,383.0,387.97202
2020-09-09,391.0,389.1564
2020-09-10,403.0,398.35706
2020-09-11,417.0,410.4913
2020-09-12,423.0,423.4987
2020-09-13,434.0,431.21072
2020-09-14,442.00003,443.04605
2020-09-15,444.99997,451.30234
2020-09-16,447.0,446.92236
2020-09-17,456.99997,453.90863
2020-09-18,463.0,463.89343
2020-09-19,467.00003,468.81888
2020-09-20,468.00003,468.88455
2020-09-21,468.00003,470.39716
2020-09-22,468.00003,468.33105
2020-09-23,473.0,473.0771
2020-09-24,474.0,478.4323
2020-09-25,475.0,479.48035
2020-09-26,475.0,478.08215
2020-09-27,477.00003,474.3972
2020-09-28,477.00003,479.1271
2020-09-29,479.00003,474.87283
2020-09-30,484.0,476.59088
2020-10-01,487.0,484.3106
2020-10-02,488.0,485.71973
2020-10-03,489.00003,488.42188
2020-10-04,489.00003,486.86047
2020-10-05,491.00003,485.7705
2020-10-06,491.00003,487.91452
2020-10-07,491.00003,482.71704
2020-10-08,491.00003,489.40295
2020-10-09,491.00003,492.58597
2020-10-10,494.0,487.0168
2020-10-11,495.0,495.2407
2020-10-12,497.0,499.696
2020-10-13,499.0,500.55835
2020-10-14,500.0,503.9788
2020-10-15,500.0,504.8642
2020-10-16,501.00003,502.34692
2020-10-17,503.00003,505.34903
2020-10-18,503.00003,510.90167
2020-10-19,505.0,507.64566
2020-10-20,507.0,513.7919
2020-10-21,507.0,510.41342
2020-10-22,518.0,519.41437
2020-10-23,522.0,532.6914
2020-10-24,527.0,530.95056
2020-10-25,529.0,530.30145
2020-10-26,530.0,532.4568
2020-10-27,531.0,533.06134
2020-10-28,532.0,528.2516
2020-10-29,533.0,529.8475
2020-10-30,536.0,535.3339
2020-10-31,541.0,531.64166
2020-11-01,550.0,541.86066
2020-11-02,561.0,557.52203
2020-11-03,568.0,563.9363
2020-11-04,578.0,575.96576
2020-11-05,601.0,592.892
2020-11-06,626.0,620.64276
2020-11-07,635.0,644.54333
2020-11-08,644.0,644.6519
2020-11-09,654.0,651.68665
2020-11-10,658.0,658.72174
2020-11-11,665.0,662.36774
2020-11-12,674.0,676.62415
2020-11-13,682.0,681.1927
2020-11-14,693.0,687.86206
2020-11-15,698.0,700.97687
2020-11-16,704.0,704.86804
2020-11-17,713.0,713.50604
2020-11-18,720.0,723.47284
2020-11-19,733.0,731.5313
2020-11-20,748.0,748.8749
2020-11-21,769.0,764.5885
2020-11-22,782.0,780.83154
2020-11-23,791.0,796.39557
2020-11-24,799.0,802.2242
2020-11-25,817.0,812.22675
2020-11-26,833.0,836.5938
2020-11-27,864.00006,853.5288
2020-11-28,881.0,880.4654
2020-11-29,894.0,893.2555
2020-11-30,899.00006,903.3532
2020-12-01,915.0,910.09973
2020-12-02,923.00006,934.4544
2020-12-03,937.0,936.0499
2020-12-04,960.00006,953.78864
2020-12-05,970.0,975.3057
2020-12-06,985.0,981.9118
2020-12-07,995.00006,1000.0267
2020-12-08,1010.00006,1007.47955
2020-12-09,1014.00006,1021.151
2020-12-10,1034.0001,1034.6
2020-12-11,1044.0,1044.6821
2020-12-12,1054.0,1062.1184
2020-12-13,1064.0,1066.5704
2020-12-14,1119.0001,1108.687
2020-12-15,1156.0001,1153.4468
2020-12-16,1191.0001,1188.6619
2020-12-17,1210.0,1212.8873
2020-12-18,1228.0001,1231.7699
2020-12-19,1252.0001,1252.2426
2020-12-20,1272.0001,1276.5596
2020-12-21,1288.0,1288.0942
2020-12-22,1305.0001,1304.5616
2020-12-23,1316.0,1317.3783
2020-12-24,1347.0,1347.3099
2020-12-25,1427.0001,1426.1848
2020-12-26,1488.0001,1488.2548
2020-12-27,1546.0,1546.4529
2020-12-28,1581.0,1581.0277
2020-12-29,1608.0,1608.2854
2020-12-30,1635.0,1634.2408
2020-12-31,1653.0,1648.7898
2021-01-01,1668.0,1625.1403
2021-01-02,1675.0,1628.994
2021-01-03,1683.9999,1628.3993
2021-01-04,1707.0,1676.2352
2021-01-05,1725.0,1717.6204
2021-01-06,1749.0,1759.4635
