,Actual_data,Predicted_data
2020-08-15,202.0,206.86412
2020-08-16,207.0,210.15288
2020-08-17,210.99998,215.06514
2020-08-18,216.00002,217.39726
2020-08-19,219.0,222.98589
2020-08-20,224.0,226.29547
2020-08-21,237.0,230.71384
2020-08-22,244.0,243.70229
2020-08-23,254.0,249.99977
2020-08-24,262.0,261.58383
2020-08-25,271.0,267.87323
2020-08-26,283.0,276.97034
2020-08-27,298.0,293.6178
2020-08-28,307.0,307.44574
2020-08-29,315.0,316.94482
2020-08-30,323.0,323.3197
2020-08-31,332.0,331.4306
2020-09-01,339.0,339.9247
2020-09-02,346.0,347.46228
2020-09-03,353.0,355.61185
2020-09-04,373.99997,362.47076
2020-09-05,378.0,378.23972
2020-09-06,379.99997,381.18954
2020-09-07,383.0,385.6262
2020-09-08,383.0,388.2862
2020-09-09,391.0,391.54828
2020-09-10,403.0,401.90033
2020-09-11,417.0,413.83014
2020-09-12,423.0,423.84387
2020-09-13,434.0,432.40704
2020-09-14,442.00003,441.23438
2020-09-15,444.99997,449.731
2020-09-16,447.0,450.7922
2020-09-17,456.99997,457.38284
2020-09-18,463.0,462.42184
2020-09-19,467.00003,466.68634
2020-09-20,468.00003,467.97595
2020-09-21,468.00003,470.28992
2020-09-22,468.00003,467.7693
2020-09-23,473.0,471.36905
2020-09-24,474.0,477.57748
2020-09-25,475.0,478.25604
2020-09-26,475.0,474.58356
2020-09-27,477.00003,473.92072
2020-09-28,477.00003,476.53607
2020-09-29,479.00003,472.9725
2020-09-30,484.0,479.01935
2020-10-01,487.0,485.00052
2020-10-02,488.0,487.24713
2020-10-03,489.00003,489.8513
2020-10-04,489.00003,488.97632
2020-10-05,491.00003,489.46573
2020-10-06,491.00003,491.47864
2020-10-07,491.00003,488.2737
2020-10-08,491.00003,493.55826
2020-10-09,491.00003,490.87793
2020-10-10,494.0,491.98334
2020-10-11,495.0,492.28488
2020-10-12,497.0,496.46695
2020-10-13,499.0,499.54706
2020-10-14,500.0,502.23627
2020-10-15,500.0,502.45358
2020-10-16,501.00003,502.74368
2020-10-17,503.00003,503.3952
2020-10-18,503.00003,505.768
2020-10-19,505.0,509.8101
2020-10-20,507.0,509.54556
2020-10-21,507.0,505.3998
2020-10-22,518.0,513.5936
2020-10-23,522.0,525.01666
2020-10-24,527.0,527.7534
2020-10-25,529.0,526.84436
2020-10-26,530.0,530.0327
2020-10-27,531.0,531.9524
2020-10-28,532.0,532.3212
2020-10-29,533.0,532.34766
2020-10-30,536.0,534.8552
2020-10-31,541.0,539.3156
2020-11-01,550.0,546.55133
2020-11-02,561.0,558.30945
2020-11-03,568.0,568.9653
2020-11-04,578.0,578.0311
2020-11-05,601.0,600.0621
2020-11-06,626.0,620.0281
2020-11-07,635.0,641.1169
2020-11-08,644.0,644.9265
2020-11-09,654.0,650.24506
2020-11-10,658.0,657.74225
2020-11-11,665.0,663.85095
2020-11-12,674.0,672.50946
2020-11-13,682.0,681.39056
2020-11-14,693.0,692.49744
2020-11-15,698.0,704.39014
2020-11-16,704.0,706.5884
2020-11-17,713.0,710.6874
2020-11-18,720.0,724.6741
2020-11-19,733.0,732.49915
2020-11-20,748.0,745.12036
2020-11-21,769.0,763.0875
2020-11-22,782.0,780.57324
2020-11-23,791.0,793.5131
2020-11-24,799.0,804.65717
2020-11-25,817.0,812.9247
2020-11-26,833.0,833.1297
2020-11-27,864.00006,855.00494
2020-11-28,881.0,879.4405
2020-11-29,894.0,893.33264
2020-11-30,899.00006,900.1095
2020-12-01,915.0,912.38745
2020-12-02,923.00006,931.16644
2020-12-03,937.0,939.5144
2020-12-04,960.00006,954.17566
2020-12-05,970.0,973.81946
2020-12-06,985.0,984.31067
2020-12-07,995.00006,995.5703
2020-12-08,1010.00006,1007.1866
2020-12-09,1014.00006,1016.5222
2020-12-10,1034.0001,1031.7004
2020-12-11,1044.0,1046.1831
2020-12-12,1054.0,1059.9785
2020-12-13,1064.0,1065.7854
2020-12-14,1119.0001,1115.2434
2020-12-15,1156.0001,1151.1873
2020-12-16,1191.0001,1188.6182
2020-12-17,1210.0,1212.3928
2020-12-18,1228.0001,1229.4595
2020-12-19,1252.0001,1251.1758
2020-12-20,1272.0001,1272.4034
2020-12-21,1288.0,1288.0226
2020-12-22,1305.0001,1304.5946
2020-12-23,1316.0,1316.1089
2020-12-24,1347.0,1346.2786
2020-12-25,1427.0001,1426.5247
2020-12-26,1488.0001,1487.8475
2020-12-27,1546.0,1545.6409
2020-12-28,1581.0,1580.6268
2020-12-29,1608.0,1607.7529
2020-12-30,1635.0,1634.5103
2020-12-31,1653.0,1610.0724
2021-01-01,1668.0,1581.5159
2021-01-02,1675.0,1573.1737
2021-01-03,1683.9999,1565.1042
2021-01-04,1707.0,1563.493
2021-01-05,1725.0,1614.0334
2021-01-06,1749.0,1663.6901
