,Actual_data,Predicted_data
2020-08-16,207.0,208.86124
2020-08-17,211.0,206.4352
2020-08-18,216.00002,221.44786
2020-08-19,219.0,221.19513
2020-08-20,224.0,229.3773
2020-08-21,237.0,226.88118
2020-08-22,244.0,235.0821
2020-08-23,254.00002,278.19525
2020-08-24,262.0,261.14297
2020-08-25,271.0,283.43344
2020-08-26,283.0,284.44962
2020-08-27,298.0,292.40802
2020-08-28,307.0,313.57828
2020-08-29,315.0,342.00186
2020-08-30,323.0,332.10516
2020-08-31,332.0,337.6749
2020-09-01,339.0,344.84796
2020-09-02,346.0,354.23248
2020-09-03,353.0,357.0698
2020-09-04,374.0,363.94913
2020-09-05,378.00003,374.34607
2020-09-06,380.0,412.41833
2020-09-07,383.0,376.81287
2020-09-08,383.0,381.22443
2020-09-09,391.0,383.378
2020-09-10,403.00003,380.09744
2020-09-11,416.99997,404.85135
2020-09-12,423.0,431.63824
2020-09-13,433.99997,442.95123
2020-09-14,441.99997,444.50525
2020-09-15,445.0,459.91354
2020-09-16,447.0,453.92078
2020-09-17,457.0,446.9262
2020-09-18,463.0,457.02032
2020-09-19,466.99997,476.3149
2020-09-20,467.99997,472.38745
2020-09-21,467.99997,468.03763
2020-09-22,467.99997,467.80145
2020-09-23,473.0,464.94516
2020-09-24,474.0,472.14587
2020-09-25,474.99997,476.51334
2020-09-26,474.99997,473.14392
2020-09-27,476.99997,472.2768
2020-09-28,476.99997,477.4301
2020-09-29,479.0,475.25848
2020-09-30,483.99997,478.5874
2020-10-01,487.0,484.87772
2020-10-02,488.0,492.9824
2020-10-03,489.0,487.38638
2020-10-04,489.0,488.479
2020-10-05,491.00003,488.37363
2020-10-06,491.00003,490.60654
2020-10-07,491.00003,490.3341
2020-10-08,491.00003,489.00293
2020-10-09,491.00003,488.5445
2020-10-10,494.0,489.8641
2020-10-11,495.0,493.4587
2020-10-12,497.0,496.59512
2020-10-13,499.0,497.53256
2020-10-14,500.00003,500.0464
2020-10-15,500.00003,501.5132
2020-10-16,500.99997,497.99524
2020-10-17,503.0,500.57477
2020-10-18,503.0,504.04718
2020-10-19,505.0,502.57483
2020-10-20,507.0,504.7761
2020-10-21,507.0,508.81296
2020-10-22,518.0,506.69983
2020-10-23,522.0,515.18005
2020-10-24,527.0,532.45935
2020-10-25,529.0,531.6366
2020-10-26,530.0,529.4657
2020-10-27,531.0,532.5698
2020-10-28,532.0,529.3546
2020-10-29,533.0,533.84
2020-10-30,536.0,533.5447
2020-10-31,541.0,538.9607
2020-11-01,550.0,546.5291
2020-11-02,561.00006,558.1749
2020-11-03,568.0,574.1632
2020-11-04,578.00006,583.52826
2020-11-05,601.0,591.7646
2020-11-06,626.0,603.9354
2020-11-07,635.0,647.881
2020-11-08,644.0,645.1238
2020-11-09,654.0,656.2676
2020-11-10,658.0,667.19037
2020-11-11,665.0,664.76
2020-11-12,674.0,672.6308
2020-11-13,682.0,686.70593
2020-11-14,693.0,698.88
2020-11-15,698.0,708.6337
2020-11-16,704.00006,706.6124
2020-11-17,713.0,714.48285
2020-11-18,720.0,725.26294
2020-11-19,733.0,736.083
2020-11-20,748.0,748.435
2020-11-21,769.0,767.8863
2020-11-22,782.0,788.96735
2020-11-23,791.0,802.1802
2020-11-24,799.0,799.71936
2020-11-25,816.99994,808.9054
2020-11-26,832.99994,829.7054
2020-11-27,864.00006,856.5252
2020-11-28,881.00006,869.48444
2020-11-29,894.0,898.72766
2020-11-30,898.99994,898.12823
2020-12-01,914.99994,883.6515
2020-12-02,923.0,925.22925
2020-12-03,936.99994,930.7474
2020-12-04,960.0,955.78625
2020-12-05,969.99994,972.59265
2020-12-06,985.00006,970.12805
2020-12-07,995.0,992.3982
2020-12-08,1010.0,1001.2637
2020-12-09,1014.0,1030.3949
2020-12-10,1034.0,999.86145
2020-12-11,1044.0,1048.6003
2020-12-12,1054.0,1058.258
2020-12-13,1064.0,1065.9248
2020-12-14,1119.0,1084.2303
2020-12-15,1156.0,1151.7377
2020-12-16,1191.0,1175.8334
2020-12-17,1210.0,1190.2546
2020-12-18,1228.0,1160.4995
2020-12-19,1252.0,1206.9867
2020-12-20,1272.0,1258.4403
2020-12-21,1288.0,1299.1802
2020-12-22,1305.0,1300.1538
2020-12-23,1316.0,1334.3983
2020-12-24,1347.0,1345.1061
2020-12-25,1427.0,1423.5813
2020-12-26,1488.0,1430.517
2020-12-27,1546.0,1424.5485
2020-12-28,1581.0,1417.1372
2020-12-29,1608.0,1452.5599
2020-12-30,1634.9999,1510.2416
2020-12-31,1653.0,1595.7878
2021-01-01,1667.9999,1619.0013
2021-01-02,1675.0,1737.7069
2021-01-03,1684.0,1782.6385
2021-01-04,1707.0,1819.8417
2021-01-05,1725.0,1816.897
2021-01-06,1749.0,1804.1244
2021-01-07,1768.9999,1802.2544
