,Actual_data,Predicted_data
2020-08-15,82.0,88.10053
2020-08-16,83.0,89.12472
2020-08-17,86.0,90.13146
2020-08-18,87.0,92.897
2020-08-19,89.0,93.61264
2020-08-20,90.0,94.06244
2020-08-21,93.0,95.30267
2020-08-22,95.00001,97.049446
2020-08-23,98.00001,101.01471
2020-08-24,108.00001,102.91715
2020-08-25,110.00001,111.6602
2020-08-26,110.00001,112.959885
2020-08-27,111.0,113.00988
2020-08-28,116.0,115.906296
2020-08-29,122.0,119.79434
2020-08-30,127.0,124.58047
2020-08-31,128.0,127.846115
2020-09-01,129.0,127.99631
2020-09-02,130.0,127.64291
2020-09-03,131.0,128.83983
2020-09-04,135.0,131.13231
2020-09-05,139.0,133.03401
2020-09-06,141.0,136.7236
2020-09-07,141.0,136.92775
2020-09-08,142.0,136.51
2020-09-09,143.0,139.0089
2020-09-10,146.0,140.50821
2020-09-11,147.0,146.6713
2020-09-12,147.0,146.98085
2020-09-13,147.0,147.18575
2020-09-14,147.0,148.16797
2020-09-15,149.0,151.69212
2020-09-16,151.0,154.18204
2020-09-17,151.0,156.62106
2020-09-18,154.0,156.99161
2020-09-19,155.0,159.50383
2020-09-20,156.0,161.01634
2020-09-21,158.0,160.42972
2020-09-22,160.0,163.38689
2020-09-23,162.0,164.61453
2020-09-24,164.0,164.62581
2020-09-25,167.0,164.73318
2020-09-26,167.0,167.82692
2020-09-27,169.0,167.67282
2020-09-28,170.0,168.37572
2020-09-29,171.0,170.10284
2020-09-30,171.0,168.68834
2020-10-01,172.0,168.91373
2020-10-02,172.0,169.59406
2020-10-03,173.0,169.56744
2020-10-04,175.0,169.97311
2020-10-05,176.0,171.25859
2020-10-06,176.0,172.47226
2020-10-07,176.0,172.52428
2020-10-08,177.0,173.68204
2020-10-09,178.0,174.43979
2020-10-10,178.0,174.7427
2020-10-11,178.0,173.85226
2020-10-12,178.0,174.26404
2020-10-13,179.0,176.49902
2020-10-14,179.0,177.11885
2020-10-15,180.0,177.81299
2020-10-16,180.0,178.64264
2020-10-17,180.0,179.73389
2020-10-18,180.0,180.3613
2020-10-19,181.0,180.38063
2020-10-20,183.0,181.73901
2020-10-21,184.0,182.77861
2020-10-22,184.0,184.17154
2020-10-23,184.0,183.37462
2020-10-24,184.0,185.51826
2020-10-25,184.0,185.6064
2020-10-26,186.0,185.53928
2020-10-27,187.0,187.32172
2020-10-28,187.0,187.90062
2020-10-29,187.0,189.19408
2020-10-30,189.0,189.7099
2020-10-31,189.0,192.99731
2020-11-01,190.00002,191.8994
2020-11-02,192.00002,193.70743
2020-11-03,193.0,195.22102
2020-11-04,193.0,196.55853
2020-11-05,195.0,196.00117
2020-11-06,195.0,198.9372
2020-11-07,195.0,199.19643
2020-11-08,197.0,198.46254
2020-11-09,201.0,200.75365
2020-11-10,203.0,204.43782
2020-11-11,205.0,206.00404
2020-11-12,206.00002,207.54582
2020-11-13,207.0,209.39896
2020-11-14,207.0,209.6346
2020-11-15,215.0,209.30286
2020-11-16,218.00002,217.46857
2020-11-17,218.00002,220.10612
2020-11-18,218.00002,219.1399
2020-11-19,222.0,220.15381
2020-11-20,224.0,225.92625
2020-11-21,225.0,227.43391
2020-11-22,225.0,229.7043
2020-11-23,225.0,231.2702
2020-11-24,228.0,229.99564
2020-11-25,231.0,233.80971
2020-11-26,239.0,239.23453
2020-11-27,259.0,250.71652
2020-11-28,283.0,273.59116
2020-11-29,305.0,302.3146
2020-11-30,327.00003,322.18405
2020-12-01,359.00003,346.80368
2020-12-02,375.00003,373.0359
2020-12-03,385.0,391.15973
2020-12-04,390.0,397.88516
2020-12-05,407.99997,404.77615
2020-12-06,422.0,419.6987
2020-12-07,433.0,433.6835
2020-12-08,443.0,448.41467
2020-12-09,466.0,458.7732
2020-12-10,478.0,483.93665
2020-12-11,498.0,497.8571
2020-12-12,519.0,521.17896
2020-12-13,534.0,535.68463
2020-12-14,555.0,551.45154
2020-12-15,580.0,577.38055
2020-12-16,603.0,603.7812
2020-12-17,622.0,629.52325
2020-12-18,653.0,666.053
2020-12-19,756.0,732.96545
2020-12-20,770.0,780.51746
2020-12-21,803.0,802.6601
2020-12-22,834.0,833.9844
2020-12-23,892.0,892.90955
2020-12-24,939.0,938.56464
2020-12-25,981.0,980.9015
2020-12-26,1019.0,1019.5271
2020-12-27,1043.0,1043.4038
2020-12-28,1074.0,1073.8583
2020-12-29,1096.0,1096.8397
2020-12-30,1141.0,1140.5077
2020-12-31,1163.0,1141.6873
2021-01-01,1185.0,1158.1663
2021-01-02,1221.0,1174.9016
2021-01-03,1248.0,1184.7693
2021-01-04,1271.0001,1230.4661
2021-01-05,1303.0001,1237.0873
2021-01-06,1324.0001,1314.5703
