,Actual_data,Predicted_data
2020-08-15,82.0,87.577774
2020-08-16,83.0,87.861244
2020-08-17,86.0,89.543594
2020-08-18,87.0,91.09847
2020-08-19,89.0,91.953735
2020-08-20,90.0,92.3835
2020-08-21,93.0,92.80008
2020-08-22,95.00001,95.350975
2020-08-23,98.00001,99.05532
2020-08-24,108.00001,100.99705
2020-08-25,110.00001,110.18218
2020-08-26,110.00001,109.89535
2020-08-27,111.0,111.10642
2020-08-28,116.0,113.42483
2020-08-29,122.0,118.61179
2020-08-30,127.0,123.647156
2020-08-31,128.0,127.64464
2020-09-01,129.0,126.69971
2020-09-02,130.0,127.87414
2020-09-03,131.0,130.5239
2020-09-04,135.0,132.74808
2020-09-05,139.0,136.36432
2020-09-06,141.0,137.67468
2020-09-07,141.0,138.65916
2020-09-08,142.0,139.01964
2020-09-09,143.0,138.81873
2020-09-10,146.0,140.63947
2020-09-11,147.0,146.0479
2020-09-12,147.0,146.35364
2020-09-13,147.0,145.42984
2020-09-14,147.0,147.4752
2020-09-15,149.0,149.97623
2020-09-16,151.0,152.28896
2020-09-17,151.0,154.614
2020-09-18,154.0,155.34802
2020-09-19,155.0,158.533
2020-09-20,156.0,159.09274
2020-09-21,158.0,159.02092
2020-09-22,160.0,163.45198
2020-09-23,162.0,164.05673
2020-09-24,164.0,165.65274
2020-09-25,167.0,165.75604
2020-09-26,167.0,168.79576
2020-09-27,169.0,170.50935
2020-09-28,170.0,170.91066
2020-09-29,171.0,171.05952
2020-09-30,171.0,170.24054
2020-10-01,172.0,171.33669
2020-10-02,172.0,172.79666
2020-10-03,173.0,172.86214
2020-10-04,175.0,173.32771
2020-10-05,176.0,173.55965
2020-10-06,176.0,173.61864
2020-10-07,176.0,175.75075
2020-10-08,177.0,177.28348
2020-10-09,178.0,177.94887
2020-10-10,178.0,177.83272
2020-10-11,178.0,175.80583
2020-10-12,178.0,176.16159
2020-10-13,179.0,178.28711
2020-10-14,179.0,180.11069
2020-10-15,180.0,179.97003
2020-10-16,180.0,180.28682
2020-10-17,180.0,180.5051
2020-10-18,180.0,181.47795
2020-10-19,181.0,181.7668
2020-10-20,183.0,182.38138
2020-10-21,184.0,183.55534
2020-10-22,184.0,185.21751
2020-10-23,184.0,184.89293
2020-10-24,184.0,184.84447
2020-10-25,184.0,185.57617
2020-10-26,186.0,185.60266
2020-10-27,187.0,187.61317
2020-10-28,187.0,187.44075
2020-10-29,187.0,188.69164
2020-10-30,189.0,188.13106
2020-10-31,189.0,190.8937
2020-11-01,190.00002,190.08849
2020-11-02,192.00002,192.27063
2020-11-03,193.0,193.5073
2020-11-04,193.0,194.58221
2020-11-05,195.0,193.54733
2020-11-06,195.0,196.56631
2020-11-07,195.0,197.23416
2020-11-08,197.0,197.01514
2020-11-09,201.0,199.46849
2020-11-10,203.0,201.94681
2020-11-11,205.0,204.04706
2020-11-12,206.00002,206.09415
2020-11-13,207.0,207.8061
2020-11-14,207.0,208.5889
2020-11-15,215.0,208.54543
2020-11-16,218.00002,217.40616
2020-11-17,218.00002,219.32796
2020-11-18,218.00002,219.31508
2020-11-19,222.0,220.66881
2020-11-20,224.0,225.61397
2020-11-21,225.0,226.6201
2020-11-22,225.0,229.44579
2020-11-23,225.0,230.85733
2020-11-24,228.0,229.4775
2020-11-25,231.0,232.98068
2020-11-26,239.0,237.27332
2020-11-27,259.0,249.514
2020-11-28,283.0,277.7872
2020-11-29,305.0,308.6514
2020-11-30,327.00003,328.43747
2020-12-01,359.00003,351.62466
2020-12-02,375.00003,373.7911
2020-12-03,385.0,387.84537
2020-12-04,390.0,395.99615
2020-12-05,407.99997,403.89417
2020-12-06,422.0,419.98157
2020-12-07,433.0,433.91
2020-12-08,443.0,448.10837
2020-12-09,466.0,459.22916
2020-12-10,478.0,483.22043
2020-12-11,498.0,495.38187
2020-12-12,519.0,519.54224
2020-12-13,534.0,536.09204
2020-12-14,555.0,548.5491
2020-12-15,580.0,579.5011
2020-12-16,603.0,607.0106
2020-12-17,622.0,631.5042
2020-12-18,653.0,665.9552
2020-12-19,756.0,732.9915
2020-12-20,770.0,774.8563
2020-12-21,803.0,802.29895
2020-12-22,834.0,834.05646
2020-12-23,892.0,892.83496
2020-12-24,939.0,938.5332
2020-12-25,981.0,980.977
2020-12-26,1019.0,1019.07324
2020-12-27,1043.0,1042.8529
2020-12-28,1074.0,1073.8174
2020-12-29,1096.0,1096.3414
2020-12-30,1141.0,1140.0753
2020-12-31,1163.0,1141.1067
2021-01-01,1185.0,1153.4246
2021-01-02,1221.0,1165.9249
2021-01-03,1248.0,1174.9279
2021-01-04,1271.0001,1199.305
2021-01-05,1303.0001,1207.0361
2021-01-06,1324.0001,1247.5491
