,Actual_data,Predicted_data
2020-08-15,82.0,87.66214
2020-08-16,83.0,87.58222
2020-08-17,86.0,90.40844
2020-08-18,87.0,97.29332
2020-08-19,89.0,96.60007
2020-08-20,90.0,100.22425
2020-08-21,93.0,96.4706
2020-08-22,95.00001,102.861984
2020-08-23,98.00001,103.48392
2020-08-24,108.00001,109.545395
2020-08-25,110.00001,127.97081
2020-08-26,110.00001,120.519516
2020-08-27,111.0,119.628174
2020-08-28,116.0,109.784546
2020-08-29,122.0,120.695984
2020-08-30,127.0,135.51843
2020-08-31,128.0,144.30002
2020-09-01,129.0,136.28603
2020-09-02,130.0,131.27705
2020-09-03,131.0,128.07362
2020-09-04,135.0,131.60265
2020-09-05,139.0,142.7196
2020-09-06,141.0,149.62842
2020-09-07,141.0,150.94221
2020-09-08,142.0,143.82893
2020-09-09,143.0,141.60222
2020-09-10,146.0,142.2583
2020-09-11,147.0,151.36026
2020-09-12,147.0,151.56168
2020-09-13,147.0,150.41057
2020-09-14,147.0,146.55501
2020-09-15,149.0,145.35323
2020-09-16,151.0,151.72931
2020-09-17,151.0,156.00912
2020-09-18,154.0,154.73225
2020-09-19,155.0,159.72807
2020-09-20,156.0,156.60742
2020-09-21,158.0,159.7121
2020-09-22,160.0,160.55217
2020-09-23,162.0,163.15613
2020-09-24,164.0,166.70274
2020-09-25,167.0,168.0723
2020-09-26,167.0,171.98077
2020-09-27,169.0,167.24112
2020-09-28,170.0,171.47389
2020-09-29,171.0,169.13768
2020-09-30,171.0,172.45483
2020-10-01,172.0,170.17192
2020-10-02,172.0,172.02693
2020-10-03,173.0,170.58911
2020-10-04,175.0,173.89578
2020-10-05,176.0,177.2177
2020-10-06,176.0,178.28564
2020-10-07,176.0,176.58871
2020-10-08,177.0,173.85506
2020-10-09,178.0,175.46875
2020-10-10,178.0,178.10422
2020-10-11,178.0,178.06883
2020-10-12,178.0,177.1269
2020-10-13,179.0,175.67896
2020-10-14,179.0,178.5482
2020-10-15,180.0,178.04366
2020-10-16,180.0,181.1057
2020-10-17,180.0,178.74301
2020-10-18,180.0,178.88687
2020-10-19,181.0,177.74318
2020-10-20,183.0,180.45229
2020-10-21,184.0,185.19275
2020-10-22,184.0,186.26375
2020-10-23,184.0,184.22833
2020-10-24,184.0,181.37582
2020-10-25,184.0,180.27185
2020-10-26,186.0,181.2184
2020-10-27,187.0,187.09993
2020-10-28,187.0,188.38548
2020-10-29,187.0,187.8391
2020-10-30,189.0,184.85501
2020-10-31,189.0,188.28528
2020-11-01,190.00002,187.24477
2020-11-02,192.00002,191.13524
2020-11-03,193.0,192.67616
2020-11-04,193.0,193.71072
2020-11-05,195.0,192.30026
2020-11-06,195.0,194.72415
2020-11-07,195.0,192.04456
2020-11-08,197.0,193.52177
2020-11-09,201.0,196.26358
2020-11-10,203.0,204.75201
2020-11-11,205.0,207.68393
2020-11-12,206.00002,209.0992
2020-11-13,207.0,204.13757
2020-11-14,207.0,204.03232
2020-11-15,215.0,202.14943
2020-11-16,218.00002,219.49413
2020-11-17,218.00002,222.71281
2020-11-18,218.00002,223.5304
2020-11-19,222.0,212.12292
2020-11-20,224.0,217.05092
2020-11-21,225.0,222.64502
2020-11-22,225.0,226.92772
2020-11-23,225.0,221.36328
2020-11-24,228.0,218.70645
2020-11-25,231.0,225.82643
2020-11-26,239.0,232.29199
2020-11-27,259.0,249.36089
2020-11-28,283.0,277.3472
2020-11-29,305.0,307.7427
2020-11-30,327.00003,332.8374
2020-12-01,359.00003,339.6065
2020-12-02,375.00003,360.07092
2020-12-03,385.0,378.22018
2020-12-04,390.0,386.57635
2020-12-05,407.99997,364.80807
2020-12-06,422.0,392.57452
2020-12-07,433.0,423.60547
2020-12-08,443.0,455.37347
2020-12-09,466.0,451.34448
2020-12-10,478.0,470.8603
2020-12-11,498.0,489.85168
2020-12-12,519.0,530.07666
2020-12-13,534.0,535.4838
2020-12-14,555.0,563.9782
2020-12-15,580.0,587.9871
2020-12-16,603.0,612.2283
2020-12-17,622.0,660.0146
2020-12-18,653.0,687.8294
2020-12-19,756.0,716.2803
2020-12-20,770.0,761.62933
2020-12-21,803.0,802.8098
2020-12-22,834.0,834.70337
2020-12-23,892.0,892.66766
2020-12-24,939.0,940.6537
2020-12-25,981.0,988.4181
2020-12-26,1019.0,1039.1301
2020-12-27,1043.0,1046.8278
2020-12-28,1074.0,1055.4342
2020-12-29,1096.0,1087.4879
2020-12-30,1141.0,1075.5487
2020-12-31,1163.0,1105.106
2021-01-01,1185.0,1123.0967
2021-01-02,1221.0,1144.9596
2021-01-03,1248.0,1135.7772
2021-01-04,1271.0001,1145.4587
2021-01-05,1303.0001,1157.3525
2021-01-06,1324.0001,1161.9735
