,Actual_data,Predicted_data
2021-03-04,1882.9999,1880.009
2021-03-05,1886.9999,1885.1368
2021-03-06,1894.0,1893.5518
2021-03-07,1904.0,1903.0388
2021-03-08,1914.0001,1914.5225
2021-03-09,1927.0,1926.8824
2021-03-10,1947.0,1945.1155
2021-03-11,1977.0,1969.333
2021-03-12,1988.9999,1996.499
2021-03-13,2007.0,2001.779
2021-03-14,2022.9999,2017.5376
2021-03-15,2033.0,2036.4417
2021-03-16,2045.9999,2046.8506
2021-03-17,2056.0,2054.61
2021-03-18,2079.0,2070.9473
2021-03-19,2110.0,2106.6167
2021-03-20,2127.0,2127.8933
2021-03-21,2141.0,2134.6667
2021-03-22,2162.0,2159.345
2021-03-23,2171.0,2171.6343
2021-03-24,2189.0,2180.1077
2021-03-25,2216.0,2204.884
2021-03-26,2240.0,2230.3062
2021-03-27,2276.0,2261.8132
2021-03-28,2295.0,2293.6462
2021-03-29,2301.0,2303.8179
2021-03-30,2314.0,2310.9346
2021-03-31,2330.0,2324.9802
2021-04-01,2350.0,2343.1577
2021-04-02,2360.0,2363.3354
2021-04-03,2377.0,2372.6118
2021-04-04,2383.0,2385.3909
2021-04-05,2397.0,2388.7944
2021-04-06,2412.0,2402.9802
2021-04-07,2428.0,2421.5183
2021-04-08,2435.0,2436.7112
2021-04-09,2438.0,2443.8142
2021-04-10,2444.0,2443.3025
2021-04-11,2449.0,2449.6284
2021-04-12,2455.0,2455.4717
2021-04-13,2468.0,2458.7107
2021-04-14,2474.0,2480.0645
2021-04-15,2492.0,2492.5183
2021-04-16,2499.0,2502.228
2021-04-17,2511.0,2504.8865
2021-04-18,2530.0,2520.9014
2021-04-19,2551.0,2548.4033
2021-04-20,2569.0,2565.0437
2021-04-21,2584.0,2579.264
2021-04-22,2608.0,2599.5112
2021-04-23,2623.0,2625.0332
2021-04-24,2632.0,2629.7612
2021-04-25,2642.0,2638.2524
2021-04-26,2654.0,2647.8362
2021-04-27,2656.0,2662.866
2021-04-28,2667.0,2665.7683
2021-04-29,2680.0,2674.228
2021-04-30,2684.0,2685.6638
2021-05-01,2688.0,2688.3157
2021-05-02,2692.0,2692.9695
2021-05-03,2702.0,2694.3464
2021-05-04,2724.0,2715.0251
2021-05-05,2772.0,2747.6416
2021-05-06,2783.9998,2789.9622
2021-05-07,2792.0,2785.5168
2021-05-08,2819.0,2806.9033
2021-05-09,2826.0,2828.581
2021-05-10,2831.0,2831.4487
2021-05-11,2843.0,2841.4075
2021-05-12,2860.0,2859.4075
2021-05-13,2877.0,2878.3228
2021-05-14,2902.0,2890.38
2021-05-15,2914.0,2912.7463
2021-05-16,2919.0,2921.8103
2021-05-17,2954.0,2943.678
2021-05-18,2979.0,2973.6765
2021-05-19,2995.0,2989.7112
2021-05-20,3003.0,3007.7688
2021-05-21,3010.0,3011.2969
2021-05-22,3039.0002,3020.6658
2021-05-23,3058.0,3055.4834
2021-05-24,3078.0,3075.2583
2021-05-25,3099.0002,3093.1633
2021-05-26,3123.9998,3117.99
2021-05-27,3131.0,3141.0007
2021-05-28,3147.0,3141.3406
2021-05-29,3157.0,3156.639
2021-05-30,3174.0,3170.523
2021-05-31,3185.0,3196.4114
2021-06-01,3198.0,3195.0273
2021-06-02,3212.0,3205.6123
2021-06-03,3229.0,3228.2397
2021-06-04,3247.0,3242.61
2021-06-05,3261.0,3258.2117
2021-06-06,3271.0,3266.4822
2021-06-07,3273.0002,3268.7314
2021-06-08,3278.0,3273.0596
2021-06-09,3308.0,3298.243
2021-06-10,3324.0,3317.8413
2021-06-11,3335.0,3336.6611
2021-06-12,3346.0,3347.8357
2021-06-13,3356.0,3353.4907
2021-06-14,3367.0,3363.5037
2021-06-15,3370.0,3370.8633
2021-06-16,3376.9998,3378.5874
2021-06-17,3384.0,3375.827
2021-06-18,3393.0002,3390.015
2021-06-19,3398.0002,3390.43
2021-06-20,3411.0,3411.1833
2021-06-21,3420.0002,3415.1948
2021-06-22,3430.0,3417.105
2021-06-23,3447.0002,3432.1924
2021-06-24,3452.0,3446.5364
2021-06-25,3465.0,3459.01
2021-06-26,3500.0,3489.8826
2021-06-27,3519.0,3520.227
2021-06-28,3536.0,3528.9707
2021-06-29,3544.0,3547.2598
2021-06-30,3559.0002,3555.9487
2021-07-01,3569.0,3568.943
2021-07-02,3583.0002,3581.8333
2021-07-03,3594.0002,3591.735
2021-07-04,3613.0002,3606.921
2021-07-05,3620.0,3616.8518
2021-07-06,3629.0,3630.4517
2021-07-07,3641.0,3638.648
2021-07-08,3657.0002,3650.7188
2021-07-09,3681.0002,3682.624
2021-07-10,3697.0,3695.0857
2021-07-11,3716.9998,3714.5376
2021-07-12,3735.0,3733.366
2021-07-13,3754.0,3752.5698
2021-07-14,3770.0,3767.6853
2021-07-15,3795.0,3791.8193
2021-07-16,3822.9998,3819.7673
2021-07-17,3868.0,3862.1907
2021-07-18,3920.0,3915.7375
2021-07-19,3947.0,3942.5168
2021-07-20,3988.9998,3942.384
2021-07-21,4043.0002,3966.895
2021-07-22,4090.0,3997.4272
2021-07-23,4152.0,4027.7756
2021-07-24,4198.0,4047.1794
2021-07-25,4223.0,4061.9883
2021-07-26,4252.0,4057.6663
