,Actual_data,Predicted_data
2021-03-04,24239.0,24157.514
2021-03-05,24412.0,24292.494
2021-03-06,24585.0,24533.518
2021-03-07,24757.0,24725.043
2021-03-08,24885.0,24902.023
2021-03-09,25073.0,25065.959
2021-03-10,25275.998,25341.053
2021-03-11,25459.998,25522.578
2021-03-12,25626.0,25687.41
2021-03-13,25790.0,25865.135
2021-03-14,25993.0,26045.508
2021-03-15,26154.0,26249.307
2021-03-16,26302.0,26360.078
2021-03-17,26488.0,26554.062
2021-03-18,26647.0,26706.652
2021-03-19,26804.0,26835.21
2021-03-20,26993.0,27060.35
2021-03-21,27150.0,27219.621
2021-03-22,27301.0,27345.838
2021-03-23,27425.0,27539.479
2021-03-24,27578.998,27680.275
2021-03-25,27726.0,27818.121
2021-03-26,27921.998,27926.531
2021-03-27,28067.0,28136.734
2021-03-28,28219.998,28228.127
2021-03-29,28351.0,28378.648
2021-03-30,28468.0,28453.748
2021-03-31,28579.0,28620.826
2021-04-01,28709.0,28745.86
2021-04-02,28869.0,28861.709
2021-04-03,29015.998,29011.709
2021-04-04,29166.0,29142.896
2021-04-05,29277.0,29258.77
2021-04-06,29384.0,29327.398
2021-04-07,29559.0,29414.455
2021-04-08,29789.0,29591.025
2021-04-09,29992.0,29822.76
2021-04-10,30194.0,30023.79
2021-04-11,30379.998,30245.99
2021-04-12,30556.0,30459.326
2021-04-13,30723.998,30650.475
2021-04-14,30962.0,30877.746
2021-04-15,31186.0,31176.914
2021-04-16,31406.998,31389.072
2021-04-17,31616.0,31623.215
2021-04-18,31800.0,31853.043
2021-04-19,31945.998,32017.836
2021-04-20,32135.0,32129.264
2021-04-21,32369.0,32399.541
2021-04-22,32591.0,32666.537
2021-04-23,32889.0,32924.336
2021-04-24,33133.0,33250.562
2021-04-25,33324.0,33414.305
2021-04-26,33474.0,33553.76
2021-04-27,33669.0,33738.08
2021-04-28,33863.0,34030.477
2021-04-29,34045.0,34233.523
2021-04-30,34196.0,34407.508
2021-05-01,34386.0,34585.547
2021-05-02,34531.0,34731.52
2021-05-03,34661.0,34818.41
2021-05-04,34785.0,34900.5
2021-05-05,34953.0,35011.195
2021-05-06,35095.0,35137.906
2021-05-07,35234.0,35272.0
2021-05-08,35428.0,35394.742
2021-05-09,35577.0,35621.53
2021-05-10,35714.0,35743.652
2021-05-11,35851.0,35854.35
2021-05-12,36038.0,36014.598
2021-05-13,36264.0,36258.562
2021-05-14,36437.0,36499.953
2021-05-15,36607.0,36598.543
2021-05-16,36768.0,36809.54
2021-05-17,36918.0,36960.5
2021-05-18,37055.0,37055.043
2021-05-19,37219.0,37201.66
2021-05-20,37406.0,37416.848
2021-05-21,37570.0,37600.11
2021-05-22,37735.0,37767.45
2021-05-23,37886.0,37934.234
2021-05-24,38008.0,38028.426
2021-05-25,38144.0,38180.57
2021-05-26,38333.0,38361.16
2021-05-27,38503.0,38630.266
2021-05-28,38651.996,38794.38
2021-05-29,38791.0,38897.188
2021-05-30,38951.0,38982.117
2021-05-31,39080.996,39127.527
2021-06-01,39196.996,39197.945
2021-06-02,39389.0,39343.88
2021-06-03,39600.0,39601.453
2021-06-04,39809.0,39833.086
2021-06-05,40019.996,40021.676
2021-06-06,40180.0,40208.223
2021-06-07,40330.996,40351.82
2021-06-08,40461.0,40487.895
2021-06-09,40621.996,40636.703
2021-06-10,40802.0,40825.645
2021-06-11,40975.0,41037.715
2021-06-12,41149.0,41151.367
2021-06-13,41297.996,41274.32
2021-06-14,41419.996,41450.22
2021-06-15,41540.0,41501.438
2021-06-16,41729.996,41598.035
2021-06-17,41913.0,41857.76
2021-06-18,42065.996,42028.688
2021-06-19,42210.996,42201.156
2021-06-20,42323.996,42336.844
2021-06-21,42414.996,42418.707
2021-06-22,42507.0,42515.758
2021-06-23,42697.996,42683.12
2021-06-24,42883.0,42993.31
2021-06-25,43065.996,43096.62
2021-06-26,43254.0,43276.375
2021-06-27,43427.0,43501.887
2021-06-28,43589.0,43626.25
2021-06-29,43819.0,43723.266
2021-06-30,44058.996,44027.117
2021-07-01,44308.0,44382.12
2021-07-02,44571.996,44650.23
2021-07-03,44824.0,44965.527
2021-07-04,45054.996,45192.637
2021-07-05,45275.0,45439.633
2021-07-06,45504.0,45678.55
2021-07-07,45871.0,46010.98
2021-07-08,46263.0,46370.81
2021-07-09,46668.0,46703.49
2021-07-10,47119.0,47144.406
2021-07-11,47526.0,47568.13
2021-07-12,47853.0,47912.348
2021-07-13,48171.0,48216.75
2021-07-14,48635.0,48671.15
2021-07-15,49130.996,49147.99
2021-07-16,49587.0,49613.99
2021-07-17,49979.996,50001.016
2021-07-18,50352.996,50378.188
2021-07-19,50692.996,50682.95
2021-07-20,51076.0,50635.438
2021-07-21,51540.996,50828.76
2021-07-22,51913.996,51211.047
2021-07-23,52329.0,51361.816
2021-07-24,52792.996,51619.85
2021-07-25,53112.996,51911.438
2021-07-26,53463.0,51810.13
