,Actual_data,Predicted_data
2021-03-04,24239.0,24449.236
2021-03-05,24412.0,24381.146
2021-03-06,24585.0,24438.633
2021-03-07,24757.0,24661.14
2021-03-08,24885.0,24878.418
2021-03-09,25073.0,25131.398
2021-03-10,25275.998,25140.717
2021-03-11,25459.998,25255.86
2021-03-12,25626.0,25452.121
2021-03-13,25790.0,25634.975
2021-03-14,25993.0,25826.629
2021-03-15,26154.0,26055.668
2021-03-16,26302.0,26248.082
2021-03-17,26488.0,26305.758
2021-03-18,26647.0,26527.742
2021-03-19,26804.0,26746.002
2021-03-20,26993.0,26854.889
2021-03-21,27150.0,27077.174
2021-03-22,27301.0,27280.896
2021-03-23,27425.0,27387.83
2021-03-24,27578.998,27637.31
2021-03-25,27726.0,27743.3
2021-03-26,27921.998,27950.764
2021-03-27,28067.0,28125.244
2021-03-28,28219.998,28259.357
2021-03-29,28351.0,28269.164
2021-03-30,28468.0,28573.465
2021-03-31,28579.0,28723.422
2021-04-01,28709.0,28881.938
2021-04-02,28869.0,29027.812
2021-04-03,29015.998,29191.703
2021-04-04,29166.0,29310.04
2021-04-05,29277.0,29449.871
2021-04-06,29384.0,29601.701
2021-04-07,29559.0,29653.023
2021-04-08,29789.0,29922.59
2021-04-09,29992.0,30036.525
2021-04-10,30194.0,30178.838
2021-04-11,30379.998,30398.365
2021-04-12,30556.0,30655.594
2021-04-13,30723.998,30866.727
2021-04-14,30962.0,31057.125
2021-04-15,31186.0,31311.148
2021-04-16,31406.998,31370.668
2021-04-17,31616.0,31552.89
2021-04-18,31800.0,31779.996
2021-04-19,31945.998,32006.062
2021-04-20,32135.0,32197.088
2021-04-21,32369.0,32361.807
2021-04-22,32591.0,32520.834
2021-04-23,32889.0,32655.352
2021-04-24,33133.0,32983.35
2021-04-25,33324.0,33215.37
2021-04-26,33474.0,33506.066
2021-04-27,33669.0,33734.57
2021-04-28,33863.0,33953.75
2021-04-29,34045.0,34105.098
2021-04-30,34196.0,34239.215
2021-05-01,34386.0,34395.32
2021-05-02,34531.0,34595.65
2021-05-03,34661.0,34693.938
2021-05-04,34785.0,34806.184
2021-05-05,34953.0,34995.375
2021-05-06,35095.0,35186.363
2021-05-07,35234.0,35274.758
2021-05-08,35428.0,35416.25
2021-05-09,35577.0,35663.84
2021-05-10,35714.0,35689.555
2021-05-11,35851.0,35862.48
2021-05-12,36038.0,36083.67
2021-05-13,36264.0,36308.613
2021-05-14,36437.0,36444.4
2021-05-15,36607.0,36469.2
2021-05-16,36768.0,36780.32
2021-05-17,36918.0,37027.883
2021-05-18,37055.0,37200.027
2021-05-19,37219.0,37328.387
2021-05-20,37406.0,37515.156
2021-05-21,37570.0,37648.53
2021-05-22,37735.0,37704.38
2021-05-23,37886.0,37929.582
2021-05-24,38008.0,38085.613
2021-05-25,38144.0,38155.016
2021-05-26,38333.0,38344.555
2021-05-27,38503.0,38547.816
2021-05-28,38651.996,38582.082
2021-05-29,38791.0,38733.883
2021-05-30,38951.0,38941.75
2021-05-31,39080.996,39181.504
2021-06-01,39196.996,39161.29
2021-06-02,39389.0,39259.453
2021-06-03,39600.0,39558.785
2021-06-04,39809.0,39697.395
2021-06-05,40019.996,39892.113
2021-06-06,40180.0,40177.695
2021-06-07,40330.996,40227.977
2021-06-08,40461.0,40578.52
2021-06-09,40621.996,40698.89
2021-06-10,40802.0,40933.547
2021-06-11,40975.0,41045.473
2021-06-12,41149.0,41125.363
2021-06-13,41297.996,41328.02
2021-06-14,41419.996,41408.285
2021-06-15,41540.0,41499.336
2021-06-16,41729.996,41671.18
2021-06-17,41913.0,41926.953
2021-06-18,42065.996,41990.516
2021-06-19,42210.996,42060.44
2021-06-20,42323.996,42334.492
2021-06-21,42414.996,42342.074
2021-06-22,42507.0,42362.074
2021-06-23,42697.996,42434.04
2021-06-24,42883.0,42687.03
2021-06-25,43065.996,42875.734
2021-06-26,43254.0,43130.48
2021-06-27,43427.0,43430.906
2021-06-28,43589.0,43602.652
2021-06-29,43819.0,43821.04
2021-06-30,44058.996,44126.188
2021-07-01,44308.0,44245.113
2021-07-02,44571.996,44476.19
2021-07-03,44824.0,44757.58
2021-07-04,45054.996,45023.855
2021-07-05,45275.0,45360.85
2021-07-06,45504.0,45737.1
2021-07-07,45871.0,46049.855
2021-07-08,46263.0,46334.84
2021-07-09,46668.0,46866.51
2021-07-10,47119.0,47151.902
2021-07-11,47526.0,47502.39
2021-07-12,47853.0,47834.24
2021-07-13,48171.0,48156.8
2021-07-14,48635.0,48709.49
2021-07-15,49130.996,49007.695
2021-07-16,49587.0,49387.453
2021-07-17,49979.996,49474.07
2021-07-18,50352.996,49642.203
2021-07-19,50692.996,49924.324
2021-07-20,51076.0,50162.348
2021-07-21,51540.996,50651.66
2021-07-22,51913.996,51216.62
2021-07-23,52329.0,51721.207
2021-07-24,52792.996,52248.867
2021-07-25,53112.996,52714.23
2021-07-26,53463.0,53079.074
