,Actual_data,Predicted_data
2021-03-04,2208.0,2198.5396
2021-03-05,2211.0,2210.0564
2021-03-06,2216.0,2215.357
2021-03-07,2219.0,2220.3389
2021-03-08,2220.0,2226.317
2021-03-09,2221.0,2235.0486
2021-03-10,2228.0,2230.1035
2021-03-11,2236.0,2249.0623
2021-03-12,2292.0,2276.4568
2021-03-13,2354.0,2333.884
2021-03-14,2407.0,2392.8577
2021-03-15,2438.0,2446.7144
2021-03-16,2503.0,2482.8242
2021-03-17,2548.0,2551.5159
2021-03-18,2583.0,2588.2
2021-03-19,2625.0,2621.4116
2021-03-20,2656.0,2664.9514
2021-03-21,2710.0002,2701.7205
2021-03-22,2747.0,2739.8567
2021-03-23,2776.0,2782.2964
2021-03-24,2802.9998,2804.3982
2021-03-25,2833.0,2837.6494
2021-03-26,2869.9998,2866.1807
2021-03-27,2889.0,2898.2412
2021-03-28,2902.0,2905.7854
2021-03-29,2922.0,2923.6833
2021-03-30,2938.0,2939.1228
2021-03-31,2960.0002,2961.4734
2021-04-01,2980.9998,2978.6472
2021-04-02,2998.9998,3012.5923
2021-04-03,3027.0,3023.3462
2021-04-04,3041.0,3054.3315
2021-04-05,3052.9998,3061.3425
2021-04-06,3060.0,3069.538
2021-04-07,3085.0,3074.2664
2021-04-08,3096.0,3100.6013
2021-04-09,3111.0,3105.3594
2021-04-10,3157.0,3141.8962
2021-04-11,3173.0,3167.7986
2021-04-12,3190.0,3188.7585
2021-04-13,3204.9998,3200.178
2021-04-14,3232.0,3224.067
2021-04-15,3256.0,3258.958
2021-04-16,3300.0,3289.1536
2021-04-17,3338.0,3336.5454
2021-04-18,3405.0,3397.074
2021-04-19,3440.0,3441.7483
2021-04-20,3469.0,3465.5854
2021-04-21,3510.0,3509.7898
2021-04-22,3568.0,3568.5896
2021-04-23,3631.0,3624.9282
2021-04-24,3683.0,3671.9985
2021-04-25,3728.0,3719.9373
2021-04-26,3756.9998,3757.0005
2021-04-27,3784.9998,3785.5183
2021-04-28,3840.0,3826.9268
2021-04-29,3877.9998,3872.398
2021-04-30,3915.0,3914.9897
2021-05-01,3957.9998,3957.7434
2021-05-02,4019.0,4007.5483
2021-05-03,4063.0,4056.8757
2021-05-04,4099.0,4097.344
2021-05-05,4126.0,4130.4595
2021-05-06,4143.0,4147.385
2021-05-07,4175.0,4160.8794
2021-05-08,4212.0,4205.068
2021-05-09,4242.0,4226.546
2021-05-10,4258.0,4255.3184
2021-05-11,4268.0,4259.464
2021-05-12,4284.0,4270.6387
2021-05-13,4316.0,4302.299
2021-05-14,4348.0,4328.7593
2021-05-15,4388.0,4368.244
2021-05-16,4433.0,4423.511
2021-05-17,4463.0,4466.1724
2021-05-18,4479.0,4477.327
2021-05-19,4495.0,4499.609
2021-05-20,4507.0,4521.382
2021-05-21,4525.0,4535.9907
2021-05-22,4546.0,4547.3745
2021-05-23,4563.0,4574.402
2021-05-24,4580.0,4592.779
2021-05-25,4594.0,4596.601
2021-05-26,4614.0,4607.244
2021-05-27,4632.0,4642.7266
2021-05-28,4652.9995,4652.9204
2021-05-29,4673.0,4682.636
2021-05-30,4683.0,4691.139
2021-05-31,4699.0,4695.466
2021-06-01,4706.9995,4701.9995
2021-06-02,4728.0,4713.1475
2021-06-03,4751.0,4735.628
2021-06-04,4795.0,4779.721
2021-06-05,4815.0,4810.5435
2021-06-06,4832.0,4828.3823
2021-06-07,4860.0,4855.5493
2021-06-08,4907.9995,4906.623
2021-06-09,4947.0,4944.4355
2021-06-10,4980.0,4983.875
2021-06-11,5000.0,5011.171
2021-06-12,5025.0,5024.156
2021-06-13,5033.0,5056.495
2021-06-14,5046.0,5048.8564
2021-06-15,5049.0,5056.3447
2021-06-16,5056.0,5062.5933
2021-06-17,5061.0,5062.5166
2021-06-18,5075.0,5078.286
2021-06-19,5085.9995,5080.2407
2021-06-20,5097.0,5091.539
2021-06-21,5110.0,5107.033
2021-06-22,5121.0,5120.813
2021-06-23,5139.0,5130.039
2021-06-24,5162.0,5157.46
2021-06-25,5179.0,5180.4233
2021-06-26,5191.0,5198.039
2021-06-27,5205.0,5199.2456
2021-06-28,5215.0,5223.4985
2021-06-29,5230.0,5229.856
2021-06-30,5247.0,5243.756
2021-07-01,5257.0,5252.899
2021-07-02,5270.0,5263.1143
2021-07-03,5280.0,5281.201
2021-07-04,5295.0,5287.8735
2021-07-05,5317.0,5303.252
2021-07-06,5336.0,5326.9805
2021-07-07,5351.0,5347.2134
2021-07-08,5361.0,5348.3325
2021-07-09,5378.0,5361.2295
2021-07-10,5414.0,5409.939
2021-07-11,5481.0,5472.4214
2021-07-12,5521.0,5523.2695
2021-07-13,5572.0,5567.0093
2021-07-14,5661.0,5655.7954
2021-07-15,5749.0,5747.1187
2021-07-16,5829.0,5826.1772
2021-07-17,5918.0,5915.0684
2021-07-18,6017.0,6010.9126
2021-07-19,6091.0005,6087.72
2021-07-20,6148.0,6121.479
2021-07-21,6237.0,6184.4463
2021-07-22,6328.0005,6258.9976
2021-07-23,6420.9995,6320.8994
2021-07-24,6532.0,6406.276
2021-07-25,6651.0,6504.3423
2021-07-26,6729.0,6581.6987
