,Actual_data,Predicted_data
2021-08-12,3619.0,3618.2866
2021-08-13,3633.9998,3636.7427
2021-08-14,3651.0,3651.2437
2021-08-15,3680.0,3674.701
2021-08-16,3709.0,3705.5396
2021-08-17,3727.0,3724.5425
2021-08-18,3758.0,3754.4092
2021-08-19,3780.0,3783.858
2021-08-20,3801.9998,3797.02
2021-08-21,3829.0,3825.157
2021-08-22,3850.9998,3848.9468
2021-08-23,3884.0,3876.0393
2021-08-24,3896.0,3897.9531
2021-08-25,3919.0,3919.2551
2021-08-26,3948.0,3939.0112
2021-08-27,3962.0,3965.9844
2021-08-28,3982.0,3973.9407
2021-08-29,4004.0,4007.6802
2021-08-30,4034.0,4026.5796
2021-08-31,4053.0,4054.874
2021-09-01,4090.0,4084.5442
2021-09-02,4132.0,4131.5107
2021-09-03,4175.0,4175.8867
2021-09-04,4201.0,4200.15
2021-09-05,4240.0,4235.4946
2021-09-06,4268.0,4267.371
2021-09-07,4302.0,4300.232
2021-09-08,4345.0,4337.9595
2021-09-09,4367.0,4370.7534
2021-09-10,4392.0,4400.994
2021-09-11,4413.0,4412.733
2021-09-12,4440.0,4438.7305
2021-09-13,4454.0,4455.1294
2021-09-14,4489.0,4481.5957
2021-09-15,4527.0,4520.434
2021-09-16,4540.0,4549.7
2021-09-17,4561.0,4560.0913
2021-09-18,4588.0,4586.792
2021-09-19,4610.0,4602.683
2021-09-20,4645.0,4638.0073
2021-09-21,4685.0,4677.282
2021-09-22,4725.0,4722.0986
2021-09-23,4761.0,4761.753
2021-09-24,4803.0,4805.5747
2021-09-25,4833.0,4841.603
2021-09-26,4873.0,4868.7866
2021-09-27,4901.0,4899.2163
2021-09-28,4929.0,4925.4683
2021-09-29,4957.0,4966.051
2021-09-30,4989.0,5013.839
2021-10-01,5017.0,5022.5635
2021-10-02,5042.0,5046.7646
2021-10-03,5064.0,5080.7656
2021-10-04,5077.0,5074.861
2021-10-05,5092.0,5094.346
2021-10-06,5108.0,5116.4966
2021-10-07,5121.0,5109.584
2021-10-08,5146.0,5131.614
2021-10-09,5164.0,5159.4136
2021-10-10,5187.0,5170.6255
2021-10-11,5201.0,5197.817
2021-10-12,5208.0,5202.1187
2021-10-13,5222.0,5208.636
2021-10-14,5232.0,5212.9004
2021-10-15,5238.0,5233.1245
2021-10-16,5244.0,5229.7285
2021-10-17,5253.0,5250.0503
2021-10-18,5257.0,5257.08
2021-10-19,5260.0,5258.1
2021-10-20,5272.0,5257.4688
2021-10-21,5287.0,5285.6343
2021-10-22,5290.0,5281.3228
2021-10-23,5299.0,5299.8296
2021-10-24,5303.0,5304.567
2021-10-25,5306.0,5307.9497
2021-10-26,5311.0,5308.3945
2021-10-27,5320.0,5328.1606
2021-10-28,5327.0,5338.446
2021-10-29,5332.0,5342.6504
2021-10-30,5348.0,5353.2236
2021-10-31,5371.0,5368.619
2021-11-01,5376.0,5392.601
2021-11-02,5393.0,5391.545
2021-11-03,5405.0,5407.0234
2021-11-04,5419.0,5419.6875
2021-11-05,5431.0,5429.677
2021-11-06,5449.0,5441.333
2021-11-07,5469.0,5466.588
2021-11-08,5497.0,5487.17
2021-11-09,5508.0,5508.082
2021-11-10,5529.9995,5521.3643
2021-11-11,5562.0,5551.8438
2021-11-12,5573.0005,5588.8003
2021-11-13,5604.0,5610.2944
2021-11-14,5623.0,5638.5894
2021-11-15,5648.9995,5643.6724
2021-11-16,5660.0,5663.3076
2021-11-17,5694.0,5685.0347
2021-11-18,5728.0,5714.113
2021-11-19,5752.0,5755.744
2021-11-20,5791.0,5786.0957
2021-11-21,5861.0,5836.961
2021-11-22,5918.0,5902.638
2021-11-23,5973.0,5962.825
2021-11-24,6019.0,6015.0513
2021-11-25,6054.0,6075.0815
2021-11-26,6085.0,6095.1426
2021-11-27,6120.0,6116.747
2021-11-28,6172.0,6167.5356
2021-11-29,6233.0,6214.9604
2021-11-30,6285.0,6274.477
2021-12-01,6314.0,6323.778
2021-12-02,6353.0,6344.5796
2021-12-03,6398.0,6383.04
2021-12-04,6437.0,6435.42
2021-12-05,6477.0005,6477.6377
2021-12-06,6520.0,6515.1665
2021-12-07,6566.9995,6563.89
2021-12-08,6623.9995,6614.7876
2021-12-09,6660.0,6662.0884
2021-12-10,6695.0,6704.919
2021-12-11,6720.0,6740.376
2021-12-12,6790.9995,6802.2915
2021-12-13,6828.0,6841.361
2021-12-14,6899.0,6895.292
2021-12-15,6958.0,6958.202
2021-12-16,7001.9995,6994.875
2021-12-17,7043.9995,7042.617
2021-12-18,7101.0,7096.057
2021-12-19,7130.0,7127.273
2021-12-20,7182.0,7178.209
2021-12-21,7258.0,7254.423
2021-12-22,7364.0,7360.867
2021-12-23,7430.0,7426.893
2021-12-24,7484.0,7481.6064
2021-12-25,7561.9995,7557.894
2021-12-26,7629.0,7625.056
2021-12-27,7689.0005,7685.407
2021-12-28,7759.0005,7663.076
2021-12-29,7839.0,7750.3735
2021-12-30,7941.0005,7794.2305
2021-12-31,8026.0,7932.1826
2022-01-01,8118.0,8005.898
2022-01-02,8211.0,8111.8105
2022-01-03,8286.0,8146.111
