,Actual_data,Predicted_data
2021-08-12,3619.0,3634.7021
2021-08-13,3633.9998,3647.2559
2021-08-14,3651.0,3667.7693
2021-08-15,3680.0,3683.1335
2021-08-16,3709.0,3718.3271
2021-08-17,3727.0,3718.8523
2021-08-18,3758.0,3740.5864
2021-08-19,3780.0,3796.633
2021-08-20,3801.9998,3783.8208
2021-08-21,3829.0,3822.1172
2021-08-22,3850.9998,3849.0442
2021-08-23,3884.0,3860.738
2021-08-24,3896.0,3916.9753
2021-08-25,3919.0,3910.6868
2021-08-26,3948.0,3931.2017
2021-08-27,3962.0,3962.8928
2021-08-28,3982.0,3992.4138
2021-08-29,4004.0,4015.208
2021-08-30,4034.0,4034.0388
2021-08-31,4053.0,4069.1973
2021-09-01,4090.0,4077.4036
2021-09-02,4132.0,4154.484
2021-09-03,4175.0,4170.718
2021-09-04,4201.0,4222.6523
2021-09-05,4240.0,4229.008
2021-09-06,4268.0,4297.408
2021-09-07,4302.0,4280.375
2021-09-08,4345.0,4335.406
2021-09-09,4367.0,4389.4043
2021-09-10,4392.0,4385.333
2021-09-11,4413.0,4421.1763
2021-09-12,4440.0,4439.6216
2021-09-13,4454.0,4461.005
2021-09-14,4489.0,4486.149
2021-09-15,4527.0,4526.8643
2021-09-16,4540.0,4536.7314
2021-09-17,4561.0,4566.7744
2021-09-18,4588.0,4582.765
2021-09-19,4610.0,4612.309
2021-09-20,4645.0,4653.7886
2021-09-21,4685.0,4702.3345
2021-09-22,4725.0,4732.0415
2021-09-23,4761.0,4774.379
2021-09-24,4803.0,4808.1323
2021-09-25,4833.0,4857.9062
2021-09-26,4873.0,4856.51
2021-09-27,4901.0,4912.547
2021-09-28,4929.0,4908.9946
2021-09-29,4957.0,4947.054
2021-09-30,4989.0,4963.278
2021-10-01,5017.0,4991.346
2021-10-02,5042.0,5017.0825
2021-10-03,5064.0,5048.6797
2021-10-04,5077.0,5069.024
2021-10-05,5092.0,5088.663
2021-10-06,5108.0,5094.8096
2021-10-07,5121.0,5103.7847
2021-10-08,5146.0,5123.819
2021-10-09,5164.0,5137.758
2021-10-10,5187.0,5156.376
2021-10-11,5201.0,5187.34
2021-10-12,5208.0,5206.541
2021-10-13,5222.0,5230.002
2021-10-14,5232.0,5224.687
2021-10-15,5238.0,5241.945
2021-10-16,5244.0,5261.3066
2021-10-17,5253.0,5268.484
2021-10-18,5257.0,5270.8687
2021-10-19,5260.0,5284.566
2021-10-20,5272.0,5292.5615
2021-10-21,5287.0,5284.753
2021-10-22,5290.0,5293.6484
2021-10-23,5299.0,5310.6533
2021-10-24,5303.0,5316.6133
2021-10-25,5306.0,5329.3125
2021-10-26,5311.0,5339.069
2021-10-27,5320.0,5340.1797
2021-10-28,5327.0,5341.4346
2021-10-29,5332.0,5352.7183
2021-10-30,5348.0,5362.9907
2021-10-31,5371.0,5360.831
2021-11-01,5376.0,5370.307
2021-11-02,5393.0,5379.8213
2021-11-03,5405.0,5395.3774
2021-11-04,5419.0,5415.095
2021-11-05,5431.0,5437.0137
2021-11-06,5449.0,5454.829
2021-11-07,5469.0,5468.047
2021-11-08,5497.0,5484.861
2021-11-09,5508.0,5512.5933
2021-11-10,5529.9995,5520.565
2021-11-11,5562.0,5546.108
2021-11-12,5573.0005,5561.2495
2021-11-13,5604.0,5575.9355
2021-11-14,5623.0,5617.8457
2021-11-15,5648.9995,5640.5127
2021-11-16,5660.0,5680.753
2021-11-17,5694.0,5705.27
2021-11-18,5728.0,5740.0483
2021-11-19,5752.0,5762.973
2021-11-20,5791.0,5814.956
2021-11-21,5861.0,5864.41
2021-11-22,5918.0,5955.3184
2021-11-23,5973.0,5953.6304
2021-11-24,6019.0,6040.025
2021-11-25,6054.0,6061.0757
2021-11-26,6085.0,6091.7876
2021-11-27,6120.0,6118.7715
2021-11-28,6172.0,6148.8096
2021-11-29,6233.0,6211.598
2021-11-30,6285.0,6256.6514
2021-12-01,6314.0,6307.3364
2021-12-02,6353.0,6345.71
2021-12-03,6398.0,6389.439
2021-12-04,6437.0,6418.6006
2021-12-05,6477.0005,6470.499
2021-12-06,6520.0,6529.0996
2021-12-07,6566.9995,6571.739
2021-12-08,6623.9995,6617.9194
2021-12-09,6660.0,6669.6265
2021-12-10,6695.0,6689.8447
2021-12-11,6720.0,6756.9985
2021-12-12,6790.9995,6755.6616
2021-12-13,6828.0,6868.8794
2021-12-14,6899.0,6899.9917
2021-12-15,6958.0,6932.097
2021-12-16,7001.9995,7027.0234
2021-12-17,7043.9995,7064.7715
2021-12-18,7101.0,7088.2695
2021-12-19,7130.0,7135.967
2021-12-20,7182.0,7193.166
2021-12-21,7258.0,7265.7983
2021-12-22,7364.0,7278.8647
2021-12-23,7430.0,7153.14
2021-12-24,7484.0,7353.871
2021-12-25,7561.9995,7475.1934
2021-12-26,7629.0,7440.276
2021-12-27,7689.0005,7585.7397
2021-12-28,7759.0005,7634.263
2021-12-29,7839.0,7620.5073
2021-12-30,7941.0005,7645.704
2021-12-31,8026.0,7721.9307
2022-01-01,8118.0,7792.726
2022-01-02,8211.0,7871.504
2022-01-03,8286.0,7928.3447
