,Actual_data,Predicted_data
2021-08-12,12437.0,12382.647
2021-08-13,12494.0,12491.817
2021-08-14,12576.0,12485.005
2021-08-15,12633.0,12512.355
2021-08-16,12678.0,12641.275
2021-08-17,12724.0,12722.847
2021-08-18,12785.0,12773.489
2021-08-19,12837.0,12801.985
2021-08-20,12876.0,12866.783
2021-08-21,12910.0,12955.001
2021-08-22,12961.0,13017.19
2021-08-23,13018.001,13043.065
2021-08-24,13091.001,13057.007
2021-08-25,13191.999,13096.539
2021-08-26,13287.0,13161.928
2021-08-27,13377.0,13260.645
2021-08-28,13453.0,13351.687
2021-08-29,13510.0,13441.81
2021-08-30,13595.001,13517.616
2021-08-31,13646.0,13556.719
2021-09-01,13701.0,13675.98
2021-09-02,13766.999,13723.467
2021-09-03,13819.0,13768.898
2021-09-04,13861.001,13854.07
2021-09-05,13881.0,13929.248
2021-09-06,13924.0,14010.316
2021-09-07,13962.001,14048.694
2021-09-08,14023.0,14054.404
2021-09-09,14073.0,14105.18
2021-09-10,14117.0,14131.61
2021-09-11,14161.999,14202.128
2021-09-12,14223.999,14248.557
2021-09-13,14255.0,14276.43
2021-09-14,14281.999,14335.378
2021-09-15,14309.0,14403.84
2021-09-16,14356.0,14455.953
2021-09-17,14394.0,14483.816
2021-09-18,14465.0,14496.302
2021-09-19,14512.0,14553.484
2021-09-20,14547.0,14563.787
2021-09-21,14592.999,14647.431
2021-09-22,14634.0,14691.74
2021-09-23,14687.001,14725.221
2021-09-24,14815.0,14770.028
2021-09-25,14933.0,15101.428
2021-09-26,15076.0,15027.169
2021-09-27,15191.001,15120.033
2021-09-28,15317.0,15368.087
2021-09-29,15426.0,15363.5
2021-09-30,15499.0,15544.461
2021-10-01,15583.999,15648.235
2021-10-02,15664.0,15660.562
2021-10-03,15722.0,15732.665
2021-10-04,15789.999,15821.881
2021-10-05,15840.0,15878.688
2021-10-06,15904.0,15923.564
2021-10-07,15950.0,15993.964
2021-10-08,15995.0,16024.984
2021-10-09,16045.001,16091.164
2021-10-10,16093.0,16131.977
2021-10-11,16138.0,16171.529
2021-10-12,16188.0,16217.965
2021-10-13,16254.0,16264.792
2021-10-14,16300.001,16310.175
2021-10-15,16338.0,16342.062
2021-10-16,16385.0,16404.508
2021-10-17,16425.0,16455.703
2021-10-18,16470.0,16482.594
2021-10-19,16505.0,16539.355
2021-10-20,16541.0,16557.861
2021-10-21,16567.0,16604.7
2021-10-22,16588.0,16612.328
2021-10-23,16609.0,16636.482
2021-10-24,16640.0,16658.637
2021-10-25,16672.0,16693.557
2021-10-26,16733.0,16709.902
2021-10-27,16772.0,16772.633
2021-10-28,16878.0,16747.178
2021-10-29,16995.0,17001.215
2021-10-30,17085.0,16960.51
2021-10-31,17142.0,17161.523
2021-11-01,17199.0,17212.814
2021-11-02,17241.0,17280.637
2021-11-03,17307.0,17299.102
2021-11-04,17373.0,17384.766
2021-11-05,17416.0,17429.188
2021-11-06,17454.0,17450.521
2021-11-07,17509.0,17498.707
2021-11-08,17543.0,17555.24
2021-11-09,17587.0,17521.996
2021-11-10,17620.002,17610.137
2021-11-11,17662.0,17601.021
2021-11-12,17732.0,17666.252
2021-11-13,17805.0,17732.89
2021-11-14,17877.0,17805.914
2021-11-15,17926.0,17903.617
2021-11-16,17964.0,17913.766
2021-11-17,18020.0,17948.4
2021-11-18,18093.0,18023.56
2021-11-19,18140.0,18097.697
2021-11-20,18201.0,18099.346
2021-11-21,18245.0,18216.773
2021-11-22,18298.0,18213.191
2021-11-23,18348.0,18302.197
2021-11-24,18426.0,18337.127
2021-11-25,18507.0,18436.916
2021-11-26,18610.0,18529.18
2021-11-27,18686.0,18646.518
2021-11-28,18792.0,18716.469
2021-11-29,18880.0,18856.26
2021-11-30,18958.0,18976.354
2021-12-01,19044.0,19079.186
2021-12-02,19114.0,19166.916
2021-12-03,19213.0,19207.61
2021-12-04,19303.0,19339.14
2021-12-05,19420.0,19440.607
2021-12-06,19566.0,19570.977
2021-12-07,19695.0,19703.506
2021-12-08,19822.0,19880.63
2021-12-09,19954.002,19976.547
2021-12-10,20117.0,20098.314
2021-12-11,20260.0,20268.861
2021-12-12,20397.0,20469.93
2021-12-13,20541.0,20583.719
2021-12-14,20671.0,20720.201
2021-12-15,20849.0,20859.982
2021-12-16,21007.0,21094.83
2021-12-17,21167.0,21286.904
2021-12-18,21381.0,21368.81
2021-12-19,21534.0,21528.1
2021-12-20,21645.0,21646.617
2021-12-21,21782.0,21741.395
2021-12-22,21915.0,22047.04
2021-12-23,22083.0,22180.861
2021-12-24,22234.0,22349.688
2021-12-25,22337.0,22453.477
2021-12-26,22457.0,22213.377
2021-12-27,22588.0,22549.564
2021-12-28,22736.0,22713.164
2021-12-29,22875.0,22881.516
2021-12-30,22992.0,22808.088
2021-12-31,23124.0,22910.742
2022-01-01,23249.0,22996.248
2022-01-02,23335.0,23069.191
2022-01-03,23433.0,23140.037
