,Actual_data,Predicted_data
2021-08-12,12437.0,12412.847
2021-08-13,12494.0,12514.409
2021-08-14,12576.0,12548.829
2021-08-15,12633.0,12635.942
2021-08-16,12678.0,12610.185
2021-08-17,12724.0,12746.007
2021-08-18,12785.0,12830.135
2021-08-19,12837.0,12842.006
2021-08-20,12876.0,12880.969
2021-08-21,12910.0,12943.005
2021-08-22,12961.0,13009.572
2021-08-23,13018.001,12984.976
2021-08-24,13091.001,13031.089
2021-08-25,13191.999,13075.74
2021-08-26,13287.0,13230.242
2021-08-27,13377.0,13234.976
2021-08-28,13453.0,13320.075
2021-08-29,13510.0,13430.047
2021-08-30,13595.001,13566.344
2021-08-31,13646.0,13727.197
2021-09-01,13701.0,13663.176
2021-09-02,13766.999,13778.758
2021-09-03,13819.0,13845.914
2021-09-04,13861.001,13852.822
2021-09-05,13881.0,13953.837
2021-09-06,13924.0,13976.646
2021-09-07,13962.001,13931.509
2021-09-08,14023.0,14036.846
2021-09-09,14073.0,14020.589
2021-09-10,14117.0,14128.777
2021-09-11,14161.999,14199.799
2021-09-12,14223.999,14297.58
2021-09-13,14255.0,14283.9795
2021-09-14,14281.999,14235.929
2021-09-15,14309.0,14350.571
2021-09-16,14356.0,14433.301
2021-09-17,14394.0,14400.423
2021-09-18,14465.0,14497.411
2021-09-19,14512.0,14458.657
2021-09-20,14547.0,14530.456
2021-09-21,14592.999,14633.674
2021-09-22,14634.0,14729.451
2021-09-23,14687.001,14755.316
2021-09-24,14815.0,14778.103
2021-09-25,14933.0,14871.0205
2021-09-26,15076.0,15033.346
2021-09-27,15191.001,15195.196
2021-09-28,15317.0,15203.79
2021-09-29,15426.0,15449.581
2021-09-30,15499.0,15478.975
2021-10-01,15583.999,15463.426
2021-10-02,15664.0,15744.269
2021-10-03,15722.0,15795.203
2021-10-04,15789.999,15748.97
2021-10-05,15840.0,15873.14
2021-10-06,15904.0,15877.207
2021-10-07,15950.0,15961.393
2021-10-08,15995.0,15979.207
2021-10-09,16045.001,16051.845
2021-10-10,16093.0,16142.928
2021-10-11,16138.0,16164.264
2021-10-12,16188.0,16218.263
2021-10-13,16254.0,16256.125
2021-10-14,16300.001,16289.961
2021-10-15,16338.0,16268.224
2021-10-16,16385.0,16358.42
2021-10-17,16425.0,16447.508
2021-10-18,16470.0,16493.232
2021-10-19,16505.0,16537.62
2021-10-20,16541.0,16562.105
2021-10-21,16567.0,16592.146
2021-10-22,16588.0,16613.56
2021-10-23,16609.0,16594.79
2021-10-24,16640.0,16628.26
2021-10-25,16672.0,16671.814
2021-10-26,16733.0,16774.729
2021-10-27,16772.0,16745.139
2021-10-28,16878.0,16790.537
2021-10-29,16995.0,16730.453
2021-10-30,17085.0,17163.21
2021-10-31,17142.0,17072.336
2021-11-01,17199.0,17070.654
2021-11-02,17241.0,17286.117
2021-11-03,17307.0,17315.64
2021-11-04,17373.0,17337.041
2021-11-05,17416.0,17446.621
2021-11-06,17454.0,17360.098
2021-11-07,17509.0,17421.863
2021-11-08,17543.0,17492.203
2021-11-09,17587.0,17488.623
2021-11-10,17620.002,17525.521
2021-11-11,17662.0,17594.488
2021-11-12,17732.0,17621.736
2021-11-13,17805.0,17729.55
2021-11-14,17877.0,17880.166
2021-11-15,17926.0,17939.008
2021-11-16,17964.0,17856.014
2021-11-17,18020.0,17876.555
2021-11-18,18093.0,17952.207
2021-11-19,18140.0,18131.41
2021-11-20,18201.0,18070.504
2021-11-21,18245.0,18157.48
2021-11-22,18298.0,18198.113
2021-11-23,18348.0,18259.783
2021-11-24,18426.0,18363.45
2021-11-25,18507.0,18421.758
2021-11-26,18610.0,18629.154
2021-11-27,18686.0,18727.62
2021-11-28,18792.0,18692.111
2021-11-29,18880.0,18911.346
2021-11-30,18958.0,18994.982
2021-12-01,19044.0,19119.814
2021-12-02,19114.0,19180.32
2021-12-03,19213.0,19212.416
2021-12-04,19303.0,19336.363
2021-12-05,19420.0,19495.477
2021-12-06,19566.0,19661.39
2021-12-07,19695.0,19877.303
2021-12-08,19822.0,19956.928
2021-12-09,19954.002,20122.896
2021-12-10,20117.0,20252.502
2021-12-11,20260.0,20488.87
2021-12-12,20397.0,20547.518
2021-12-13,20541.0,20735.266
2021-12-14,20671.0,20844.578
2021-12-15,20849.0,20965.316
2021-12-16,21007.0,21141.47
2021-12-17,21167.0,21232.361
2021-12-18,21381.0,21357.8
2021-12-19,21534.0,21509.062
2021-12-20,21645.0,21629.879
2021-12-21,21782.0,21757.531
2021-12-22,21915.0,21622.99
2021-12-23,22083.0,21844.797
2021-12-24,22234.0,21770.791
2021-12-25,22337.0,21923.752
2021-12-26,22457.0,21965.541
2021-12-27,22588.0,21759.691
2021-12-28,22736.0,21984.06
2021-12-29,22875.0,22735.818
2021-12-30,22992.0,22561.523
2021-12-31,23124.0,22679.969
2022-01-01,23249.0,22769.623
2022-01-02,23335.0,22853.531
2022-01-03,23433.0,22891.291
