,Actual_data,Predicted_data
2021-08-12,9514.0,9559.303
2021-08-13,9694.0,9681.572
2021-08-14,9847.0,9819.923
2021-08-15,10003.0,9935.806
2021-08-16,10130.0,10056.955
2021-08-17,10196.0,10164.366
2021-08-18,10320.0,10303.415
2021-08-19,10458.001,10456.684
2021-08-20,10590.0,10623.173
2021-08-21,10676.0,10716.784
2021-08-22,10789.0,10813.171
2021-08-23,10852.0,10846.455
2021-08-24,10912.999,10854.059
2021-08-25,10999.0,10963.849
2021-08-26,11077.0,11069.386
2021-08-27,11145.0,11150.601
2021-08-28,11221.0,11216.723
2021-08-29,11285.0,11295.898
2021-08-30,11342.0,11362.675
2021-08-31,11386.0,11411.653
2021-09-01,11455.0,11469.167
2021-09-02,11526.0,11537.411
2021-09-03,11584.0,11600.257
2021-09-04,11635.001,11629.163
2021-09-05,11674.0,11680.105
2021-09-06,11726.0,11710.329
2021-09-07,11761.0,11717.791
2021-09-08,11792.0,11750.433
2021-09-09,11827.001,11797.892
2021-09-10,11865.0,11854.746
2021-09-11,11900.001,11861.754
2021-09-12,11943.0,11913.45
2021-09-13,11978.0,11989.582
2021-09-14,12016.0,12011.431
2021-09-15,12059.0,12064.664
2021-09-16,12117.001,12106.999
2021-09-17,12168.999,12152.651
2021-09-18,12220.999,12208.951
2021-09-19,12266.999,12269.07
2021-09-20,12314.0,12326.7705
2021-09-21,12359.001,12328.071
2021-09-22,12397.0,12371.538
2021-09-23,12421.0,12407.431
2021-09-24,12451.0,12442.84
2021-09-25,12502.0,12501.366
2021-09-26,12548.0,12554.185
2021-09-27,12591.0,12596.8955
2021-09-28,12620.0,12643.876
2021-09-29,12672.001,12693.521
2021-09-30,12721.0,12724.488
2021-10-01,12767.0,12782.009
2021-10-02,12809.0,12813.3955
2021-10-03,12842.0,12853.367
2021-10-04,12879.0,12885.47
2021-10-05,12926.0,12914.46
2021-10-06,12964.001,12944.149
2021-10-07,13013.0,12992.305
2021-10-08,13047.0,13025.372
2021-10-09,13077.0,13052.827
2021-10-10,13108.001,13096.039
2021-10-11,13157.0,13130.379
2021-10-12,13182.0,13170.586
2021-10-13,13222.0,13201.986
2021-10-14,13269.0,13252.686
2021-10-15,13301.0,13271.002
2021-10-16,13323.0,13291.42
2021-10-17,13359.0,13338.676
2021-10-18,13394.0,13375.821
2021-10-19,13433.0,13390.515
2021-10-20,13468.0,13444.801
2021-10-21,13497.0,13503.068
2021-10-22,13541.0,13532.547
2021-10-23,13581.0,13601.303
2021-10-24,13613.0,13635.974
2021-10-25,13637.0,13679.994
2021-10-26,13670.0,13722.173
2021-10-27,13712.999,13749.36
2021-10-28,13764.999,13791.005
2021-10-29,13808.0,13831.355
2021-10-30,13853.0,13867.614
2021-10-31,13910.999,13889.763
2021-11-01,13966.0,13937.469
2021-11-02,13994.0,14000.477
2021-11-03,14074.001,14042.052
2021-11-04,14133.0,14126.814
2021-11-05,14189.0,14198.824
2021-11-06,14248.0,14246.306
2021-11-07,14288.0,14307.644
2021-11-08,14322.0,14348.467
2021-11-09,14367.999,14373.543
2021-11-10,14442.0,14460.867
2021-11-11,14511.0,14528.733
2021-11-12,14574.0,14596.025
2021-11-13,14638.0,14641.114
2021-11-14,14720.0,14694.239
2021-11-15,14788.0,14766.444
2021-11-16,14874.999,14834.894
2021-11-17,14978.0,14932.107
2021-11-18,15068.0,15038.129
2021-11-19,15145.0,15125.31
2021-11-20,15231.0,15195.372
2021-11-21,15317.0,15274.296
2021-11-22,15406.999,15362.534
2021-11-23,15463.0,15454.084
2021-11-24,15583.0,15553.397
2021-11-25,15680.0,15679.071
2021-11-26,15778.0,15782.751
2021-11-27,15882.999,15885.073
2021-11-28,16030.999,16015.354
2021-11-29,16174.999,16147.712
2021-11-30,16254.0,16234.889
2021-12-01,16397.0,16433.424
2021-12-02,16555.0,16575.564
2021-12-03,16696.0,16730.371
2021-12-04,16897.0,16874.15
2021-12-05,17104.0,17076.209
2021-12-06,17297.0,17256.295
2021-12-07,17457.0,17417.197
2021-12-08,17710.0,17680.31
2021-12-09,17962.0,17950.887
2021-12-10,18265.0,18212.627
2021-12-11,18584.0,18554.771
2021-12-12,18912.0,18883.393
2021-12-13,19153.0,19208.889
2021-12-14,19359.0,19416.121
2021-12-15,19702.0,19747.045
2021-12-16,20048.002,20075.014
2021-12-17,20436.002,20497.053
2021-12-18,20798.0,20813.3
2021-12-19,21161.0,21177.633
2021-12-20,21526.0,21534.523
2021-12-21,21760.0,21766.049
2021-12-22,22192.0,22197.412
2021-12-23,22625.002,22626.373
2021-12-24,23046.0,23043.926
2021-12-25,23386.0,23383.318
2021-12-26,23757.0,23754.99
2021-12-27,24027.002,24029.32
2021-12-28,24264.0,23972.604
2021-12-29,24560.0,24339.576
2021-12-30,24815.0,24697.695
2021-12-31,25075.0,24939.22
2022-01-01,25287.002,25077.848
2022-01-02,25503.0,25243.32
2022-01-03,25676.0,25352.729
