,Actual_data,Predicted_data
2021-03-04,3281.0,3281.908
2021-03-05,3301.0,3293.052
2021-03-06,3312.9998,3313.1008
2021-03-07,3319.0,3320.552
2021-03-08,3331.0002,3328.946
2021-03-09,3350.0,3355.0078
2021-03-10,3357.0,3354.5127
2021-03-11,3371.0,3370.9307
2021-03-12,3385.9998,3381.294
2021-03-13,3403.0,3401.1504
2021-03-14,3416.0,3419.7405
2021-03-15,3420.0,3425.8623
2021-03-16,3427.0,3431.752
2021-03-17,3438.0002,3440.2068
2021-03-18,3445.0002,3443.6414
2021-03-19,3452.0002,3450.3267
2021-03-20,3461.0,3469.7957
2021-03-21,3480.0002,3482.4536
2021-03-22,3506.0,3497.654
2021-03-23,3514.0,3526.8738
2021-03-24,3531.0,3537.0725
2021-03-25,3551.0,3560.4033
2021-03-26,3562.0,3570.596
2021-03-27,3595.0002,3585.8484
2021-03-28,3651.0002,3634.3289
2021-03-29,3704.0,3698.6858
2021-03-30,3747.0,3737.659
2021-03-31,3805.0,3791.7756
2021-04-01,3859.0002,3856.2737
2021-04-02,3897.0002,3909.3042
2021-04-03,3958.0,3957.7312
2021-04-04,4019.0002,4016.0603
2021-04-05,4067.0,4070.732
2021-04-06,4101.0,4108.1455
2021-04-07,4139.0,4145.451
2021-04-08,4191.0,4188.495
2021-04-09,4244.0,4240.8237
2021-04-10,4300.0,4298.2715
2021-04-11,4345.0,4351.1846
2021-04-12,4392.0,4387.7715
2021-04-13,4431.0,4432.505
2021-04-14,4480.0,4471.7676
2021-04-15,4534.0,4534.396
2021-04-16,4578.0,4576.202
2021-04-17,4613.0,4620.166
2021-04-18,4644.0,4643.5913
2021-04-19,4670.0,4678.724
2021-04-20,4699.0,4709.1016
2021-04-21,4732.0,4737.9053
2021-04-22,4769.0,4767.3813
2021-04-23,4802.0,4804.037
2021-04-24,4846.0,4841.001
2021-04-25,4889.0,4884.8315
2021-04-26,4914.0,4914.4395
2021-04-27,4944.0,4937.0615
2021-04-28,4977.0,4981.234
2021-04-29,5017.0,5004.1123
2021-04-30,5049.0,5046.46
2021-05-01,5078.0,5078.3853
2021-05-02,5111.0,5101.563
2021-05-03,5127.0,5128.2427
2021-05-04,5143.0,5143.018
2021-05-05,5166.0,5166.082
2021-05-06,5194.0,5188.942
2021-05-07,5215.0,5215.4937
2021-05-08,5242.0,5238.927
2021-05-09,5252.0,5256.993
2021-05-10,5272.0,5265.478
2021-05-11,5286.0,5290.9478
2021-05-12,5296.0,5297.6133
2021-05-13,5316.0,5316.511
2021-05-14,5340.0,5339.773
2021-05-15,5382.0,5381.359
2021-05-16,5413.0,5412.0566
2021-05-17,5425.0,5428.0205
2021-05-18,5438.0,5431.896
2021-05-19,5465.0,5458.999
2021-05-20,5482.0,5484.818
2021-05-21,5497.0,5497.788
2021-05-22,5525.0,5523.5723
2021-05-23,5540.0,5552.8203
2021-05-24,5555.0,5555.7524
2021-05-25,5571.0,5574.2104
2021-05-26,5593.0,5600.565
2021-05-27,5611.0,5619.511
2021-05-28,5624.0,5622.9854
2021-05-29,5638.0,5637.586
2021-05-30,5651.0,5654.9263
2021-05-31,5668.0,5668.667
2021-06-01,5696.0,5686.2173
2021-06-02,5717.0,5717.091
2021-06-03,5749.0,5734.8623
2021-06-04,5763.0,5767.8457
2021-06-05,5780.0,5775.945
2021-06-06,5801.0,5797.966
2021-06-07,5813.0,5820.867
2021-06-08,5828.0,5835.675
2021-06-09,5844.0,5836.382
2021-06-10,5859.0,5846.9087
2021-06-11,5887.0,5872.951
2021-06-12,5913.0,5911.101
2021-06-13,5926.0,5921.57
2021-06-14,5943.0,5926.787
2021-06-15,5952.0005,5948.9316
2021-06-16,5968.0,5964.352
2021-06-17,5985.0005,5996.6875
2021-06-18,5995.0,6006.1025
2021-06-19,6013.0005,6013.0415
2021-06-20,6034.0005,6025.6553
2021-06-21,6048.0005,6048.4272
2021-06-22,6054.0,6059.474
2021-06-23,6070.0005,6057.748
2021-06-24,6090.0005,6079.7056
2021-06-25,6117.0,6106.2227
2021-06-26,6148.0,6149.7656
2021-06-27,6160.0005,6176.247
2021-06-28,6198.0,6180.807
2021-06-29,6207.0,6232.4346
2021-06-30,6221.0,6223.499
2021-07-01,6239.0,6254.8613
2021-07-02,6268.0,6270.532
2021-07-03,6307.0005,6321.659
2021-07-04,6335.0005,6347.358
2021-07-05,6360.0,6369.143
2021-07-06,6389.0005,6393.6074
2021-07-07,6423.0,6438.5674
2021-07-08,6478.0,6476.9116
2021-07-09,6536.0005,6543.3916
2021-07-10,6597.0,6589.459
2021-07-11,6653.0005,6650.8516
2021-07-12,6697.0005,6696.422
2021-07-13,6747.0,6745.721
2021-07-14,6810.0,6805.7847
2021-07-15,6875.0,6872.0977
2021-07-16,6925.0005,6927.4297
2021-07-17,6987.0005,6990.3545
2021-07-18,7057.0005,7058.816
2021-07-19,7122.0,7122.5547
2021-07-20,7171.0,7168.18
2021-07-21,7273.0005,7203.566
2021-07-22,7377.0005,7254.199
2021-07-23,7493.0,7321.721
2021-07-24,7609.0,7391.5215
2021-07-25,7717.0,7456.1616
2021-07-26,7806.0,7520.9756
