,Actual_data,Predicted_data
2021-08-12,69827.0,70303.336
2021-08-13,70351.0,70438.125
2021-08-14,70864.0,70962.2
2021-08-15,71352.0,71411.76
2021-08-16,71716.0,71759.3
2021-08-17,72081.0,72123.95
2021-08-18,72590.0,72685.75
2021-08-19,73165.0,72917.95
2021-08-20,73719.0,73379.0
2021-08-21,74244.0,74002.016
2021-08-22,74741.0,74499.77
2021-08-23,75129.0,74907.48
2021-08-24,75565.0,75405.57
2021-08-25,76242.0,76098.55
2021-08-26,76812.0,76631.516
2021-08-27,77368.0,77277.65
2021-08-28,77937.0,77905.164
2021-08-29,78454.0,78422.14
2021-08-30,78896.0,78851.96
2021-08-31,79352.0,79505.02
2021-09-01,80016.0,79964.695
2021-09-02,80575.0,80716.94
2021-09-03,81117.0,81190.47
2021-09-04,81682.0,81740.2
2021-09-05,82190.0,82307.35
2021-09-06,82654.0,82835.59
2021-09-07,83136.0,83282.375
2021-09-08,83807.0,83952.0
2021-09-09,84474.0,84431.62
2021-09-10,85144.0,85157.05
2021-09-11,85803.0,85798.25
2021-09-12,86461.0,86392.04
2021-09-13,87017.0,86980.305
2021-09-14,87556.0,87469.05
2021-09-15,88364.0,88308.13
2021-09-16,89083.0,88998.63
2021-09-17,89829.0,89660.05
2021-09-18,90532.0,90489.96
2021-09-19,91273.0,91245.65
2021-09-20,91856.0,91870.34
2021-09-21,92532.01,92416.53
2021-09-22,93176.0,93371.164
2021-09-23,93821.0,94098.11
2021-09-24,94726.01,94771.52
2021-09-25,95948.01,95855.98
2021-09-26,96876.0,97003.414
2021-09-27,97654.0,97592.81
2021-09-28,98495.99,98221.29
2021-09-29,99547.0,99332.52
2021-09-30,100492.0,100307.75
2021-10-01,101406.0,101295.46
2021-10-02,102198.0,102291.47
2021-10-03,102933.01,102934.09
2021-10-04,103504.0,103413.62
2021-10-05,104025.01,103987.06
2021-10-06,104715.01,104698.69
2021-10-07,105549.0,105427.84
2021-10-08,106324.0,106066.96
2021-10-09,107036.01,106905.1
2021-10-10,107619.0,107501.73
2021-10-11,108130.0,108217.484
2021-10-12,108612.01,108536.18
2021-10-13,109195.0,109408.35
2021-10-14,109939.0,109907.82
2021-10-15,110620.0,110811.81
2021-10-16,111205.0,111203.18
2021-10-17,111710.0,111802.47
2021-10-18,112065.0,112066.56
2021-10-19,112363.0,112519.07
2021-10-20,112866.01,113005.32
2021-10-21,113372.0,113513.14
2021-10-22,113891.01,113979.81
2021-10-23,114442.01,114574.18
2021-10-24,114962.0,114975.82
2021-10-25,115417.0,115347.25
2021-10-26,115844.0,115721.71
2021-10-27,116572.0,116390.03
2021-10-28,117358.0,117179.08
2021-10-29,118128.01,117952.29
2021-10-30,118834.0,118741.35
2021-10-31,119594.0,119488.14
2021-11-01,120240.0,120270.445
2021-11-02,120840.0,120731.49
2021-11-03,121843.0,121580.68
2021-11-04,122789.01,122623.76
2021-11-05,123769.0,123637.04
2021-11-06,124685.0,124584.68
2021-11-07,125533.01,125426.586
2021-11-08,126241.0,126202.19
2021-11-09,126901.01,126997.56
2021-11-10,127874.0,127959.7
2021-11-11,128878.01,129078.125
2021-11-12,129827.0,130083.12
2021-11-13,130831.0,131166.44
2021-11-14,131809.0,131948.53
2021-11-15,132668.0,132817.5
2021-11-16,133513.0,133568.34
2021-11-17,134948.0,134688.05
2021-11-18,136376.0,136280.83
2021-11-19,137777.0,137512.28
2021-11-20,139154.0,139009.72
2021-11-21,140470.0,140114.84
2021-11-22,141748.0,141463.34
2021-11-23,142913.0,142668.95
2021-11-24,144646.0,144389.56
2021-11-25,146406.0,146325.56
2021-11-26,148147.0,147914.0
2021-11-27,150035.0,149824.38
2021-11-28,151711.0,151300.67
2021-11-29,153100.0,152923.53
2021-11-30,154286.0,154426.03
2021-12-01,156507.0,156648.7
2021-12-02,158774.0,158921.1
2021-12-03,160873.0,161084.4
2021-12-04,163146.0,163393.8
2021-12-05,165178.0,165465.38
2021-12-06,166586.0,167268.23
2021-12-07,168705.0,168989.69
2021-12-08,171606.0,171703.94
2021-12-09,174396.0,174130.92
2021-12-10,177196.0,176990.45
2021-12-11,180031.0,179887.2
2021-12-12,182558.0,182416.75
2021-12-13,185108.0,184574.69
2021-12-14,187169.0,187139.02
2021-12-15,190332.0,190482.23
2021-12-16,193389.0,193178.36
2021-12-17,196234.0,196063.73
2021-12-18,199028.02,198959.55
2021-12-19,201347.02,201277.45
2021-12-20,203255.02,203151.9
2021-12-21,205249.0,205176.12
2021-12-22,208048.02,207986.45
2021-12-23,210768.0,210739.0
2021-12-24,213114.02,213116.03
2021-12-25,215233.0,215209.17
2021-12-26,217150.0,217147.19
2021-12-27,218646.0,218649.11
2021-12-28,219934.0,218803.73
2021-12-29,221847.0,221644.02
2021-12-30,223567.0,223710.42
2021-12-31,225235.0,225368.89
2022-01-01,226698.02,226054.95
2022-01-02,227879.0,226964.02
2022-01-03,228867.02,226873.06
