,Actual_data,Predicted_data
2021-08-12,69827.0,70054.266
2021-08-13,70351.0,70522.32
2021-08-14,70864.0,70883.72
2021-08-15,71352.0,71188.36
2021-08-16,71716.0,71648.44
2021-08-17,72081.0,72427.4
2021-08-18,72590.0,72703.19
2021-08-19,73165.0,72927.984
2021-08-20,73719.0,73231.56
2021-08-21,74244.0,73797.34
2021-08-22,74741.0,74376.086
2021-08-23,75129.0,74934.625
2021-08-24,75565.0,75699.5
2021-08-25,76242.0,76069.234
2021-08-26,76812.0,76749.25
2021-08-27,77368.0,77348.12
2021-08-28,77937.0,77838.266
2021-08-29,78454.0,78276.484
2021-08-30,78896.0,78838.7
2021-08-31,79352.0,79461.75
2021-09-01,80016.0,79905.28
2021-09-02,80575.0,80568.04
2021-09-03,81117.0,81174.49
2021-09-04,81682.0,81655.13
2021-09-05,82190.0,82112.27
2021-09-06,82654.0,82679.84
2021-09-07,83136.0,83240.03
2021-09-08,83807.0,83706.67
2021-09-09,84474.0,84352.41
2021-09-10,85144.0,84842.81
2021-09-11,85803.0,85478.75
2021-09-12,86461.0,86118.45
2021-09-13,87017.0,86816.945
2021-09-14,87556.0,87513.38
2021-09-15,88364.0,88181.96
2021-09-16,89083.0,89445.96
2021-09-17,89829.0,89856.086
2021-09-18,90532.0,90538.305
2021-09-19,91273.0,91051.51
2021-09-20,91856.0,91856.266
2021-09-21,92532.01,92437.92
2021-09-22,93176.0,93368.54
2021-09-23,93821.0,93838.56
2021-09-24,94726.01,94445.08
2021-09-25,95948.01,95815.13
2021-09-26,96876.0,97633.51
2021-09-27,97654.0,98157.95
2021-09-28,98495.99,98499.45
2021-09-29,99547.0,99405.09
2021-09-30,100492.0,100933.695
2021-10-01,101406.0,101145.16
2021-10-02,102198.0,101883.78
2021-10-03,102933.01,102256.01
2021-10-04,103504.0,102936.92
2021-10-05,104025.01,103266.16
2021-10-06,104715.01,103835.29
2021-10-07,105549.0,104871.42
2021-10-08,106324.0,105835.02
2021-10-09,107036.01,106393.85
2021-10-10,107619.0,106905.68
2021-10-11,108130.0,107365.695
2021-10-12,108612.01,107942.76
2021-10-13,109195.0,108538.24
2021-10-14,109939.0,109249.9
2021-10-15,110620.0,110058.94
2021-10-16,111205.0,110751.37
2021-10-17,111710.0,111197.33
2021-10-18,112065.0,111726.62
2021-10-19,112363.0,112107.51
2021-10-20,112866.01,112475.945
2021-10-21,113372.0,112842.93
2021-10-22,113891.01,113656.67
2021-10-23,114442.01,113928.76
2021-10-24,114962.0,114417.08
2021-10-25,115417.0,115020.03
2021-10-26,115844.0,115552.28
2021-10-27,116572.0,116072.85
2021-10-28,117358.0,116512.64
2021-10-29,118128.01,117812.07
2021-10-30,118834.0,118474.484
2021-10-31,119594.0,119202.445
2021-11-01,120240.0,120219.12
2021-11-02,120840.0,120889.055
2021-11-03,121843.0,121565.73
2021-11-04,122789.01,122702.46
2021-11-05,123769.0,124213.1
2021-11-06,124685.0,124923.234
2021-11-07,125533.01,125597.56
2021-11-08,126241.0,126338.08
2021-11-09,126901.01,126755.95
2021-11-10,127874.0,127458.51
2021-11-11,128878.01,128849.52
2021-11-12,129827.0,130167.1
2021-11-13,130831.0,130559.84
2021-11-14,131809.0,131549.4
2021-11-15,132668.0,132392.34
2021-11-16,133513.0,132868.7
2021-11-17,134948.0,133786.73
2021-11-18,136376.0,135632.48
2021-11-19,137777.0,138220.52
2021-11-20,139154.0,139050.45
2021-11-21,140470.0,140212.61
2021-11-22,141748.0,141344.64
2021-11-23,142913.0,142572.62
2021-11-24,144646.0,143358.8
2021-11-25,146406.0,146159.56
2021-11-26,148147.0,148507.0
2021-11-27,150035.0,149724.33
2021-11-28,151711.0,151628.78
2021-11-29,153100.0,153103.1
2021-11-30,154286.0,154473.95
2021-12-01,156507.0,155298.42
2021-12-02,158774.0,157662.66
2021-12-03,160873.0,162945.2
2021-12-04,163146.0,164256.77
2021-12-05,165178.0,166004.44
2021-12-06,166586.0,167896.81
2021-12-07,168705.0,168488.88
2021-12-08,171606.0,173414.19
2021-12-09,174396.0,176021.2
2021-12-10,177196.0,177133.1
2021-12-11,180031.0,179577.47
2021-12-12,182558.0,181681.55
2021-12-13,185108.0,185335.25
2021-12-14,187169.0,188756.08
2021-12-15,190332.0,189982.3
2021-12-16,193389.0,192483.39
2021-12-17,196234.0,195477.64
2021-12-18,199028.02,198413.23
2021-12-19,201347.02,201019.02
2021-12-20,203255.02,202893.23
2021-12-21,205249.0,205438.14
2021-12-22,208048.02,208107.73
2021-12-23,210768.0,204955.94
2021-12-24,213114.02,208483.98
2021-12-25,215233.0,211208.05
2021-12-26,217150.0,214185.27
2021-12-27,218646.0,215285.14
2021-12-28,219934.0,213866.05
2021-12-29,221847.0,214778.6
2021-12-30,223567.0,215979.89
2021-12-31,225235.0,218725.66
2022-01-01,226698.02,221072.48
2022-01-02,227879.0,223146.9
2022-01-03,228867.02,224884.83
