,Actual_data,Predicted_data
2021-03-04,236.0,236.04126
2021-03-05,237.0,236.16563
2021-03-06,239.0,238.27414
2021-03-07,241.0,239.97589
2021-03-08,242.0,241.75302
2021-03-09,242.0,241.39522
2021-03-10,242.0,242.71558
2021-03-11,242.0,241.69804
2021-03-12,243.99998,243.91354
2021-03-13,243.99998,244.66115
2021-03-14,243.99998,244.12567
2021-03-15,245.99998,245.1522
2021-03-16,245.99998,245.97192
2021-03-17,249.0,247.91258
2021-03-18,250.0,249.4914
2021-03-19,250.0,251.9603
2021-03-20,250.0,250.03961
2021-03-21,250.0,249.48915
2021-03-22,250.0,252.79974
2021-03-23,250.0,249.46683
2021-03-24,250.0,251.04759
2021-03-25,250.0,251.89583
2021-03-26,250.0,251.9318
2021-03-27,251.0,254.39935
2021-03-28,251.0,255.39137
2021-03-29,251.0,255.61429
2021-03-30,253.0,256.39227
2021-03-31,270.0,261.8681
2021-04-01,283.0,276.16223
2021-04-02,291.0,288.1408
2021-04-03,300.99997,296.52563
2021-04-04,304.0,305.5302
2021-04-05,308.0,306.68503
2021-04-06,308.0,309.14325
2021-04-07,309.0,311.2081
2021-04-08,315.99997,313.49658
2021-04-09,321.0,318.99152
2021-04-10,325.0,323.5466
2021-04-11,326.0,326.82645
2021-04-12,331.0,328.87372
2021-04-13,332.99997,331.16412
2021-04-14,334.99997,333.46658
2021-04-15,338.0,337.14825
2021-04-16,341.0,342.16016
2021-04-17,341.0,341.738
2021-04-18,343.0,341.87683
2021-04-19,344.0,343.65955
2021-04-20,345.0,342.43933
2021-04-21,346.0,345.21033
2021-04-22,347.0,347.75754
2021-04-23,349.99997,347.66946
2021-04-24,351.0,350.725
2021-04-25,351.0,349.96414
2021-04-26,351.99997,351.5594
2021-04-27,353.99997,351.11285
2021-04-28,355.99997,353.9473
2021-04-29,355.99997,357.3616
2021-04-30,357.0,355.75192
2021-05-01,361.0,361.62814
2021-05-02,362.0,362.73547
2021-05-03,366.0,365.2906
2021-05-04,372.0,371.5533
2021-05-05,372.0,373.86694
2021-05-06,372.99997,372.90244
2021-05-07,372.99997,373.1664
2021-05-08,378.0,377.13525
2021-05-09,379.0,381.022
2021-05-10,385.99997,382.22638
2021-05-11,385.99997,389.68137
2021-05-12,387.0,387.76413
2021-05-13,389.0,389.22632
2021-05-14,396.0,394.07095
2021-05-15,399.0,397.86633
2021-05-16,399.0,402.46335
2021-05-17,399.0,400.23264
2021-05-18,402.99997,402.92444
2021-05-19,406.0,408.1677
2021-05-20,415.0,415.82773
2021-05-21,416.0,417.8881
2021-05-22,416.0,419.75827
2021-05-23,417.0,419.9895
2021-05-24,430.99997,427.9533
2021-05-25,445.0,446.16928
2021-05-26,453.99997,454.44077
2021-05-27,462.0,461.77332
2021-05-28,470.0,469.2921
2021-05-29,470.99997,473.4046
2021-05-30,477.0,475.49207
2021-05-31,479.99997,478.25464
2021-06-01,483.0,484.78232
2021-06-02,485.99997,484.47665
2021-06-03,487.0,488.4537
2021-06-04,489.99997,491.83847
2021-06-05,494.0,493.2397
2021-06-06,494.0,495.61353
2021-06-07,494.0,493.9949
2021-06-08,494.0,493.77393
2021-06-09,496.99997,497.13016
2021-06-10,500.0,499.67282
2021-06-11,502.0,502.49243
2021-06-12,502.99997,503.46976
2021-06-13,504.0,504.52393
2021-06-14,504.99997,505.35834
2021-06-15,513.0,510.90582
2021-06-16,517.0,517.74976
2021-06-17,519.0,519.684
2021-06-18,520.0,517.4993
2021-06-19,522.0,522.31635
2021-06-20,525.0,525.16077
2021-06-21,527.0,527.78827
2021-06-22,533.0,530.8825
2021-06-23,541.0,539.0857
2021-06-24,542.0,543.2909
2021-06-25,544.0,544.4266
2021-06-26,546.0,546.0832
2021-06-27,554.0,551.3304
2021-06-28,554.0,556.0407
2021-06-29,557.0,555.4656
2021-06-30,560.0,558.6411
2021-07-01,565.0,563.25476
2021-07-02,567.0,565.5892
2021-07-03,570.0,569.94116
2021-07-04,574.0,571.9236
2021-07-05,578.0,576.2626
2021-07-06,583.0,582.473
2021-07-07,588.0,586.2679
2021-07-08,593.0,591.16943
2021-07-09,594.0,593.7525
2021-07-10,594.0,593.4074
2021-07-11,597.0,596.7906
2021-07-12,603.0,602.4638
2021-07-13,611.0,610.51965
2021-07-14,617.0,616.4395
2021-07-15,619.0,618.7647
2021-07-16,626.0,625.0753
2021-07-17,628.0,627.8891
2021-07-18,633.0,632.69867
2021-07-19,641.0,640.54266
2021-07-20,654.0,646.8232
2021-07-21,660.0,660.3564
2021-07-22,670.0,656.6083
2021-07-23,678.0,665.32513
2021-07-24,684.0,673.2099
2021-07-25,693.0,670.2864
2021-07-26,698.0,683.61664
