,Actual_data,Predicted_data
2021-08-12,3556.0,3567.2983
2021-08-13,3595.0,3603.5999
2021-08-14,3621.0,3631.4248
2021-08-15,3650.0,3646.8667
2021-08-16,3681.0,3664.472
2021-08-17,3703.0,3704.4941
2021-08-18,3734.9998,3729.6995
2021-08-19,3803.0,3776.6582
2021-08-20,3832.9998,3842.4836
2021-08-21,3860.0,3867.8843
2021-08-22,3896.0,3886.6497
2021-08-23,3933.0,3924.9485
2021-08-24,3959.0,3952.6929
2021-08-25,3997.0,3997.8599
2021-08-26,4037.0,4038.0715
2021-08-27,4057.0,4066.9556
2021-08-28,4079.0,4089.4114
2021-08-29,4115.0,4122.685
2021-08-30,4151.0,4155.57
2021-08-31,4175.0,4187.6465
2021-09-01,4246.0,4237.952
2021-09-02,4288.0,4295.629
2021-09-03,4323.0,4328.5576
2021-09-04,4370.0,4362.1465
2021-09-05,4411.0,4416.976
2021-09-06,4450.0,4452.3784
2021-09-07,4496.9995,4493.466
2021-09-08,4546.0,4542.561
2021-09-09,4616.0,4599.42
2021-09-10,4657.0,4658.1455
2021-09-11,4687.9995,4684.4585
2021-09-12,4722.0,4720.893
2021-09-13,4739.0,4745.9033
2021-09-14,4774.0,4768.081
2021-09-15,4805.0,4809.74
2021-09-16,4836.0,4840.771
2021-09-17,4853.0,4860.3857
2021-09-18,4887.0,4884.937
2021-09-19,4917.0,4913.9766
2021-09-20,4931.9995,4936.8647
2021-09-21,4948.0,4951.596
2021-09-22,4968.0,4975.374
2021-09-23,4991.0,4989.175
2021-09-24,5021.0,5009.6206
2021-09-25,5047.0,5051.4683
2021-09-26,5074.0,5071.3706
2021-09-27,5093.9995,5088.3013
2021-09-28,5110.9995,5108.816
2021-09-29,5138.0,5143.3945
2021-09-30,5165.0,5161.3164
2021-10-01,5189.0,5194.503
2021-10-02,5207.9995,5211.0205
2021-10-03,5226.0,5229.815
2021-10-04,5231.0,5239.7383
2021-10-05,5243.0,5250.2285
2021-10-06,5247.0,5253.203
2021-10-07,5260.9995,5257.372
2021-10-08,5277.0,5278.784
2021-10-09,5289.9995,5293.4204
2021-10-10,5299.0,5304.2856
2021-10-11,5310.0,5306.22
2021-10-12,5327.0,5318.3706
2021-10-13,5334.0,5336.8022
2021-10-14,5340.0,5342.6675
2021-10-15,5347.9995,5342.8345
2021-10-16,5354.9995,5353.8296
2021-10-17,5359.0,5360.637
2021-10-18,5362.0,5367.444
2021-10-19,5362.0,5357.8745
2021-10-20,5369.0,5370.986
2021-10-21,5370.0,5373.291
2021-10-22,5373.0,5375.3735
2021-10-23,5379.0,5376.5576
2021-10-24,5381.9995,5387.221
2021-10-25,5386.0,5390.681
2021-10-26,5395.0,5384.4395
2021-10-27,5403.0,5395.119
2021-10-28,5409.0,5401.542
2021-10-29,5412.9995,5412.1396
2021-10-30,5416.0,5405.924
2021-10-31,5421.0,5411.6265
2021-11-01,5433.0,5431.51
2021-11-02,5439.9995,5443.8823
2021-11-03,5446.9995,5445.3047
2021-11-04,5451.0,5451.572
2021-11-05,5456.0,5453.9917
2021-11-06,5468.0,5461.6387
2021-11-07,5468.9995,5475.4873
2021-11-08,5474.0,5477.2334
2021-11-09,5478.0,5483.1846
2021-11-10,5482.9995,5491.433
2021-11-11,5503.0,5496.8896
2021-11-12,5507.0,5527.236
2021-11-13,5508.0,5522.804
2021-11-14,5515.0,5516.8066
2021-11-15,5519.0,5527.118
2021-11-16,5528.0,5530.292
2021-11-17,5542.0,5539.617
2021-11-18,5552.0,5557.0957
2021-11-19,5555.9995,5563.4966
2021-11-20,5561.0,5564.711
2021-11-21,5569.9995,5565.425
2021-11-22,5579.9995,5576.2188
2021-11-23,5586.9995,5587.8877
2021-11-24,5598.0,5594.706
2021-11-25,5611.0,5600.2656
2021-11-26,5624.0,5618.885
2021-11-27,5630.9995,5634.8237
2021-11-28,5635.0,5629.096
2021-11-29,5637.0,5632.6597
2021-11-30,5640.0,5637.439
2021-12-01,5657.0,5644.3364
2021-12-02,5675.0,5667.5386
2021-12-03,5695.0,5691.9272
2021-12-04,5702.0,5719.001
2021-12-05,5717.9995,5725.3677
2021-12-06,5733.0,5731.8467
2021-12-07,5746.9995,5753.5293
2021-12-08,5773.0,5768.839
2021-12-09,5822.0,5803.5234
2021-12-10,5864.9995,5862.279
2021-12-11,5898.9995,5910.4873
2021-12-12,5949.0,5957.66
2021-12-13,5988.0,6003.486
2021-12-14,6072.9995,6048.141
2021-12-15,6132.0,6132.8115
2021-12-16,6208.0,6187.247
2021-12-17,6265.0,6251.567
2021-12-18,6311.0,6312.8706
2021-12-19,6350.0,6355.7866
2021-12-20,6386.0,6390.328
2021-12-21,6420.9995,6424.529
2021-12-22,6459.9995,6462.391
2021-12-23,6504.0,6507.8066
2021-12-24,6546.9995,6552.3613
2021-12-25,6610.0,6610.4253
2021-12-26,6662.9995,6662.2
2021-12-27,6705.0,6706.6133
2021-12-28,6744.0,6712.9614
2021-12-29,6793.0,6740.9307
2021-12-30,6833.0,6765.9814
2021-12-31,6872.9995,6795.5654
2022-01-01,6923.0,6804.0776
2022-01-02,6981.0,6842.3306
2022-01-03,7019.0,6899.6562
