,Actual_data,Predicted_data
2021-08-12,3556.0,3582.0085
2021-08-13,3595.0,3616.6812
2021-08-14,3621.0,3655.2715
2021-08-15,3650.0,3679.7053
2021-08-16,3681.0,3704.114
2021-08-17,3703.0,3737.063
2021-08-18,3734.9998,3766.8867
2021-08-19,3803.0,3830.5964
2021-08-20,3832.9998,3860.87
2021-08-21,3860.0,3898.7368
2021-08-22,3896.0,3923.0903
2021-08-23,3933.0,3958.0515
2021-08-24,3959.0,3989.3293
2021-08-25,3997.0,4023.2327
2021-08-26,4037.0,4070.74
2021-08-27,4057.0,4086.7676
2021-08-28,4079.0,4111.2705
2021-08-29,4115.0,4143.0127
2021-08-30,4151.0,4184.1123
2021-08-31,4175.0,4218.6196
2021-09-01,4246.0,4267.5063
2021-09-02,4288.0,4323.601
2021-09-03,4323.0,4351.026
2021-09-04,4370.0,4399.6353
2021-09-05,4411.0,4445.99
2021-09-06,4450.0,4484.892
2021-09-07,4496.9995,4529.2173
2021-09-08,4546.0,4585.992
2021-09-09,4616.0,4649.2974
2021-09-10,4657.0,4694.845
2021-09-11,4687.9995,4723.886
2021-09-12,4722.0,4777.3525
2021-09-13,4739.0,4783.597
2021-09-14,4774.0,4801.418
2021-09-15,4805.0,4843.2495
2021-09-16,4836.0,4893.908
2021-09-17,4853.0,4906.1206
2021-09-18,4887.0,4946.0376
2021-09-19,4917.0,4969.8545
2021-09-20,4931.9995,4987.669
2021-09-21,4948.0,5000.831
2021-09-22,4968.0,5033.2495
2021-09-23,4991.0,5041.402
2021-09-24,5021.0,5066.296
2021-09-25,5047.0,5096.958
2021-09-26,5074.0,5127.0825
2021-09-27,5093.9995,5140.119
2021-09-28,5110.9995,5158.302
2021-09-29,5138.0,5200.2734
2021-09-30,5165.0,5213.328
2021-10-01,5189.0,5252.4497
2021-10-02,5207.9995,5262.762
2021-10-03,5226.0,5271.6924
2021-10-04,5231.0,5286.1147
2021-10-05,5243.0,5276.9946
2021-10-06,5247.0,5288.051
2021-10-07,5260.9995,5290.377
2021-10-08,5277.0,5315.249
2021-10-09,5289.9995,5337.9365
2021-10-10,5299.0,5344.425
2021-10-11,5310.0,5334.4824
2021-10-12,5327.0,5355.2085
2021-10-13,5334.0,5363.777
2021-10-14,5340.0,5376.026
2021-10-15,5347.9995,5382.0073
2021-10-16,5354.9995,5387.237
2021-10-17,5359.0,5390.887
2021-10-18,5362.0,5407.5303
2021-10-19,5362.0,5389.5303
2021-10-20,5369.0,5410.4854
2021-10-21,5370.0,5408.563
2021-10-22,5373.0,5404.7217
2021-10-23,5379.0,5433.866
2021-10-24,5381.9995,5426.508
2021-10-25,5386.0,5434.551
2021-10-26,5395.0,5427.002
2021-10-27,5403.0,5435.938
2021-10-28,5409.0,5443.51
2021-10-29,5412.9995,5453.1484
2021-10-30,5416.0,5462.3853
2021-10-31,5421.0,5456.237
2021-11-01,5433.0,5467.0884
2021-11-02,5439.9995,5491.259
2021-11-03,5446.9995,5491.252
2021-11-04,5451.0,5506.221
2021-11-05,5456.0,5497.963
2021-11-06,5468.0,5500.5503
2021-11-07,5468.9995,5510.1855
2021-11-08,5474.0,5526.062
2021-11-09,5478.0,5522.098
2021-11-10,5482.9995,5536.672
2021-11-11,5503.0,5535.002
2021-11-12,5507.0,5551.08
2021-11-13,5508.0,5569.6445
2021-11-14,5515.0,5559.7603
2021-11-15,5519.0,5573.94
2021-11-16,5528.0,5574.818
2021-11-17,5542.0,5589.7603
2021-11-18,5552.0,5603.445
2021-11-19,5555.9995,5614.4673
2021-11-20,5561.0,5618.1904
2021-11-21,5569.9995,5636.082
2021-11-22,5579.9995,5633.9062
2021-11-23,5586.9995,5635.9365
2021-11-24,5598.0,5652.3975
2021-11-25,5611.0,5675.55
2021-11-26,5624.0,5682.4346
2021-11-27,5630.9995,5692.9053
2021-11-28,5635.0,5694.759
2021-11-29,5637.0,5702.4727
2021-11-30,5640.0,5709.358
2021-12-01,5657.0,5724.9727
2021-12-02,5675.0,5749.4824
2021-12-03,5695.0,5763.1187
2021-12-04,5702.0,5777.1855
2021-12-05,5717.9995,5798.216
2021-12-06,5733.0,5815.231
2021-12-07,5746.9995,5816.31
2021-12-08,5773.0,5842.1187
2021-12-09,5822.0,5862.972
2021-12-10,5864.9995,5914.3276
2021-12-11,5898.9995,5959.4937
2021-12-12,5949.0,6016.3955
2021-12-13,5988.0,6054.593
2021-12-14,6072.9995,6089.199
2021-12-15,6132.0,6169.2935
2021-12-16,6208.0,6246.607
2021-12-17,6265.0,6313.2373
2021-12-18,6311.0,6366.763
2021-12-19,6350.0,6409.8057
2021-12-20,6386.0,6447.7505
2021-12-21,6420.9995,6483.3037
2021-12-22,6459.9995,6522.342
2021-12-23,6504.0,6566.834
2021-12-24,6546.9995,6608.9473
2021-12-25,6610.0,6669.532
2021-12-26,6662.9995,6719.443
2021-12-27,6705.0,6763.3135
2021-12-28,6744.0,6769.239
2021-12-29,6793.0,6802.2617
2021-12-30,6833.0,6841.0747
2021-12-31,6872.9995,6853.5513
2022-01-01,6923.0,6900.4478
2022-01-02,6981.0,6948.1675
2022-01-03,7019.0,7000.6123
