,Actual_data,Predicted_data
2021-03-04,4494.0,4487.7334
2021-03-05,4507.0,4508.5923
2021-03-06,4527.0,4516.382
2021-03-07,4555.0,4545.073
2021-03-08,4570.0,4568.6743
2021-03-09,4590.0,4591.69
2021-03-10,4613.0,4614.161
2021-03-11,4631.0,4641.2227
2021-03-12,4662.0,4665.389
2021-03-13,4688.0,4700.488
2021-03-14,4708.0,4718.567
2021-03-15,4726.0,4731.987
2021-03-16,4740.0,4752.873
2021-03-17,4761.0,4771.978
2021-03-18,4782.0,4799.9077
2021-03-19,4806.0,4827.479
2021-03-20,4818.0,4836.4194
2021-03-21,4840.0,4843.948
2021-03-22,4850.0,4866.621
2021-03-23,4863.0,4873.8335
2021-03-24,4884.0,4880.8755
2021-03-25,4896.0,4903.589
2021-03-26,4925.0,4918.048
2021-03-27,4964.0,4942.814
2021-03-28,4997.0,4991.7324
2021-03-29,5015.0,5017.358
2021-03-30,5033.0,5033.9287
2021-03-31,5058.0,5059.321
2021-04-01,5078.0,5083.2314
2021-04-02,5101.0,5110.9287
2021-04-03,5122.0,5128.089
2021-04-04,5144.0,5143.4697
2021-04-05,5166.0,5167.6655
2021-04-06,5193.0,5183.295
2021-04-07,5241.0,5223.789
2021-04-08,5266.0,5281.2593
2021-04-09,5311.0,5299.144
2021-04-10,5335.0,5344.2407
2021-04-11,5352.0,5359.5146
2021-04-12,5364.0,5364.226
2021-04-13,5380.0,5384.2036
2021-04-14,5406.0,5400.963
2021-04-15,5423.0,5433.045
2021-04-16,5435.0,5460.1406
2021-04-17,5458.0,5450.9717
2021-04-18,5477.0,5473.186
2021-04-19,5488.0,5481.93
2021-04-20,5506.0,5484.016
2021-04-21,5521.0,5514.007
2021-04-22,5535.0,5524.2725
2021-04-23,5545.0,5545.8306
2021-04-24,5563.0,5554.464
2021-04-25,5578.0,5568.4287
2021-04-26,5591.9995,5574.8003
2021-04-27,5606.0,5600.0146
2021-04-28,5626.0,5613.977
2021-04-29,5651.0,5632.5986
2021-04-30,5664.9995,5662.4863
2021-05-01,5678.0,5658.273
2021-05-02,5695.0,5676.8013
2021-05-03,5710.0,5690.5874
2021-05-04,5723.0,5709.006
2021-05-05,5738.9995,5728.274
2021-05-06,5758.0,5733.004
2021-05-07,5772.0,5750.456
2021-05-08,5794.0,5784.23
2021-05-09,5804.9995,5792.872
2021-05-10,5817.9995,5794.9463
2021-05-11,5839.0,5813.2417
2021-05-12,5859.0,5835.2637
2021-05-13,5875.9995,5871.3438
2021-05-14,5910.0,5895.327
2021-05-15,5926.0,5924.803
2021-05-16,5941.0,5936.799
2021-05-17,5954.9995,5956.6523
2021-05-18,5971.0,5972.8423
2021-05-19,5994.0,5990.9795
2021-05-20,6007.0,6017.611
2021-05-21,6018.9995,6020.132
2021-05-22,6033.9995,6038.1167
2021-05-23,6046.0,6042.9604
2021-05-24,6064.0,6054.841
2021-05-25,6075.0,6080.4536
2021-05-26,6093.9995,6087.36
2021-05-27,6124.0,6107.79
2021-05-28,6150.0,6143.2896
2021-05-29,6167.9995,6178.649
2021-05-30,6186.0,6188.3276
2021-05-31,6198.0,6207.376
2021-06-01,6215.0,6211.6846
2021-06-02,6235.0,6237.0864
2021-06-03,6257.0,6253.1973
2021-06-04,6267.0,6279.8813
2021-06-05,6283.0,6293.3525
2021-06-06,6306.0,6302.8706
2021-06-07,6320.9995,6331.222
2021-06-08,6334.0,6353.921
2021-06-09,6357.0,6368.0146
2021-06-10,6379.0,6397.2993
2021-06-11,6396.9995,6418.636
2021-06-12,6417.0,6433.384
2021-06-13,6432.0,6451.1567
2021-06-14,6446.0,6465.552
2021-06-15,6457.9995,6476.6157
2021-06-16,6469.9995,6485.141
2021-06-17,6487.0,6492.154
2021-06-18,6509.0,6510.565
2021-06-19,6530.9995,6531.1157
2021-06-20,6553.0,6556.7583
2021-06-21,6562.0,6571.761
2021-06-22,6580.0,6582.1426
2021-06-23,6607.9995,6599.9487
2021-06-24,6623.0,6626.8135
2021-06-25,6652.0,6641.096
2021-06-26,6664.0,6671.2397
2021-06-27,6689.0,6683.9043
2021-06-28,6720.0,6713.761
2021-06-29,6737.0,6746.7
2021-06-30,6767.0,6770.031
2021-07-01,6803.0,6804.231
2021-07-02,6824.9995,6836.201
2021-07-03,6841.0,6851.406
2021-07-04,6874.0,6875.0566
2021-07-05,6895.9995,6905.2124
2021-07-06,6919.0,6919.2188
2021-07-07,6976.0005,6951.402
2021-07-08,7039.9995,7014.623
2021-07-09,7122.0,7103.7554
2021-07-10,7206.0,7202.3916
2021-07-11,7272.0,7275.7915
2021-07-12,7327.9995,7331.9736
2021-07-13,7398.9995,7397.45
2021-07-14,7495.0,7489.853
2021-07-15,7585.0,7585.4194
2021-07-16,7681.9995,7678.5576
2021-07-17,7762.9995,7765.524
2021-07-18,7846.0,7843.198
2021-07-19,7912.9995,7914.5796
2021-07-20,7983.9995,7912.099
2021-07-21,8112.0,7955.197
2021-07-22,8242.0,8058.5654
2021-07-23,8339.0,8157.9873
2021-07-24,8423.0,8201.045
2021-07-25,8511.0,8224.69
2021-07-26,8582.0,8259.283
