,Actual_data,Predicted_data
2021-03-04,4494.0,4471.304
2021-03-05,4507.0,4501.2583
2021-03-06,4527.0,4516.495
2021-03-07,4555.0,4524.726
2021-03-08,4570.0,4556.5386
2021-03-09,4590.0,4575.1216
2021-03-10,4613.0,4592.071
2021-03-11,4631.0,4621.5283
2021-03-12,4662.0,4644.744
2021-03-13,4688.0,4666.718
2021-03-14,4708.0,4717.5215
2021-03-15,4726.0,4738.1807
2021-03-16,4740.0,4753.735
2021-03-17,4761.0,4761.996
2021-03-18,4782.0,4772.386
2021-03-19,4806.0,4800.902
2021-03-20,4818.0,4828.459
2021-03-21,4840.0,4828.402
2021-03-22,4850.0,4840.6553
2021-03-23,4863.0,4845.526
2021-03-24,4884.0,4856.3857
2021-03-25,4896.0,4871.8535
2021-03-26,4925.0,4885.3613
2021-03-27,4964.0,4897.932
2021-03-28,4997.0,4985.4043
2021-03-29,5015.0,5050.938
2021-03-30,5033.0,5048.8306
2021-03-31,5058.0,5067.12
2021-04-01,5078.0,5092.087
2021-04-02,5101.0,5117.014
2021-04-03,5122.0,5144.2227
2021-04-04,5144.0,5168.3345
2021-04-05,5166.0,5192.7563
2021-04-06,5193.0,5217.55
2021-04-07,5241.0,5251.829
2021-04-08,5266.0,5331.252
2021-04-09,5311.0,5334.878
2021-04-10,5335.0,5403.2856
2021-04-11,5352.0,5410.2026
2021-04-12,5364.0,5419.228
2021-04-13,5380.0,5409.8022
2021-04-14,5406.0,5415.441
2021-04-15,5423.0,5444.949
2021-04-16,5435.0,5458.691
2021-04-17,5458.0,5465.099
2021-04-18,5477.0,5481.2373
2021-04-19,5488.0,5509.3335
2021-04-20,5506.0,5505.3145
2021-04-21,5521.0,5521.068
2021-04-22,5535.0,5534.614
2021-04-23,5545.0,5546.5405
2021-04-24,5563.0,5542.99
2021-04-25,5578.0,5557.4204
2021-04-26,5591.9995,5575.9336
2021-04-27,5606.0,5591.9116
2021-04-28,5626.0,5603.8228
2021-04-29,5651.0,5629.033
2021-04-30,5664.9995,5674.352
2021-05-01,5678.0,5675.073
2021-05-02,5695.0,5693.6885
2021-05-03,5710.0,5707.5703
2021-05-04,5723.0,5720.373
2021-05-05,5738.9995,5729.205
2021-05-06,5758.0,5745.2837
2021-05-07,5772.0,5770.8706
2021-05-08,5794.0,5779.8745
2021-05-09,5804.9995,5813.749
2021-05-10,5817.9995,5799.286
2021-05-11,5839.0,5820.029
2021-05-12,5859.0,5844.8735
2021-05-13,5875.9995,5878.99
2021-05-14,5910.0,5901.869
2021-05-15,5926.0,5956.326
2021-05-16,5941.0,5942.826
2021-05-17,5954.9995,5981.7905
2021-05-18,5971.0,5979.9277
2021-05-19,5994.0,5991.0776
2021-05-20,6007.0,6025.216
2021-05-21,6018.9995,6016.0103
2021-05-22,6033.9995,6030.0654
2021-05-23,6046.0,6038.0054
2021-05-24,6064.0,6036.959
2021-05-25,6075.0,6062.521
2021-05-26,6093.9995,6054.4546
2021-05-27,6124.0,6088.0728
2021-05-28,6150.0,6148.0503
2021-05-29,6167.9995,6202.7275
2021-05-30,6186.0,6221.7666
2021-05-31,6198.0,6243.1255
2021-06-01,6215.0,6223.794
2021-06-02,6235.0,6241.6147
2021-06-03,6257.0,6265.491
2021-06-04,6267.0,6300.7104
2021-06-05,6283.0,6264.957
2021-06-06,6306.0,6294.1465
2021-06-07,6320.9995,6326.655
2021-06-08,6334.0,6326.884
2021-06-09,6357.0,6340.0503
2021-06-10,6379.0,6371.479
2021-06-11,6396.9995,6405.903
2021-06-12,6417.0,6427.4087
2021-06-13,6432.0,6455.964
2021-06-14,6446.0,6451.0713
2021-06-15,6457.9995,6456.778
2021-06-16,6469.9995,6447.3916
2021-06-17,6487.0,6445.0317
2021-06-18,6509.0,6463.9805
2021-06-19,6530.9995,6502.3726
2021-06-20,6553.0,6541.5127
2021-06-21,6562.0,6580.1196
2021-06-22,6580.0,6530.4346
2021-06-23,6607.9995,6567.7266
2021-06-24,6623.0,6616.315
2021-06-25,6652.0,6601.5967
2021-06-26,6664.0,6676.782
2021-06-27,6689.0,6621.5215
2021-06-28,6720.0,6691.8384
2021-06-29,6737.0,6747.051
2021-06-30,6767.0,6733.41
2021-07-01,6803.0,6808.099
2021-07-02,6824.9995,6867.915
2021-07-03,6841.0,6868.295
2021-07-04,6874.0,6881.1836
2021-07-05,6895.9995,6923.367
2021-07-06,6919.0,6920.978
2021-07-07,6976.0005,6966.6265
2021-07-08,7039.9995,7020.6807
2021-07-09,7122.0,7130.4844
2021-07-10,7206.0,7215.179
2021-07-11,7272.0,7253.186
2021-07-12,7327.9995,7332.218
2021-07-13,7398.9995,7410.4155
2021-07-14,7495.0,7474.9995
2021-07-15,7585.0,7469.452
2021-07-16,7681.9995,7453.693
2021-07-17,7762.9995,7473.6504
2021-07-18,7846.0,7525.0
2021-07-19,7912.9995,7582.295
2021-07-20,7983.9995,7646.8867
2021-07-21,8112.0,7736.6426
2021-07-22,8242.0,7960.3823
2021-07-23,8339.0,8107.6226
2021-07-24,8423.0,8238.269
2021-07-25,8511.0,8358.975
2021-07-26,8582.0,8467.635
