,Actual_data,Predicted_data
2021-03-04,1221.0,1225.5004
2021-03-05,1224.0,1226.2985
2021-03-06,1228.0,1230.3085
2021-03-07,1233.0,1229.7731
2021-03-08,1237.0,1237.4668
2021-03-09,1245.0,1241.338
2021-03-10,1250.0,1251.0226
2021-03-11,1258.0,1258.4086
2021-03-12,1262.0,1266.3881
2021-03-13,1264.0,1267.0153
2021-03-14,1271.0,1266.897
2021-03-15,1276.0,1272.4751
2021-03-16,1283.0,1280.4402
2021-03-17,1304.0,1292.0653
2021-03-18,1319.0,1313.7089
2021-03-19,1334.0,1328.2257
2021-03-20,1350.0,1343.2943
2021-03-21,1360.9999,1361.1625
2021-03-22,1368.0,1368.1552
2021-03-23,1375.0,1375.3198
2021-03-24,1380.0,1379.9774
2021-03-25,1385.0,1381.3915
2021-03-26,1388.0,1387.4812
2021-03-27,1393.0,1396.9813
2021-03-28,1398.0,1400.3992
2021-03-29,1406.0,1404.9856
2021-03-30,1431.0,1421.213
2021-03-31,1451.0,1444.691
2021-04-01,1473.0,1469.0063
2021-04-02,1488.0,1494.1412
2021-04-03,1508.0,1505.707
2021-04-04,1531.9999,1526.8962
2021-04-05,1548.0,1553.0555
2021-04-06,1577.0,1570.963
2021-04-07,1587.0,1595.2837
2021-04-08,1611.0,1610.7695
2021-04-09,1633.0,1634.5201
2021-04-10,1656.0,1654.6376
2021-04-11,1696.0,1687.7478
2021-04-12,1720.0,1720.3179
2021-04-13,1745.0,1739.4598
2021-04-14,1756.0,1760.1051
2021-04-15,1772.0,1767.2795
2021-04-16,1787.0,1786.9745
2021-04-17,1802.9999,1798.3738
2021-04-18,1823.9999,1822.1259
2021-04-19,1840.0,1836.9331
2021-04-20,1842.9999,1850.888
2021-04-21,1850.9999,1856.0841
2021-04-22,1857.0,1857.2466
2021-04-23,1866.0,1861.3491
2021-04-24,1875.0,1874.6404
2021-04-25,1881.9999,1878.5355
2021-04-26,1888.0,1886.4093
2021-04-27,1893.0,1894.6824
2021-04-28,1906.0,1903.1085
2021-04-29,1915.0,1913.729
2021-04-30,1936.0,1930.7704
2021-05-01,1946.0,1950.9572
2021-05-02,1958.0,1957.8993
2021-05-03,1969.9999,1969.1548
2021-05-04,1981.9999,1978.7601
2021-05-05,1988.0,1992.5604
2021-05-06,1993.0,1993.5547
2021-05-07,1998.9999,1999.4524
2021-05-08,2003.9999,1998.0593
2021-05-09,2012.0,2006.6598
2021-05-10,2020.9999,2015.7212
2021-05-11,2033.0,2026.1882
2021-05-12,2055.0,2041.3633
2021-05-13,2064.9998,2069.8096
2021-05-14,2079.0,2079.32
2021-05-15,2090.0,2086.5696
2021-05-16,2104.0,2102.4573
2021-05-17,2112.9998,2111.8901
2021-05-18,2120.0,2121.0728
2021-05-19,2129.0,2128.174
2021-05-20,2136.0,2130.0027
2021-05-21,2152.0,2146.4883
2021-05-22,2164.0,2161.006
2021-05-23,2178.0,2175.3232
2021-05-24,2182.0,2185.6086
2021-05-25,2187.0,2187.606
2021-05-26,2193.0,2190.8252
2021-05-27,2199.0,2196.406
2021-05-28,2203.0,2205.2043
2021-05-29,2209.0,2209.4102
2021-05-30,2216.0,2209.202
2021-05-31,2225.0,2220.6045
2021-06-01,2231.0,2226.0007
2021-06-02,2241.0,2234.0674
2021-06-03,2253.0,2243.947
2021-06-04,2256.0,2257.775
2021-06-05,2270.0,2260.4026
2021-06-06,2270.0,2265.6814
2021-06-07,2273.0,2275.075
2021-06-08,2277.0,2273.122
2021-06-09,2283.0,2284.1248
2021-06-10,2285.0,2286.719
2021-06-11,2289.0,2291.4812
2021-06-12,2291.0,2295.6428
2021-06-13,2292.0,2298.5652
2021-06-14,2294.0,2297.3389
2021-06-15,2298.0,2297.9875
2021-06-16,2300.0,2300.7532
2021-06-17,2307.0,2302.8972
2021-06-18,2311.0,2310.0884
2021-06-19,2316.0,2313.82
2021-06-20,2318.9998,2318.062
2021-06-21,2322.0,2326.1306
2021-06-22,2324.0,2327.1643
2021-06-23,2326.0,2325.192
2021-06-24,2331.9998,2330.0127
2021-06-25,2334.0,2334.2517
2021-06-26,2339.0,2338.8757
2021-06-27,2345.0,2343.697
2021-06-28,2347.0,2351.3093
2021-06-29,2353.9998,2349.256
2021-06-30,2364.0,2362.9548
2021-07-01,2371.0,2369.7285
2021-07-02,2378.0,2379.6648
2021-07-03,2382.0,2386.4026
2021-07-04,2384.9998,2390.9963
2021-07-05,2391.0,2393.0017
2021-07-06,2397.0,2401.7405
2021-07-07,2405.0,2403.2317
2021-07-08,2408.0,2413.5034
2021-07-09,2416.0,2414.0603
2021-07-10,2430.0,2425.5947
2021-07-11,2432.0,2434.124
2021-07-12,2436.0,2435.776
2021-07-13,2454.0,2450.5356
2021-07-14,2463.0,2461.4287
2021-07-15,2487.0,2483.2847
2021-07-16,2500.0,2498.0073
2021-07-17,2508.0,2506.5808
2021-07-18,2513.0,2512.0513
2021-07-19,2523.0,2519.517
2021-07-20,2537.9998,2514.4646
2021-07-21,2557.0,2523.63
2021-07-22,2561.0,2544.2253
2021-07-23,2571.0,2542.519
2021-07-24,2613.0,2548.278
2021-07-25,2620.0,2575.521
2021-07-26,2644.0,2574.9795
