,Actual_data,Predicted_data
2021-03-04,1221.0,1227.9677
2021-03-05,1224.0,1228.9081
2021-03-06,1228.0,1224.479
2021-03-07,1233.0,1231.6162
2021-03-08,1237.0,1230.743
2021-03-09,1245.0,1233.1212
2021-03-10,1250.0,1243.6864
2021-03-11,1258.0,1241.8772
2021-03-12,1262.0,1260.4857
2021-03-13,1264.0,1262.0391
2021-03-14,1271.0,1282.1143
2021-03-15,1276.0,1296.2056
2021-03-16,1283.0,1289.3442
2021-03-17,1304.0,1305.0624
2021-03-18,1319.0,1327.2721
2021-03-19,1334.0,1326.2677
2021-03-20,1350.0,1354.2411
2021-03-21,1360.9999,1359.8586
2021-03-22,1368.0,1369.5704
2021-03-23,1375.0,1379.1266
2021-03-24,1380.0,1379.2332
2021-03-25,1385.0,1382.6805
2021-03-26,1388.0,1387.8965
2021-03-27,1393.0,1395.375
2021-03-28,1398.0,1404.2859
2021-03-29,1406.0,1412.0089
2021-03-30,1431.0,1424.795
2021-03-31,1451.0,1441.5525
2021-04-01,1473.0,1462.9923
2021-04-02,1488.0,1493.6514
2021-04-03,1508.0,1516.1825
2021-04-04,1531.9999,1529.9872
2021-04-05,1548.0,1551.0715
2021-04-06,1577.0,1583.6984
2021-04-07,1587.0,1597.6106
2021-04-08,1611.0,1629.038
2021-04-09,1633.0,1629.8032
2021-04-10,1656.0,1670.1509
2021-04-11,1696.0,1695.3756
2021-04-12,1720.0,1718.2235
2021-04-13,1745.0,1721.6312
2021-04-14,1756.0,1753.7454
2021-04-15,1772.0,1780.39
2021-04-16,1787.0,1796.1417
2021-04-17,1802.9999,1815.229
2021-04-18,1823.9999,1827.2125
2021-04-19,1840.0,1830.5955
2021-04-20,1842.9999,1842.3024
2021-04-21,1850.9999,1848.4962
2021-04-22,1857.0,1854.3884
2021-04-23,1866.0,1862.3716
2021-04-24,1875.0,1867.8617
2021-04-25,1881.9999,1878.319
2021-04-26,1888.0,1887.3901
2021-04-27,1893.0,1894.2319
2021-04-28,1906.0,1899.6953
2021-04-29,1915.0,1908.2318
2021-04-30,1936.0,1929.8975
2021-05-01,1946.0,1934.2078
2021-05-02,1958.0,1943.752
2021-05-03,1969.9999,1966.8856
2021-05-04,1981.9999,1973.3004
2021-05-05,1988.0,1981.3306
2021-05-06,1993.0,1987.4705
2021-05-07,1998.9999,1997.3341
2021-05-08,2003.9999,2003.7166
2021-05-09,2012.0,2012.8995
2021-05-10,2020.9999,2026.6792
2021-05-11,2033.0,2046.2045
2021-05-12,2055.0,2066.677
2021-05-13,2064.9998,2075.9585
2021-05-14,2079.0,2078.7778
2021-05-15,2090.0,2100.2092
2021-05-16,2104.0,2104.9148
2021-05-17,2112.9998,2114.0676
2021-05-18,2120.0,2118.8684
2021-05-19,2129.0,2130.0654
2021-05-20,2136.0,2138.6414
2021-05-21,2152.0,2146.5513
2021-05-22,2164.0,2153.731
2021-05-23,2178.0,2170.727
2021-05-24,2182.0,2186.5671
2021-05-25,2187.0,2184.097
2021-05-26,2193.0,2195.8682
2021-05-27,2199.0,2198.143
2021-05-28,2203.0,2204.0337
2021-05-29,2209.0,2209.4282
2021-05-30,2216.0,2216.748
2021-05-31,2225.0,2227.2646
2021-06-01,2231.0,2241.2578
2021-06-02,2241.0,2250.4712
2021-06-03,2253.0,2261.5452
2021-06-04,2256.0,2272.9014
2021-06-05,2270.0,2270.1736
2021-06-06,2270.0,2273.4626
2021-06-07,2273.0,2265.7131
2021-06-08,2277.0,2276.842
2021-06-09,2283.0,2277.3284
2021-06-10,2285.0,2283.1733
2021-06-11,2289.0,2284.7334
2021-06-12,2291.0,2288.3662
2021-06-13,2292.0,2288.8918
2021-06-14,2294.0,2287.1636
2021-06-15,2298.0,2286.2346
2021-06-16,2300.0,2292.4758
2021-06-17,2307.0,2298.9263
2021-06-18,2311.0,2311.2234
2021-06-19,2316.0,2321.6523
2021-06-20,2318.9998,2332.9297
2021-06-21,2322.0,2335.1882
2021-06-22,2324.0,2336.592
2021-06-23,2326.0,2334.424
2021-06-24,2331.9998,2332.8984
2021-06-25,2334.0,2339.2383
2021-06-26,2339.0,2339.3096
2021-06-27,2345.0,2349.6682
2021-06-28,2347.0,2357.344
2021-06-29,2353.9998,2356.0637
2021-06-30,2364.0,2366.1206
2021-07-01,2371.0,2373.84
2021-07-02,2378.0,2376.4504
2021-07-03,2382.0,2386.5813
2021-07-04,2384.9998,2387.904
2021-07-05,2391.0,2390.7166
2021-07-06,2397.0,2393.7786
2021-07-07,2405.0,2397.7947
2021-07-08,2408.0,2408.4336
2021-07-09,2416.0,2413.264
2021-07-10,2430.0,2426.8125
2021-07-11,2432.0,2432.5369
2021-07-12,2436.0,2434.5933
2021-07-13,2454.0,2456.8171
2021-07-14,2463.0,2450.4727
2021-07-15,2487.0,2454.9717
2021-07-16,2500.0,2456.3713
2021-07-17,2508.0,2469.2603
2021-07-18,2513.0,2495.4683
2021-07-19,2523.0,2507.2168
2021-07-20,2537.9998,2506.0317
2021-07-21,2557.0,2511.9148
2021-07-22,2561.0,2525.7134
2021-07-23,2571.0,2541.07
2021-07-24,2613.0,2553.7493
2021-07-25,2620.0,2562.9163
2021-07-26,2644.0,2568.7305
