,Actual_data,Predicted_data
2021-03-04,582.0,581.8496
2021-03-05,584.0,584.59753
2021-03-06,589.0,587.5696
2021-03-07,593.0,594.5814
2021-03-08,596.0,596.865
2021-03-09,598.0,598.7361
2021-03-10,600.0,601.1589
2021-03-11,601.99994,602.2406
2021-03-12,604.00006,605.5324
2021-03-13,605.0,605.3398
2021-03-14,606.0,607.1018
2021-03-15,609.0,608.0629
2021-03-16,611.0,611.95856
2021-03-17,612.0,612.7949
2021-03-18,614.0,611.2861
2021-03-19,614.0,613.47015
2021-03-20,615.0,616.1419
2021-03-21,616.0,616.2696
2021-03-22,617.0,616.8566
2021-03-23,617.0,619.586
2021-03-24,617.0,618.50854
2021-03-25,617.0,617.9425
2021-03-26,620.0,621.5691
2021-03-27,621.99994,622.22644
2021-03-28,621.99994,624.2629
2021-03-29,622.99994,625.5299
2021-03-30,622.99994,624.63983
2021-03-31,625.0,623.536
2021-04-01,627.0,625.752
2021-04-02,631.0,630.2083
2021-04-03,632.0,631.7136
2021-04-04,634.0,634.0383
2021-04-05,636.0,637.8148
2021-04-06,636.0,638.21497
2021-04-07,639.0,639.7566
2021-04-08,644.0,642.06726
2021-04-09,646.0,646.3703
2021-04-10,653.0,648.84766
2021-04-11,660.0,656.6794
2021-04-12,663.00006,664.01483
2021-04-13,663.00006,665.3056
2021-04-14,665.0,667.28973
2021-04-15,668.0,666.6396
2021-04-16,671.0,671.04926
2021-04-17,672.0,672.3989
2021-04-18,673.0,673.191
2021-04-19,675.0,673.02203
2021-04-20,676.0,676.81506
2021-04-21,683.00006,680.27893
2021-04-22,687.0,685.39667
2021-04-23,690.0,688.5268
2021-04-24,693.0,690.642
2021-04-25,696.0,694.4942
2021-04-26,697.0,697.3059
2021-04-27,701.99994,698.5488
2021-04-28,705.0,704.8983
2021-04-29,706.0,706.9421
2021-04-30,707.0,709.5715
2021-05-01,714.0,711.9575
2021-05-02,715.0,717.6233
2021-05-03,716.0,719.8322
2021-05-04,724.0,723.82776
2021-05-05,737.0,733.8468
2021-05-06,743.0,745.6023
2021-05-07,755.0,755.64484
2021-05-08,760.00006,766.92346
2021-05-09,778.0,774.6135
2021-05-10,792.0,792.0882
2021-05-11,816.0,812.4447
2021-05-12,829.0,827.9364
2021-05-13,838.0,841.7507
2021-05-14,848.0,849.51117
2021-05-15,862.0,862.72833
2021-05-16,871.0,874.05365
2021-05-17,886.0,886.6636
2021-05-18,897.0,896.46606
2021-05-19,901.0,909.3048
2021-05-20,907.0,912.9732
2021-05-21,912.0,919.08887
2021-05-22,919.00006,922.39886
2021-05-23,927.0,933.4983
2021-05-24,946.0,942.2729
2021-05-25,963.0,961.3425
2021-05-26,969.0,972.58203
2021-05-27,995.0,986.0388
2021-05-28,1002.0,1003.5778
2021-05-29,1015.0,1013.5074
2021-05-30,1023.0,1024.2106
2021-05-31,1030.0,1033.5824
2021-06-01,1042.0,1039.9341
2021-06-02,1056.0,1053.777
2021-06-03,1068.0,1069.2551
2021-06-04,1089.0,1086.2577
2021-06-05,1111.0,1103.7275
2021-06-06,1130.0,1127.1841
2021-06-07,1143.0,1141.3206
2021-06-08,1151.0,1151.9114
2021-06-09,1158.0,1159.9707
2021-06-10,1168.0,1165.1599
2021-06-11,1173.0,1174.5327
2021-06-12,1178.0,1179.9022
2021-06-13,1183.0,1185.0504
2021-06-14,1192.0,1191.2787
2021-06-15,1198.0,1196.2574
2021-06-16,1207.0001,1207.9749
2021-06-17,1215.0,1214.335
2021-06-18,1221.0,1220.7057
2021-06-19,1228.0,1228.4469
2021-06-20,1230.0,1231.8667
2021-06-21,1233.0,1236.4005
2021-06-22,1234.0,1233.7219
2021-06-23,1234.0,1237.6786
2021-06-24,1238.0,1240.3855
2021-06-25,1243.0001,1246.0122
2021-06-26,1252.0,1250.6174
2021-06-27,1254.0,1256.973
2021-06-28,1256.0,1258.2736
2021-06-29,1262.0,1260.8917
2021-06-30,1264.0,1265.793
2021-07-01,1265.0,1268.0891
2021-07-02,1268.0,1269.7955
2021-07-03,1272.0,1270.4281
2021-07-04,1274.0,1274.6554
2021-07-05,1280.0001,1283.3634
2021-07-06,1285.0001,1290.3132
2021-07-07,1304.0,1304.5135
2021-07-08,1321.0001,1321.1434
2021-07-09,1352.0,1351.0903
2021-07-10,1362.0001,1363.2723
2021-07-11,1386.0,1386.7238
2021-07-12,1393.0,1395.0726
2021-07-13,1412.0,1412.1853
2021-07-14,1433.0,1432.6284
2021-07-15,1442.0001,1443.0167
2021-07-16,1452.0,1453.1876
2021-07-17,1466.0,1466.021
2021-07-18,1477.0001,1477.6351
2021-07-19,1488.0,1489.1381
2021-07-20,1496.0,1483.2693
2021-07-21,1530.0,1485.9325
2021-07-22,1554.0,1490.9666
2021-07-23,1583.0,1505.1592
2021-07-24,1598.0001,1509.2311
2021-07-25,1612.0,1529.0853
2021-07-26,1624.0,1540.7875
